기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NYSE,Phillips 66,PSX,0,182.18,18.0,41.2,33.9,47.5,50.4,-3.28,
2026-03-31,NASDAQ,Caseys General Stores Inc,CASY,0,727.86,6.2,31.7,28.8,67.7,50.2,2.14,
2026-03-31,NYSE,ConocoPhillips,COP,0,132.0,16.3,41.0,39.5,25.7,49.6,-1.12,
2026-03-31,NASDAQ,J B Hunt Transport Services Inc,JBHT,0,211.9,-9.2,9.0,57.9,43.2,49.4,1.42,
2026-03-31,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.46,-2.5,-4.7,40.6,155.9,49.0,-0.51,
2026-03-31,NASDAQ,Ross Stores Inc,ROST,0,216.63,5.3,20.3,42.2,69.5,48.5,1.55,
2026-03-31,NYSE,Rio Tinto PLC ADR,RIO,0,93.29,-6.1,16.6,41.3,55.3,48.0,1.24,
2026-03-31,NASDAQ,United Therapeutics Corp,UTHR,0,592.98,17.7,21.7,41.5,92.4,47.7,-4.75,
2026-03-31,NYSE,BHP Group Ltd ADR,BHP,0,72.74,-10.8,20.5,30.5,49.9,47.0,0.69,
2026-03-31,NASDAQ,Royalty Pharma PLC,RPRX,0,47.97,3.8,24.1,36.0,54.1,46.2,1.25,
2026-03-31,NYSE,America Movil SAB de CV ADR,AMX,0,25.48,-2.1,23.3,21.3,79.2,46.2,0.39,
2026-03-31,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1093.35,-4.3,20.6,18.8,88.5,45.7,2.3,
2026-03-31,NASDAQ,Analog Devices Inc,ADI,0,318.14,-10.6,17.3,29.5,57.8,45.4,0.06,
2026-03-31,NYSE,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,0,337.95,-9.8,11.2,21.0,103.6,45.1,0.32,
2026-03-31,NYSE,Chevron Corp,CVX,0,206.9,10.8,35.8,33.2,23.7,44.6,-3.83,
2026-03-31,NASDAQ,Old Dominion Freight Line Inc,ODFL,0,195.4,-3.8,24.6,38.8,18.1,44.6,1.33,
2026-03-31,NYSE,BP PLC ADR,BP,0,47.0,20.9,35.3,36.4,39.1,43.8,0.26,
2026-03-31,NASDAQ,Royal Gold Inc,RGLD,0,254.49,-15.1,14.5,26.9,55.6,43.7,3.2,
2026-03-31,NYSE,Dell Technologies Inc,DELL,0,164.13,10.8,30.4,15.8,80.1,42.8,6.24,
2026-03-31,NASDAQ,Diamondback Energy Inc,FANG,0,197.79,13.6,31.6,38.2,23.7,42.3,-1.98,
2026-03-31,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,0,11.27,-2.8,16.8,36.3,45.2,42.0,3.11,
2026-03-31,NYSE,Lockheed Martin Corp,LMT,0,604.39,-8.2,25.0,21.1,35.3,41.6,3.04,
2026-03-31,NYSE,Cheniere Energy Inc,LNG,0,283.76,20.4,46.0,20.8,22.6,41.5,-0.92,
2026-03-31,NYSE,Wheaton Precious Metals Corp,WPM,0,131.01,-19.9,11.5,17.1,68.8,41.5,3.47,
