기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-05-31,NYSE,Marsh & McLennan Companies Inc,MRSH,0,159.97,-4.6,-14.3,-12.8,-31.5,-10.19,-8.58,-28.22,-14.7,1.61,233.0
2026-05-31,NASDAQ,Roper Technologies Inc,ROP,0,325.53,-8.3,-6.9,-27.0,-42.9,1.45,-20.49,-37.78,-14.8,5.75,239.0
2026-05-31,NYSE,Home Depot Inc,HD,0,317.14,-3.5,-16.7,-11.1,-13.9,-13.64,-7.88,-10.72,-15.8,-2.03,251.0
2026-05-31,NYSE,Sony Group Corp ADR,SONY,0,21.57,7.4,-6.5,-26.5,-18.2,-12.88,-31.55,-23.84,-15.9,4.64,263.0
2026-05-31,NASDAQ,Copart Inc,CPRT,0,32.77,-1.0,-14.0,-15.9,-36.3,-13.07,-15.06,-35.68,-16.0,-1.37,280.0
2026-05-31,NYSE,ICICI Bank Ltd ADR,IBN,0,26.23,-1.4,-14.0,-16.0,-23.4,-12.85,-14.86,-22.34,-16.1,-1.83,242.0
2026-05-31,NYSE,McDonald's Corp,MCD,0,279.2,-4.9,-18.1,-10.5,-11.0,-13.92,-5.85,-6.46,-16.4,-1.11,206.0
2026-05-31,NASDAQ,Constellation Energy Corp,CEG,0,287.75,-8.1,-12.8,-21.0,-6.0,-5.12,-14.1,2.24,-16.5,-7.66,180.0
2026-05-31,NYSE,Agnico Eagle Mines Ltd,AEM,0,183.15,-2.7,-27.2,5.0,55.2,-25.19,7.9,59.51,-16.8,-3.59,137.0
2026-05-31,NYSE,Lowe's Companies Inc,LOW,0,214.36,-10.2,-19.0,-11.6,-5.0,-9.74,-1.52,5.79,-16.9,-3.11,217.0
2026-05-31,NYSE,Danaher Corp,DHR,0,182.67,2.1,-13.3,-19.5,-3.8,-15.04,-21.09,-5.77,-17.3,-1.53,273.0
2026-05-31,NYSE,Toyota Motor Corp ADR,TM,0,189.95,-1.4,-21.6,-5.9,-0.3,-20.53,-4.58,1.08,-17.4,-3.7,246.0
2026-05-31,NYSE,Alibaba Group Holding Ltd ADR,BABA,0,124.22,-5.8,-13.8,-21.0,9.1,-8.49,-16.16,15.85,-17.5,0.95,285.0
2026-05-31,NYSE,SAP SE ADR,SAP,0,181.79,7.3,-9.8,-24.8,-40.0,-15.9,-29.89,-44.04,-17.5,7.88,284.0
2026-05-31,NYSE,Accenture PLC,ACN,0,187.07,4.7,-10.4,-25.2,-41.0,-14.38,-28.52,-43.59,-17.8,5.09,294.0
2026-05-31,NASDAQ,Trip.com Group Ltd ADR,TCOM,0,47.43,-12.5,-9.9,-32.2,-24.3,3.02,-22.47,-13.47,-18.5,1.81,271.0
2026-05-31,NASDAQ,Alnylam Pharmaceuticals Inc,ALNY,0,301.98,-2.4,-9.3,-33.1,-0.8,-7.04,-31.41,1.62,-19.5,-2.1,270.0
2026-05-31,NASDAQ,IDEXX Laboratories Inc,IDXX,0,563.53,0.5,-14.2,-25.2,9.8,-14.61,-25.51,9.24,-20.0,0.58,261.0
2026-05-31,NASDAQ,Axon Enterprise Inc,AXON,0,448.72,11.7,-17.3,-16.9,-40.2,-25.93,-25.62,-46.46,-20.0,6.28,292.0
2026-05-31,NASDAQ,Intuitive Surgical Inc,ISRG,0,424.64,-7.2,-15.7,-26.0,-23.1,-9.12,-20.2,-17.15,-20.6,-2.92,244.0
2026-05-31,NASDAQ,Thomson Reuters Corp,TRI,0,86.51,-9.6,-10.3,-36.1,-56.5,-0.75,-29.34,-51.83,-20.7,8.61,286.0
2026-05-31,NASDAQ,Cognizant Technology Solutions Corp,CTSH,0,55.76,5.4,-13.5,-28.2,-31.2,-17.9,-31.93,-34.68,-21.3,2.51,295.0
2026-05-31,NYSE,Stryker Corp,SYK,0,305.09,-3.2,-21.3,-17.8,-20.3,-18.67,-15.1,-17.64,-21.7,-1.85,254.0
2026-05-31,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,614.78,-13.1,-21.4,-21.2,25.4,-9.54,-9.37,44.22,-22.1,-2.3,177.0
2026-05-31,NASDAQ,PDD Holdings Inc ADR,PDD,0,84.44,-15.5,-18.6,-27.3,-12.5,-3.71,-13.96,3.49,-22.4,3.32,237.0
2026-05-31,NYSE,McKesson Corp,MCK,0,742.44,-8.9,-24.8,-15.7,3.2,-17.44,-7.48,13.3,-22.8,-1.03,186.0
2026-05-31,NYSE,Unilever PLC ADR,UL,0,56.45,-4.3,-23.5,-17.3,-21.5,-20.03,-13.56,-17.96,-22.9,-1.19,257.0
2026-05-31,NASDAQ,Symbotic Inc,SYM,0,46.42,-21.4,-15.3,-44.6,61.9,7.89,-29.45,106.14,-26.4,4.25,210.0
2026-05-31,NASDAQ,GE Healthcare Technologies Inc,GEHC,0,62.34,2.5,-26.0,-22.1,-11.6,-27.8,-23.94,-13.75,-27.3,0.56,281.0
2026-05-31,NYSE,Medtronic PLC,MDT,0,73.81,-8.8,-24.4,-29.9,-11.1,-17.09,-23.13,-2.42,-28.2,0.23,272.0
2026-05-31,NYSE,HCA Healthcare Inc,HCA,0,378.54,-12.9,-28.5,-25.5,-0.7,-17.98,-14.53,13.91,-28.9,-2.0,226.0
2026-05-31,NASDAQ,Intuit Inc,INTU,0,331.53,-14.7,-18.9,-47.7,-56.0,-5.02,-38.73,-48.44,-30.9,6.71,293.0
2026-05-31,NYSE,HDFC Bank Ltd ADR,HDB,0,23.78,-6.4,-25.3,-35.4,-36.9,-20.22,-30.99,-32.59,-31.3,-0.76,290.0
2026-05-31,NYSE,Abbott Laboratories,ABT,0,85.6,-5.7,-26.4,-33.6,-35.9,-21.97,-29.57,-32.03,-31.4,2.55,278.0
