연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2020,5,2020-05-29,124,KOSDAQ,코엔텍,029960,12.7,10000,2.99,18.76,0.2,-9.09,-13.6
2020,5,2020-05-29,125,KOSDAQ,삼표시멘트,038500,12.07,3550,1.28,16.2,-2.74,3.65,-9.6
2020,5,2020-05-29,126,KOSPI,롯데지주,004990,11.71,34300,-14.46,18.07,-3.79,-18.72,-7.9
2020,5,2020-05-29,127,KOSDAQ,컴투스,078340,11.35,106000,-0.93,8.61,5.16,8.5,10.9
2020,5,2020-05-29,128,KOSDAQ,레고켐바이오,141080,10.99,25774,5.75,14.7,1.38,-1.53,121.2
2020,5,2020-05-29,129,KOSPI,금호석유,011780,10.39,70900,-7.2,19.56,-3.01,-25.99,5.1
2020,5,2020-05-29,130,KOSPI,SK,034730,10.38,239000,31.32,24.48,-7.18,3.24,21.8
2020,5,2020-05-29,131,KOSDAQ,서진시스템,178320,10.3,13517,2.08,5.47,9.31,8.43,19.1
2020,5,2020-05-29,132,KOSDAQ,원익QnC,074600,10.26,14050,9.77,0.0,14.69,24.34,-1.8
2020,5,2020-05-29,133,KOSPI,삼성전기,009150,9.91,125000,10.13,-0.79,12.61,31.3,3.2
2020,5,2020-05-29,134,KOSPI,두산인프라코어,042670,9.24,4401,21.07,23.83,-2.98,-20.6,39.4
2020,5,2020-05-29,135,KOSDAQ,엘앤에프,066970,8.71,21880,23.56,8.75,16.54,-9.23,30.5
2020,5,2020-05-29,136,KOSPI,에스원,012750,8.36,93200,7.75,13.38,-0.43,-2.92,-7.9
2020,5,2020-05-29,137,KOSDAQ,휴온스,243070,7.71,40268,0.2,10.58,0.26,-4.22,11.9
2020,5,2020-05-29,138,KOSDAQ,나노스,151910,7.68,4155,3.75,16.39,1.84,-27.99,-13.5
2020,5,2020-05-29,139,KOSPI,포스코케미칼,003670,7.55,50494,7.14,1.1,15.39,2.02,35.3
2020,5,2020-05-29,140,KOSDAQ,와이지엔터테인먼트,122870,7.09,29600,-0.17,-2.31,19.11,-3.27,25.8
2020,5,2020-05-29,141,KOSPI,CJ,001040,6.64,91900,13.46,14.16,-0.22,-9.46,-6.1
2020,5,2020-05-29,142,KOSDAQ,휴온스글로벌,084110,6.64,28275,-1.73,10.68,-0.4,-10.26,1.1
2020,5,2020-05-29,143,KOSPI,F&F,007700,5.66,49750,-7.01,5.18,-9.95,25.47,-7.4
2020,5,2020-05-29,144,KOSPI,삼성에스디에스,018260,5.21,190500,17.23,14.41,-2.56,-7.97,-11.5
2020,5,2020-05-29,145,KOSDAQ,헬릭스미스,084990,5.14,53463,-6.01,25.9,-13.99,-48.91,-2.4
2020,5,2020-05-29,146,KOSDAQ,SK머티리얼즈,036490,4.9,162100,2.92,9.53,-6.84,6.43,23.4
2020,5,2020-05-29,147,KOSPI,BGF리테일,282330,4.66,167000,5.7,10.23,-0.6,-10.46,-16.8
2020,5,2020-05-29,148,KOSDAQ,이오테크닉스,039030,4.39,87900,21.24,-0.57,-2.33,51.29,7.5
2020,5,2020-05-29,149,KOSPI,맥쿼리인프라,088980,4.11,11801,3.49,6.75,-0.84,-0.84,-3.8
2020,5,2020-05-29,150,KOSPI,현대엘리베이,017800,4.06,42215,2.26,17.66,-10.84,-20.97,9.3
2020,5,2020-05-29,151,KOSDAQ,다원시스,068240,4.0,14592,-3.95,-1.25,3.28,12.86,3.2
2020,5,2020-05-29,152,KOSDAQ,JYP Ent.,035900,3.79,22850,10.12,8.04,2.93,-10.39,-7.2
2020,5,2020-05-29,153,KOSDAQ,크리스탈,083790,3.63,8270,-4.98,14.29,-9.49,-20.25,28.6
2020,5,2020-05-29,154,KOSDAQ,스튜디오드래곤,253450,3.52,76200,-0.78,3.39,0.0,3.25,13.1
2020,5,2020-05-29,155,KOSPI,오뚜기,007310,3.43,551000,1.1,10.87,-1.08,-22.5,1.1
2020,5,2020-05-29,156,KOSPI,한솔케미칼,014680,3.2,97500,13.64,5.06,-3.47,18.04,30.3
2020,5,2020-05-29,157,KOSDAQ,오스코텍,039200,3.03,21095,-2.02,7.9,-3.74,-9.14,13.7
2020,5,2020-05-29,158,KOSPI,넷마블,251270,2.58,92300,-3.35,4.18,4.89,-19.39,8.9
2020,5,2020-05-29,159,KOSDAQ,클리오,237880,2.5,21200,-4.72,-7.83,10.99,11.58,-7.3
2020,5,2020-05-29,160,KOSPI,삼성전자우,005935,2.05,42850,1.42,-5.93,4.9,23.13,8.5
2020,5,2020-05-29,161,KOSPI,동서,026960,2.0,16700,-3.47,6.71,-3.47,-11.64,-5.1
2020,5,2020-05-29,162,KOSDAQ,메가스터디교육,215200,1.84,39150,-13.0,-6.0,5.24,7.11,-8.8
2020,5,2020-05-29,163,KOSDAQ,실리콘웍스,108320,1.67,36950,22.55,12.14,-1.47,-13.97,4.5
2020,5,2020-05-29,164,KOSDAQ,포스코 ICT,022100,0.17,4765,7.68,6.84,-2.95,-11.43,-10.8
2020,5,2020-05-29,165,KOSPI,SK하이닉스,000660,0.03,81500,-2.63,-7.28,0.74,24.81,4.4
2020,5,2020-05-29,166,KOSDAQ,코오롱티슈진,950160,0.0,16050,0.0,0.0,0.0,0.0,0.0
2020,5,2020-05-29,167,KOSDAQ,SNK,950180,-0.04,16850,12.33,10.86,2.74,-38.17,-17.8
2020,5,2020-05-29,168,KOSPI,삼성전자,005930,-1.19,50700,1.4,-6.46,0.8,19.29,4.1
2020,5,2020-05-29,169,KOSPI,한올바이오파마,009420,-1.28,26850,10.49,14.5,-20.68,-2.19,4.7
2020,5,2020-05-29,170,KOSDAQ,지트리비앤티,115450,-1.4,10966,1.99,9.36,-11.54,-13.61,-4.5
2020,5,2020-05-29,171,KOSDAQ,위메이드,112040,-1.42,15812,32.35,3.64,7.93,-9.14,31.1
2020,5,2020-05-29,172,KOSDAQ,아프리카TV,067160,-1.6,58900,-2.32,8.07,-13.13,-9.8,7.3
2020,5,2020-05-29,173,KOSPI,삼성물산,028260,-1.98,99100,-6.51,-6.07,0.2,7.37,17.1
2020,5,2020-05-29,174,KOSPI,LG유플러스,032640,-2.08,13150,-1.5,-0.38,-1.87,-5.73,-7.2
2020,5,2020-05-29,175,KOSPI,신세계인터내셔날,031430,-2.39,39000,-10.55,6.27,-8.24,-26.97,-19.5
2020,5,2020-05-29,176,KOSPI,이마트,139480,-3.36,113500,-5.42,8.1,-13.36,-21.18,-7.0
2020,5,2020-05-29,177,KOSDAQ,에이비엘바이오,298380,-3.48,18300,0.55,5.48,1.95,-43.61,69.4
2020,5,2020-05-29,178,KOSDAQ,휴젤,145020,-3.49,125936,-3.85,-1.49,-3.1,-7.61,27.9
2020,5,2020-05-29,179,KOSPI,LG화학우,051915,-3.56,177000,2.61,-5.35,5.99,-8.76,41.2
2020,5,2020-05-29,180,KOSDAQ,매일유업,267980,-3.6,80900,0.75,0.5,-3.69,-10.01,-2.1
2020,5,2020-05-29,181,KOSPI,현대해상,001450,-3.67,24250,-7.09,7.3,-13.39,-21.14,-5.6
2020,5,2020-05-29,182,KOSPI,GS건설,006360,-3.75,28550,12.85,8.76,-4.83,-28.89,-14.0
2020,5,2020-05-29,183,KOSPI,LG생활건강우,051905,-3.99,715000,-1.52,-2.46,-3.9,-1.92,1.4
2020,5,2020-05-29,184,KOSPI,쌍용양회,003410,-4.37,5554,-0.98,2.74,-7.14,-15.92,0.6
2020,5,2020-05-29,185,KOSPI,포스코인터내셔널,047050,-4.48,16000,12.68,7.02,-12.33,-6.98,-12.8
2020,5,2020-05-29,186,KOSDAQ,SKC코오롱PI,178920,-4.86,31500,-3.96,-5.97,-7.49,14.34,-8.7
2020,5,2020-05-29,187,KOSDAQ,안랩,053800,-5.13,55300,-4.66,3.17,-12.36,-12.08,-9.8
2020,5,2020-05-29,188,KOSPI,신세계,004170,-5.48,245000,-7.55,3.81,-12.97,-17.79,-10.0
2020,5,2020-05-29,189,KOSPI,LS ELECTRIC,010120,-5.73,45550,16.5,4.47,-9.62,-5.99,5.2
2020,5,2020-05-29,190,KOSPI,아모레퍼시픽,090430,-6.09,163000,-7.91,1.24,-13.76,-8.94,2.8
2020,5,2020-05-29,191,KOSPI,호텔신라,008770,-6.19,79200,-7.04,-1.37,-6.49,-16.28,-10.4
2020,5,2020-05-29,192,KOSPI,KT,030200,-6.31,24350,2.1,1.88,-9.65,-12.88,-3.3
2020,5,2020-05-29,193,KOSPI,강원랜드,035250,-7.59,24200,-3.39,6.14,-17.55,-22.06,-11.2
2020,5,2020-05-29,194,KOSDAQ,고영,098460,-7.66,18660,15.04,-2.2,-6.89,2.75,7.2
2020,5,2020-05-29,195,KOSPI,SK텔레콤,017670,-7.96,37268,2.13,1.65,-12.19,-13.77,-2.3
2020,5,2020-05-29,196,KOSPI,LS,006260,-8.22,37400,-0.66,3.74,-15.29,-18.52,-7.0
2020,5,2020-05-29,197,KOSPI,S-Oil,010950,-8.71,70700,1.0,6.16,-20.74,-15.33,-10.2
2020,5,2020-05-29,198,KOSDAQ,서울반도체,046890,-9.28,13900,5.3,-7.02,4.91,-25.27,-3.2
2020,5,2020-05-29,199,KOSDAQ,AP시스템,265520,-9.34,25100,-3.09,-5.99,-12.7,5.91,-7.2
2020,5,2020-05-29,200,KOSPI,롯데케미칼,011170,-9.93,179071,-12.76,0.27,-14.55,-27.13,-11.2
2020,5,2020-05-29,201,KOSDAQ,비에이치,090460,-10.35,17450,3.87,-1.69,-16.11,-0.85,13.5
2020,5,2020-05-29,202,KOSDAQ,메디포스트,078160,-11.11,24819,7.02,1.8,-16.32,-14.93,-3.7
2020,5,2020-05-29,203,KOSPI,효성,004800,-11.19,51843,-3.58,-2.89,-15.24,-9.91,-6.7
2020,5,2020-05-29,204,KOSDAQ,젬백스,082270,-11.66,22700,2.02,-17.45,-10.63,40.12,-15.0
2020,5,2020-05-29,205,KOSPI,한국전력,015760,-11.66,21600,-9.43,1.41,-22.58,-16.92,-9.7
2020,5,2020-05-29,206,KOSPI,한전KPS,051600,-11.84,30850,-4.93,-7.22,-13.22,-2.22,-5.8
2020,5,2020-05-29,207,KOSPI,KT&G,033780,-11.94,83900,3.45,-0.94,-14.21,-16.93,-6.8
2020,5,2020-05-29,208,KOSPI,한화,000880,-12.55,20100,-2.9,0.25,-18.13,-21.33,10.2
2020,5,2020-05-29,209,KOSPI,고려아연,010130,-12.78,378000,-2.07,-8.81,-6.9,-13.5,-11.4
