연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2019,8,2019-08-30,1,KOSDAQ,케이엠더블유,032500,362.08,66500,20.69,73.18,461.18,385.44,9.6
2019,8,2019-08-30,2,KOSDAQ,국일제지,078130,290.54,4845,-10.94,31.66,379.7,365.87,-0.8
2019,8,2019-08-30,3,KOSDAQ,오이솔루션,138080,181.19,46923,-9.78,6.76,203.02,361.57,-5.8
2019,8,2019-08-30,4,KOSDAQ,유티아이,179900,156.17,21500,-2.71,12.57,159.98,327.95,9.3
2019,8,2019-08-30,5,KOSDAQ,네패스,033640,131.74,32300,6.25,25.68,161.54,158.4,-8.0
2019,8,2019-08-30,6,KOSDAQ,유비쿼스홀딩스,078070,110.61,26050,-22.47,-25.14,110.93,353.83,-2.3
2019,8,2019-08-30,7,KOSDAQ,나이스정보통신,036800,108.19,36550,17.34,79.17,73.22,58.57,-2.5
2019,8,2019-08-30,8,KOSDAQ,클래시스,214150,90.64,12800,-9.86,5.79,124.56,108.81,11.7
2019,8,2019-08-30,9,KOSDAQ,NHN한국사이버결제,060250,86.66,12043,12.31,57.9,66.0,49.01,1.7
2019,8,2019-08-30,10,KOSDAQ,현대바이오,048410,59.69,5771,-5.41,-29.81,111.94,132.42,2.5
2019,8,2019-08-30,11,KOSDAQ,솔브레인,036830,55.36,32665,4.77,49.01,33.01,3.02,7.2
2019,8,2019-08-30,12,KOSDAQ,골프존,215000,54.75,66600,-6.33,12.69,60.48,65.47,0.2
2019,8,2019-08-30,13,KOSPI,SKC,011790,48.09,46000,8.75,51.07,18.86,-2.23,-13.5
2019,8,2019-08-30,14,KOSDAQ,사람인에이치알,143240,46.18,27650,19.7,20.48,49.86,44.01,-0.2
2019,8,2019-08-30,15,KOSDAQ,에코마케팅,230360,45.88,13625,-0.91,-34.5,90.56,140.09,9.2
2019,8,2019-08-30,16,KOSDAQ,엘비세미콘,061970,45.07,9040,-9.33,-10.05,75.53,67.41,-11.5
2019,8,2019-08-30,17,KOSDAQ,디오,039840,43.17,44000,7.98,21.05,43.56,30.76,-9.2
2019,8,2019-08-30,18,KOSDAQ,쏠리드,050890,42.35,6013,12.79,-8.03,90.16,31.23,-1.6
2019,8,2019-08-30,19,KOSPI,한화에어로스페이스,012450,40.07,39625,20.81,30.1,18.06,55.6,8.4
