연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2021,6,2021-06-30,1,KOSDAQ,데브시스터즈,194480,457.55,91600,-20.0,-20.35,533.91,1014.36,-10.48
2021,6,2021-06-30,2,KOSDAQ,KG ETS,151860,377.97,21750,95.95,240.91,223.18,464.2,-8.51
2021,6,2021-06-30,3,KOSDAQ,셀리드,299660,362.21,97724,54.67,233.18,229.49,359.27,-26.84
2021,6,2021-06-30,4,KOSPI,진원생명과학,011000,359.5,30957,106.55,304.3,119.49,388.13,-12.27
2021,6,2021-06-30,5,KOSPI,효성티앤씨,298020,344.11,900000,27.66,57.07,326.54,703.57,-1.22
2021,6,2021-06-30,6,KOSPI,HMM,011200,317.53,43900,-8.35,51.38,214.7,837.03,-8.88
2021,6,2021-06-30,7,KOSDAQ,네이처셀,007390,284.76,30250,112.28,203.41,195.12,234.62,-9.26
2021,6,2021-06-30,8,KOSDAQ,엑세스바이오,950130,264.53,24938,27.01,123.38,32.2,775.63,2.74
2021,6,2021-06-30,9,KOSPI,대한전선,001440,255.64,26534,50.88,164.84,124.18,359.3,-15.47
2021,6,2021-06-30,10,KOSDAQ,티케이케미칼,104480,230.23,7700,27.27,101.83,203.15,263.21,-3.9
2021,6,2021-06-30,11,KOSDAQ,유바이오로직스,206650,218.29,41300,-13.05,101.96,93.9,435.81,-10.05
2021,6,2021-06-30,12,KOSDAQ,휴마시스,205470,204.72,4956,42.13,179.68,98.96,99.6,-3.97
2021,6,2021-06-30,13,KOSPI,동국제강,001230,201.19,18889,-3.06,62.64,173.4,318.82,-4.28
2021,6,2021-06-30,14,KOSPI,두산중공업,034020,188.55,23020,19.85,83.46,76.67,437.1,-8.81
2021,6,2021-06-30,15,KOSDAQ,휴온스글로벌,084110,184.59,64007,-4.14,117.86,129.4,123.86,-2.98
2021,6,2021-06-30,16,KOSPI,금호타이어,073240,166.22,8020,56.64,110.5,111.89,166.0,-16.46
2021,6,2021-06-30,17,KOSPI,효성첨단소재,298050,164.35,440500,16.84,15.77,195.64,286.4,39.39
2021,6,2021-06-30,18,KOSDAQ,에스엠,041510,149.33,58800,34.55,98.65,97.65,142.47,0.0
