연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2022,4,2022-04-29,1,KOSDAQ,현대사료,016790,1124.66,8967,14.99,778.26,734.92,687.96,2.1
2022,4,2022-04-29,2,KOSPI,KG스틸,016380,162.57,24650,119.11,153.34,118.14,23.25,-30.4
2022,4,2022-04-29,3,KOSDAQ,케어젠,214370,144.11,26000,29.48,104.4,93.45,98.78,-19.6
2022,4,2022-04-29,4,KOSDAQ,이랜텍,054210,136.32,22850,32.46,59.79,111.57,195.98,1.5
2022,4,2022-04-29,5,KOSPI,LIG넥스원,079550,89.96,82100,14.19,41.55,76.18,107.32,-3.5
2022,4,2022-04-29,6,KOSDAQ,나노신소재,121600,87.52,71300,12.82,40.63,60.4,136.88,29.3
2022,4,2022-04-29,7,KOSDAQ,루트로닉,085370,84.52,26750,1.33,47.38,41.91,129.61,-8.8
2022,4,2022-04-29,8,KOSDAQ,넥슨게임즈,225570,78.62,23850,-5.17,41.54,55.88,82.06,1.7
2022,4,2022-04-29,9,KOSDAQ,에코프로비엠,247540,72.88,117710,19.79,45.11,16.22,163.2,7.6
2022,4,2022-04-29,10,KOSDAQ,피엔티,137400,66.68,50500,0.2,27.53,44.7,111.74,22.2
2022,4,2022-04-29,11,KOSDAQ,엘앤에프,066970,64.29,219300,-2.88,29.92,19.12,151.12,18.4
2022,4,2022-04-29,12,KOSDAQ,SNK,950180,63.15,37100,0.68,0.41,95.26,76.67,-0.8
2022,4,2022-04-29,13,KOSDAQ,심텍,222800,61.71,49750,-11.16,5.85,62.32,118.2,2.5
2022,4,2022-04-29,14,KOSDAQ,주성엔지니어링,036930,60.9,21450,-17.18,0.0,90.67,60.67,-1.6
2022,4,2022-04-29,15,KOSDAQ,JYP Ent.,035900,59.34,59400,-3.26,44.88,13.36,80.55,-4.2
2022,4,2022-04-29,16,KOSDAQ,안랩,053800,56.93,104000,-15.99,35.95,26.83,57.81,8.0
2022,4,2022-04-29,17,KOSDAQ,위지윅스튜디오,299900,55.57,8338,-12.58,6.38,22.38,183.8,-2.6
2022,4,2022-04-29,18,KOSDAQ,이엠텍,091120,53.5,37791,-6.52,12.99,47.15,91.11,-4.1
2022,4,2022-04-29,19,KOSPI,메리츠화재,000060,53.2,44350,-6.53,-3.27,60.11,122.31,-12.9
2022,4,2022-04-29,20,KOSPI,대웅제약,069620,52.64,183000,11.59,40.23,30.71,37.08,-6.0
2022,4,2022-04-29,21,KOSDAQ,비에이치,090460,52.34,27200,11.48,27.1,45.45,51.11,3.5
2022,4,2022-04-29,22,KOSPI,LG이노텍,011070,48.97,349000,-9.82,-1.27,66.59,73.63,10.3
2022,4,2022-04-29,23,KOSPI,한국항공우주,047810,46.48,43850,3.66,23.17,43.54,34.51,19.7
2022,4,2022-04-29,24,KOSDAQ,제이시스메디칼,287410,45.81,8680,-1.36,20.22,21.91,92.04,-3.7
2022,4,2022-04-29,25,KOSDAQ,KG ETS,151860,42.91,14600,18.22,26.96,2.82,117.91,5.5
2022,4,2022-04-29,26,KOSDAQ,상상인,038540,42.47,11400,19.75,23.91,27.52,67.65,-3.5
2022,4,2022-04-29,27,KOSPI,현대해상,001450,40.8,32550,1.24,27.9,24.0,33.68,-3.5
2022,4,2022-04-29,28,KOSDAQ,파인테크닉스,106240,40.75,5667,-0.75,10.92,21.09,106.6,8.7
2022,4,2022-04-29,29,KOSDAQ,에코마케팅,230360,39.66,20100,-7.8,41.55,15.52,-14.47,-22.9
2022,4,2022-04-29,30,KOSDAQ,메가스터디교육,215200,38.37,95300,-7.48,15.1,23.77,64.59,-3.0
2022,4,2022-04-29,31,KOSDAQ,맘스터치,220630,36.34,64700,0.0,5.03,32.45,80.47,-4.2
2022,4,2022-04-29,32,KOSDAQ,서부T&D,006730,36.01,9634,6.96,21.34,25.2,38.68,-11.7
2022,4,2022-04-29,33,KOSDAQ,ISC,095340,35.86,35900,20.67,12.89,36.24,57.8,10.6
