연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2019,2,2019-02-28,1,KOSDAQ,아난티,025980,247.11,21100,-17.25,117.08,183.98,290.02,-27.25
2019,2,2019-02-28,2,KOSDAQ,넥슨지티,041140,99.16,12950,-4.78,75.0,73.59,7.02,-10.04
2019,2,2019-02-28,3,KOSDAQ,위메이드,112040,90.44,24702,28.52,88.44,54.5,-9.28,3.89
2019,2,2019-02-28,4,KOSDAQ,메지온,140410,80.75,38920,28.13,27.85,54.44,184.38,18.7
2019,2,2019-02-28,5,KOSDAQ,포스코엠텍,009520,77.91,7650,-26.44,25.41,58.39,115.49,-0.65
2019,2,2019-02-28,6,KOSPI,신세계인터내셔날,031430,66.29,45400,5.09,30.46,12.38,183.75,31.94
2019,2,2019-02-28,7,KOSPI,효성,004800,66.16,57775,7.14,44.51,63.4,1.39,0.67
2019,2,2019-02-28,8,KOSDAQ,네이처셀,007390,61.57,13081,0.37,6.61,136.2,-58.74,-8.39
2019,2,2019-02-28,9,KOSPI,휠라코리아,081660,56.55,55600,16.81,9.45,33.17,178.84,40.29
2019,2,2019-02-28,10,KOSDAQ,메가스터디교육,215200,55.83,33350,4.22,10.98,23.52,180.63,17.84
2019,2,2019-02-28,11,KOSDAQ,에스티큐브,052020,52.72,21706,8.79,7.44,60.0,92.6,-8.08
2019,2,2019-02-28,12,KOSDAQ,나노스,151910,50.59,6890,-16.48,21.95,-25.51,212.47,-1.6
2019,2,2019-02-28,13,KOSDAQ,대아티아이,045390,45.61,7310,-13.49,-13.8,-12.77,301.65,-8.76
2019,2,2019-02-28,14,KOSDAQ,바이로메드,084990,44.84,149222,0.65,40.8,17.17,18.72,0.72
2019,2,2019-02-28,15,KOSDAQ,강스템바이오텍,217730,43.25,13798,3.36,12.05,40.85,69.28,3.0
2019,2,2019-02-28,16,KOSDAQ,슈피겐코리아,192440,40.24,62200,-3.12,30.81,19.62,25.78,1.93
2019,2,2019-02-28,17,KOSPI,삼성중공업,010140,37.59,8646,0.65,23.44,29.37,21.4,-9.82
