기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-05-31,KOSDAQ,대한광통신,010170,32030,22700,49.8,428.5,901.8,3129.0,252.74,568.58,2055.05,352.8,-9.25,2.0
2026-05-31,KOSPI,삼성전기,009150,1497608,2127000,155.6,374.2,747.4,1640.6,85.51,231.47,580.85,330.5,-5.74,8.0
2026-05-31,KOSPI,LG이노텍,011070,362106,1458000,154.5,357.1,515.2,906.2,79.62,141.77,295.45,316.5,4.94,17.0
2026-05-31,KOSDAQ,주성엔지니어링,036930,86222,200000,58.7,256.5,631.3,536.9,124.6,360.69,301.27,217.0,-7.25,7.0
2026-05-31,KOSDAQ,에스에이엠티,031330,14699,15650,121.4,197.5,306.0,462.9,34.41,83.4,154.32,182.3,-6.07,
2026-05-31,KOSPI,대덕전자,353200,87863,190900,69.2,205.0,288.0,1174.4,80.19,129.27,653.0,177.8,-6.86,45.0
2026-05-31,KOSPI,가온전선,000500,60878,322000,33.3,171.7,331.1,357.4,103.8,223.29,243.04,144.1,14.29,10.0
2026-05-31,KOSPI,대우건설,047040,99645,26200,-25.1,158.4,644.3,521.6,245.17,894.32,730.37,121.7,-7.44,1.0
2026-05-31,KOSDAQ,비츠로셀,082920,23576,52600,-7.7,148.7,247.4,272.3,169.5,276.49,303.4,117.4,-1.14,13.0
2026-05-31,KOSPI,두산퓨얼셀,336260,58682,91400,50.3,129.6,187.4,443.4,52.76,91.19,261.47,113.8,-1.97,38.0
2026-05-31,KOSPI,SK하이닉스,000660,16841156,2333000,81.4,119.9,340.2,1040.8,21.21,142.64,528.85,112.2,1.29,77.0
2026-05-31,KOSDAQ,두산테스나,131970,30324,157300,20.4,131.3,251.1,480.4,92.21,191.74,382.29,109.1,-0.25,37.0
2026-05-31,KOSDAQ,티에스이,131290,21912,199900,18.4,129.8,257.0,402.3,94.02,201.43,324.12,107.5,-0.9,23.0
2026-05-31,KOSPI,OCI홀딩스,010060,65532,349500,-5.0,129.9,235.7,392.9,142.11,253.51,419.04,102.9,0.43,5.0
2026-05-31,KOSPI,LG전자,066570,619776,293000,107.9,101.1,242.3,312.1,-3.29,64.6,98.17,102.5,29.86,87.0
2026-05-31,KOSDAQ,심텍,222800,37538,118100,35.7,118.7,117.9,560.1,61.11,60.52,386.31,102.1,-15.16,69.0
2026-05-31,KOSDAQ,미래에셋벤처투자,100790,23295,49000,-6.5,124.3,421.8,900.0,139.82,458.04,969.39,98.1,-10.51,9.0
2026-05-31,KOSPI,SK네트웍스,001740,23830,11280,92.2,96.2,146.8,172.8,2.09,28.45,41.96,95.4,5.32,
2026-05-31,KOSDAQ,제주반도체,080220,33926,97800,86.6,92.1,418.8,646.6,2.95,177.98,300.0,91.0,0.72,116.0
2026-05-31,KOSPI,현대오토에버,307950,257236,931000,106.7,85.8,360.9,549.2,-10.08,123.02,214.16,90.0,0.75,225.0
2026-05-31,KOSPI,코리아써키트,007810,28683,119300,28.7,102.5,281.8,1094.2,57.39,196.64,827.93,87.8,0.25,105.0
2026-05-31,KOSDAQ,기가비스,420770,17010,141400,36.1,96.4,308.7,436.6,44.31,200.29,294.31,84.3,-5.09,34.0
2026-05-31,KOSDAQ,티엘비,356860,10452,112800,36.0,96.3,78.9,587.3,44.39,31.58,405.5,84.2,-5.76,78.0
2026-05-31,KOSDAQ,아주IB투자,027360,13762,12090,-19.4,108.1,484.1,427.9,158.18,624.64,555.02,82.6,-6.04,6.0
2026-05-31,KOSPI,SK스퀘어,402340,1657397,1233000,46.6,91.2,313.8,974.0,30.39,182.21,632.58,82.3,1.87,64.0
2026-05-31,KOSDAQ,삼지전자,037460,7196,45300,38.5,92.8,244.2,338.5,39.15,148.48,216.55,81.9,-2.65,
2026-05-31,KOSDAQ,파두,440110,55657,112100,43.4,89.0,305.4,986.2,31.87,182.82,657.75,79.9,-0.89,4.0
2026-05-31,KOSPI,DB하이텍,000990,78917,185500,17.0,93.8,191.7,375.6,65.62,149.21,306.41,78.5,-2.21,57.0
2026-05-31,KOSDAQ,쏠리드,050890,9234,16000,-6.5,90.2,113.0,139.2,103.45,127.83,155.75,70.9,-5.0,28.0
2026-05-31,KOSPI,SK,034730,476342,676000,59.1,68.6,154.6,313.0,5.99,60.08,159.62,66.7,-2.81,108.0
2026-05-31,KOSPI,삼성생명,032830,820000,388500,55.7,68.9,154.1,292.8,8.48,63.18,152.28,66.3,5.53,110.0
2026-05-31,KOSDAQ,네패스,033640,7978,33950,6.1,81.3,96.7,331.9,70.85,85.4,307.12,66.2,1.91,
2026-05-31,KOSDAQ,케이엠더블유,032500,13796,33350,12.1,78.3,120.7,192.0,59.09,96.89,160.51,65.1,-1.95,73.0
2026-05-31,KOSPI,삼성에스디에스,018260,280107,299000,79.9,53.3,77.4,129.6,-14.77,-1.36,27.65,58.6,21.07,248.0
2026-05-31,KOSDAQ,테스,095610,21547,119100,41.8,61.8,201.9,431.7,14.13,112.93,275.0,57.8,-6.55,128.0
2026-05-31,KOSDAQ,GST,083450,9565,53800,10.9,69.4,103.4,196.4,52.76,83.36,167.22,57.7,-3.53,46.0
2026-05-31,KOSPI,LG씨엔에스,064400,139225,113800,75.1,52.8,96.2,126.7,-12.75,12.07,29.48,57.2,26.27,255.0
2026-05-31,KOSDAQ,서진시스템,178320,47787,77600,30.4,63.2,218.0,238.1,25.13,143.85,159.26,56.6,-3.22,66.0
2026-05-31,KOSDAQ,피노,033790,8340,10500,-22.7,75.3,134.9,120.4,126.71,203.8,184.99,55.7,-3.52,14.0
2026-05-31,KOSPI,현대모비스,012330,690474,768000,80.7,48.5,148.1,203.6,-17.79,37.32,67.98,55.0,-0.91,252.0
2026-05-31,KOSDAQ,코미코,183300,10000,90000,24.8,58.9,103.8,206.3,27.34,63.32,145.41,52.1,6.22,165.0
2026-05-31,KOSPI,DN오토모티브,007340,24633,44650,-7.1,64.2,85.3,103.4,76.65,99.38,118.91,49.9,-5.71,40.0
2026-05-31,KOSPI,HD현대에너지솔루션,322000,19566,174800,-24.3,68.1,220.7,262.3,122.12,323.85,378.76,49.6,-0.06,3.0
2026-05-31,KOSPI,두산,000150,356750,1972000,23.6,54.3,125.1,304.1,24.88,82.19,227.05,48.2,11.71,36.0
2026-05-31,KOSDAQ,RFHIC,218410,23260,90100,-4.5,58.6,228.2,358.3,66.02,243.53,379.65,46.0,-2.77,33.0
2026-05-31,KOSPI,삼성전자,005930,20403512,317000,43.8,46.4,215.4,464.1,1.85,119.4,292.35,45.9,10.09,95.0
2026-05-31,KOSDAQ,피에스케이,319660,27170,98500,11.0,53.7,231.6,438.3,38.38,198.65,384.7,45.1,-4.77,91.0
2026-05-31,KOSPI,LS,006260,145392,446000,-1.5,56.8,149.3,180.0,59.23,153.21,184.37,45.1,4.48,25.0
2026-05-31,KOSDAQ,네이처셀,007390,17590,30400,58.7,41.4,36.9,16.9,-10.93,-13.74,-26.35,44.9,-10.2,328.0
2026-05-31,KOSDAQ,에스티큐브,052020,9068,14590,-30.9,63.4,97.2,126.6,136.28,185.14,227.64,44.5,-8.57,15.0
2026-05-31,KOSPI,LIG디펜스앤에어로스페이스,079550,170720,801000,-14.9,57.4,109.1,86.7,84.87,145.69,119.35,42.9,-3.12,29.0
2026-05-31,KOSDAQ,에이치브이엠,295310,11943,109800,23.4,46.4,381.6,331.4,18.67,290.35,249.71,41.8,-9.56,214.0
2026-05-31,KOSDAQ,대주전자재료,078600,22010,153100,-3.4,52.0,108.0,107.2,57.4,115.35,114.48,40.9,-7.71,27.0
2026-05-31,KOSPI,LS ELECTRIC,010120,400500,241500,-13.1,53.4,162.5,378.2,76.62,202.17,450.5,40.1,10.56,16.0
2026-05-31,KOSPI,LG,003550,255699,146600,47.9,36.1,86.0,106.5,-7.99,25.76,39.58,38.5,13.1,193.0
2026-05-31,KOSPI,삼성SDI,006400,525417,688000,-1.0,47.6,129.7,307.3,49.14,132.05,311.49,37.9,-5.23,42.0
2026-05-31,KOSPI,신세계,004170,48737,515000,26.5,39.8,136.8,189.5,10.45,87.13,128.78,37.1,0.19,112.0
2026-05-31,KOSPI,산일전기,062040,75774,247000,-7.1,48.2,72.2,268.7,59.57,85.5,297.01,37.1,0.2,32.0
2026-05-31,KOSPI,삼성E&A,028050,98588,52900,-0.4,45.3,107.0,143.2,45.88,107.83,144.14,36.2,-4.91,52.0
2026-05-31,KOSDAQ,브이엠,089970,13822,58900,10.3,41.6,135.6,385.6,28.37,113.6,340.23,35.3,-5.26,49.0
2026-05-31,KOSPI,LS에코에너지,229640,21651,69100,-20.7,49.2,95.2,112.3,88.12,146.05,167.59,35.3,2.32,19.0
2026-05-31,KOSPI,DL이앤씨,375500,27859,76500,-22.7,49.7,90.1,58.4,93.74,145.96,104.97,35.2,-5.88,22.0
2026-05-31,KOSPI,NHN,181710,19520,50900,24.1,34.3,54.5,167.1,8.18,24.43,115.11,32.3,17.09,
2026-05-31,KOSPI,롯데쇼핑,023530,41725,147700,9.2,37.1,106.6,83.3,25.63,89.23,67.87,31.5,-0.14,65.0
2026-05-31,KOSDAQ,세미파이브,490470,13140,38500,-9.3,40.8,0.0,0.0,55.21,10.26,10.26,30.8,0.39,60.0
2026-05-31,KOSPI,SKC,011790,59263,139300,18.1,30.9,33.3,66.3,10.9,12.9,40.9,28.3,12.35,181.0
2026-05-31,KOSPI,삼성물산,028260,737862,432500,44.9,23.4,92.2,188.7,-14.84,32.67,99.27,27.7,5.2,229.0
2026-05-31,KOSDAQ,프로텍,053610,7110,78300,-4.7,33.6,133.4,241.2,40.27,145.01,258.17,25.9,0.89,56.0
2026-05-31,KOSPI,GS건설,006360,24690,30500,-19.8,36.2,57.9,34.7,69.87,96.95,67.99,25.0,-5.41,26.0
2026-05-31,KOSPI,엘앤에프,066970,62706,168300,-13.7,33.9,34.4,194.2,55.21,55.83,241.08,24.4,-7.9,71.0
2026-05-31,KOSPI,한온시스템,018880,53570,5630,33.1,21.3,49.5,100.6,-8.84,12.35,50.69,23.7,-7.28,119.0
2026-05-31,KOSPI,효성중공업,298040,355358,3685000,-5.8,30.5,93.8,495.3,38.58,105.79,531.99,23.3,3.42,67.0
2026-05-31,KOSDAQ,동운아나텍,094170,8144,39250,-23.6,34.0,30.8,105.4,75.43,71.33,168.97,22.4,-0.76,47.0
2026-05-31,KOSPI,SK텔레콤,017670,240994,100600,5.8,26.1,88.0,95.3,19.17,77.76,84.66,22.0,11.53,109.0
2026-05-31,KOSPI,NC,036570,63662,289500,7.0,25.3,37.9,89.8,17.1,28.81,77.38,21.7,2.07,160.0
2026-05-31,KOSPI,에이피알,278470,159673,395500,-6.8,26.6,54.8,243.0,35.84,66.14,268.17,19.9,7.84,70.0
2026-05-31,KOSDAQ,성호전자,043260,27979,33400,-18.3,29.2,1263.3,2832.4,58.22,1569.39,3490.87,19.7,18.11,20.0
2026-05-31,KOSDAQ,로보스타,090360,11914,94000,28.9,17.2,32.4,283.7,-9.1,2.68,197.55,19.6,30.0,
2026-05-31,KOSDAQ,씨젠,096530,15955,30400,23.8,15.8,18.3,-9.3,-6.48,-4.47,-26.72,17.4,0.49,298.0
2026-05-31,KOSDAQ,현대무벡스,319400,44550,39750,26.8,14.9,322.4,931.1,-9.39,233.16,713.23,17.3,0.63,213.0
2026-05-31,KOSPI,롯데에너지머티리얼즈,020150,33670,56100,-15.9,25.5,43.5,154.4,49.22,70.59,202.49,17.2,14.62,50.0
2026-05-31,KOSPI,대한전선,001440,93292,45450,-19.3,26.2,104.7,255.6,56.39,153.6,340.53,17.1,4.73,24.0
2026-05-31,KOSPI,LG디스플레이,034220,79000,16090,31.2,12.2,28.3,86.9,-14.5,-2.23,42.39,16.0,-1.8,203.0
2026-05-31,KOSDAQ,피에스케이홀딩스,031980,22640,106600,-14.2,22.2,136.9,242.2,42.55,176.22,299.04,15.0,-1.5,68.0
2026-05-31,KOSPI,GS리테일,007070,20692,25550,8.7,16.1,18.6,66.6,6.82,9.05,53.19,14.7,-3.13,209.0
2026-05-31,KOSPI,HD현대마린솔루션,443060,104461,224000,-15.6,21.5,20.4,24.6,44.06,42.67,47.66,14.1,4.02,76.0
2026-05-31,KOSDAQ,비나텍,126340,9493,149000,-15.1,20.6,155.2,448.6,42.07,200.7,546.59,13.4,-10.81,39.0
2026-05-31,KOSPI,현대차,005380,1535683,723000,36.2,7.3,176.5,290.2,-21.22,103.06,186.56,13.0,3.73,196.0
2026-05-31,KOSPI,HD현대중공업,329180,717934,696000,1.6,15.4,30.1,71.6,13.6,28.04,68.93,12.7,-1.72,123.0
2026-05-31,KOSDAQ,티씨케이,064760,28451,265000,-9.9,18.0,83.4,202.5,30.96,103.46,235.62,12.5,-3.96,124.0
2026-05-31,KOSDAQ,샘씨엔에스,252990,7629,12950,-9.2,17.6,74.5,182.4,29.52,92.18,211.01,12.3,-2.16,
2026-05-31,KOSPI,삼성증권,016360,111178,119800,11.4,12.2,52.0,98.0,0.66,36.42,77.69,12.0,3.92,151.0
2026-05-31,KOSDAQ,LS머트리얼즈,417200,13902,21350,-29.0,21.4,83.1,108.9,70.93,157.72,194.03,11.4,-3.75,44.0
2026-05-31,KOSPI,KT&G,033780,192153,184700,3.6,13.2,26.9,53.7,9.32,22.54,48.34,11.3,0.22,170.0
2026-05-31,KOSPI,효성,004800,33062,198300,-13.0,17.3,51.7,217.8,34.91,74.45,265.38,11.3,-0.4,63.0
2026-05-31,KOSPI,STX엔진,077970,15677,40400,-34.4,22.6,24.1,77.6,86.95,89.25,170.77,11.2,-3.34,30.0
2026-05-31,KOSDAQ,로보티즈,108490,58994,325500,2.8,12.8,39.4,459.0,9.71,35.55,443.5,10.8,23.66,234.0
2026-05-31,KOSPI,삼성화재,000810,269670,569000,23.4,7.4,18.2,40.7,-13.02,-4.26,13.97,10.6,6.15,281.0
2026-05-31,KOSPI,달바글로벌,483650,25250,197000,-12.8,16.2,45.9,31.3,33.33,67.41,50.67,10.4,2.79,80.0
2026-05-31,KOSDAQ,하나마이크론,067310,26718,40450,1.9,11.7,57.4,278.4,9.67,54.47,271.38,9.8,-0.62,186.0
2026-05-31,KOSPI,한화엔진,082740,51570,64200,-27.0,18.9,52.1,130.9,62.96,108.53,216.55,9.7,-3.74,48.0
2026-05-31,KOSPI,한국콜마,161890,20182,85500,-3.6,12.1,28.2,3.0,16.25,32.98,6.87,8.9,0.0,120.0
2026-05-31,KOSPI,호텔신라,008770,21272,55100,-15.9,14.9,21.1,11.1,36.6,43.96,32.06,8.8,-1.63,82.0
2026-05-31,KOSPI,코웨이,021240,63690,90000,4.5,9.9,4.7,1.2,5.13,0.12,-3.15,8.8,0.0,207.0
2026-05-31,KOSDAQ,인텔리안테크,189300,13368,133100,0.3,10.0,222.7,183.8,9.67,221.7,182.94,8.1,-6.46,122.0
2026-05-31,KOSDAQ,펩트론,087010,64938,301000,15.5,5.6,-11.5,29.5,-8.6,-23.38,12.04,7.6,-7.48,322.0
2026-05-31,KOSPI,한올바이오파마,009420,30351,62500,31.9,1.3,33.5,141.3,-23.18,1.28,83.01,7.4,-7.04,301.0
2026-05-31,KOSDAQ,디앤디파마텍,347850,36401,94600,27.5,2.4,-0.2,337.0,-19.7,-21.73,242.79,7.4,-12.16,324.0
2026-05-31,KOSDAQ,이오테크닉스,039030,55437,458000,-2.1,9.4,78.2,218.3,11.83,82.1,225.23,7.1,-1.75,125.0
2026-05-31,KOSPI,미래에셋생명,085620,20344,14700,-7.7,10.4,57.9,161.1,19.59,71.11,182.95,6.7,2.38,62.0
2026-05-31,KOSPI,에스엘,005850,34464,75100,19.4,2.3,81.4,136.9,-14.31,51.93,98.42,5.7,-1.2,180.0
2026-05-31,KOSPI,LG에너지솔루션,373220,1064700,458000,-0.5,7.3,12.3,60.1,7.85,12.87,61.01,5.7,-0.66,164.0
2026-05-31,KOSDAQ,HPSP,403870,38351,48650,-7.5,8.5,60.8,118.7,17.28,73.88,136.4,5.3,-4.21,161.0
2026-05-31,KOSDAQ,서울반도체,046890,8046,12890,-21.9,12.1,108.6,96.2,43.57,167.15,151.29,5.3,7.06,21.0
2026-05-31,KOSDAQ,제이에스링크,127120,14835,41450,1.6,6.1,109.4,379.7,4.48,106.16,372.22,5.2,3.38,41.0
2026-05-31,KOSPI,F&F,383220,27312,72900,9.0,3.1,0.4,-3.4,-5.37,-7.85,-11.39,4.3,-2.19,275.0
2026-05-31,KOSDAQ,SFA반도체,036540,13041,8320,0.2,5.3,99.3,177.3,5.06,98.8,176.67,4.3,-4.69,187.0
2026-05-31,KOSPI,오리온홀딩스,001800,15567,25050,-3.1,5.0,23.7,32.5,8.39,27.65,36.77,3.4,-0.8,
2026-05-31,KOSPI,현대해상,001450,29325,34550,13.7,0.6,15.0,41.9,-11.5,1.16,24.85,3.2,-0.43,204.0
2026-05-31,KOSDAQ,고영,098460,23239,34300,-14.8,7.7,44.7,127.8,26.37,69.83,167.26,3.2,-1.31,114.0
2026-05-31,KOSDAQ,태광,023160,7889,31500,-31.6,11.9,38.2,69.2,63.59,101.97,147.31,3.2,-3.17,61.0
2026-05-31,KOSDAQ,테크윙,089030,18230,49850,-13.0,7.0,5.8,49.9,22.96,21.66,72.33,3.0,-1.3,156.0
2026-05-31,KOSPI,팬오션,028670,27316,5490,-0.9,4.0,45.6,48.2,4.92,46.95,49.53,3.0,-6.92,157.0
2026-05-31,KOSPI,HD건설기계,267270,69486,151500,-17.6,7.7,61.5,114.9,30.7,96.06,160.85,2.6,-4.29,53.0
2026-05-31,KOSPI,크래프톤,259960,115111,257500,-2.8,3.6,0.0,-30.2,6.64,2.91,-28.18,2.3,-3.11,220.0
2026-05-31,KOSPI,GS,078930,67999,72500,-11.5,5.5,28.5,66.5,19.21,45.21,88.06,2.1,0.97,135.0
2026-05-31,KOSDAQ,노타,486990,8079,38500,8.6,0.5,-12.9,0.0,-7.44,-19.8,-7.92,2.1,-1.69,
2026-05-31,KOSDAQ,원익QnC,074600,8293,32900,-13.1,5.6,62.1,99.4,21.51,86.45,129.39,1.9,-4.1,104.0
2026-05-31,KOSDAQ,제룡전기,033100,9444,59000,-16.2,5.7,68.6,80.7,26.16,101.14,115.62,1.3,-0.34,75.0
2026-05-31,KOSPI,더존비즈온,012510,34977,120000,0.0,1.4,28.8,115.4,1.35,28.76,115.44,1.1,0.08,148.0
2026-05-31,KOSPI,HL만도,204320,29301,62100,8.8,-1.1,33.3,84.3,-9.08,22.53,69.44,0.9,0.48,278.0
2026-05-31,KOSDAQ,ISC,095340,44407,202500,-16.5,5.0,81.0,298.6,25.78,116.71,377.36,0.7,3.46,72.0
2026-05-31,KOSPI,POSCO홀딩스,005490,327267,423500,-8.3,2.5,36.8,69.4,11.86,49.27,84.8,0.4,-2.48,100.0
2026-05-31,KOSPI,코오롱인더,120110,21171,71800,-23.7,6.2,76.0,114.6,39.2,130.64,181.32,0.2,-1.53,55.0
2026-05-31,KOSDAQ,코스모로보틱스,439960,11077,37100,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-7.01,
2026-05-31,KOSPI,현대백화점,069960,24174,109800,0.8,-0.2,20.4,52.5,-1.0,19.41,51.25,0.0,2.09,138.0
2026-05-31,KOSDAQ,에코프로비엠,247540,202508,217000,5.3,-2.0,44.8,141.9,-7.0,37.42,129.65,-0.6,-4.61,291.0
2026-05-31,KOSPI,두산로보틱스,454910,89710,106500,-3.4,0.0,37.4,125.6,3.47,42.19,133.47,-0.7,29.95,218.0
2026-05-31,KOSPI,포스코퓨처엠,003670,205465,245500,-2.6,-0.6,18.9,117.2,2.02,22.03,122.97,-1.0,-5.91,174.0
2026-05-31,KOSDAQ,하나머티리얼즈,166090,11945,64000,-15.2,2.6,41.4,152.0,20.99,66.85,197.24,-1.0,-5.63,172.0
2026-05-31,KOSDAQ,동진쎄미켐,005290,27472,54700,-3.4,-0.4,51.3,93.3,3.1,56.57,100.0,-1.0,-1.46,206.0
2026-05-31,KOSPI,한화생명,088350,41559,4880,-0.1,-1.5,62.1,65.1,-1.41,62.29,65.31,-1.2,-1.95,98.0
2026-05-31,KOSPI,케이뱅크,279570,22718,5790,-6.9,0.0,0.0,0.0,7.43,7.43,7.43,-1.4,-3.28,236.0
2026-05-31,KOSPI,BGF리테일,282330,21518,124200,-5.9,-0.5,14.7,21.2,5.77,21.88,28.78,-1.6,0.24,211.0
2026-05-31,KOSPI,LG유플러스,032640,69691,16130,1.8,-2.5,7.1,26.0,-4.23,5.18,23.75,-1.6,1.8,244.0
2026-05-31,KOSPI,한화,000880,90884,133700,0.2,-2.1,68.4,77.1,-2.34,68.01,76.69,-1.7,-3.59,152.0
2026-05-31,KOSPI,일진전기,103590,44442,92900,-24.2,3.8,69.2,208.6,36.87,123.13,306.98,-1.8,0.32,35.0
2026-05-31,KOSPI,이수페타시스,007660,102332,129200,-14.0,1.3,-10.3,236.5,17.79,4.37,291.41,-1.8,7.89,102.0
2026-05-31,KOSDAQ,올릭스,226950,35079,175100,1.5,-2.7,36.1,222.5,-4.17,34.03,217.68,-1.9,-1.31,147.0
2026-05-31,KOSDAQ,제이앤티씨,204270,11072,21150,9.4,-4.7,-0.7,28.6,-12.88,-9.2,17.57,-1.9,-9.5,308.0
2026-05-31,KOSPI,대한항공,003490,95000,26800,9.2,-4.6,22.7,19.1,-12.63,12.36,9.11,-1.9,-3.73,217.0
2026-05-31,KOSPI,SK가스,018670,21060,237000,-18.0,1.7,-0.8,11.5,24.03,20.92,36.0,-2.2,-4.01,137.0
2026-05-31,KOSPI,두산밥캣,241560,63265,64700,-10.1,-0.5,17.2,37.7,10.77,30.43,53.19,-2.4,2.01,129.0
2026-05-31,KOSPI,HD현대일렉트릭,267260,384262,1053000,-15.9,0.3,35.9,177.8,19.24,61.55,230.34,-3.0,1.23,84.0
2026-05-31,KOSPI,삼양식품,003230,87834,1205000,-10.1,-1.3,-16.6,8.5,9.83,-7.2,20.7,-3.1,-3.24,182.0
2026-05-31,KOSPI,두산에너빌리티,034020,684759,105600,-16.9,-0.7,38.2,161.7,19.57,66.36,214.99,-3.9,1.23,89.0
