연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2019,1,2019-01-31,1,KOSDAQ,아난티,025980,345.43,25500,36.0,200.0,225.26,400.0,-17.25
2019,1,2019-01-31,2,KOSDAQ,이엠코리아,095190,214.77,9210,51.98,165.04,130.83,138.6,-13.36
2019,1,2019-01-31,3,KOSDAQ,포스코엠텍,009520,148.5,10400,58.3,77.78,112.24,209.06,-26.44
2019,1,2019-01-31,4,KOSDAQ,에스티큐브,052020,142.69,19952,3.91,55.2,91.98,266.63,8.79
2019,1,2019-01-31,5,KOSDAQ,SBI핀테크솔루션즈,950110,131.08,14200,-12.88,98.6,81.59,44.16,-11.27
2019,1,2019-01-31,6,KOSDAQ,대아티아이,045390,115.96,8450,2.92,44.94,21.41,349.47,-13.49
2019,1,2019-01-31,7,KOSDAQ,넥슨지티,041140,92.21,13600,107.95,97.1,73.25,-2.51,-4.78
2019,1,2019-01-31,8,KOSPI,신세계인터내셔날,031430,79.23,43200,11.05,46.44,25.22,158.37,5.09
2019,1,2019-01-31,9,KOSDAQ,메가스터디교육,215200,78.75,32000,23.31,75.82,-3.36,122.15,4.22
2019,1,2019-01-31,10,KOSPI,휠라코리아,081660,72.94,47600,-11.03,13.2,50.16,175.46,16.81
2019,1,2019-01-31,11,KOSDAQ,강스템바이오텍,217730,72.66,13350,-11.24,19.45,91.62,45.19,3.36
2019,1,2019-01-31,12,KOSDAQ,메지온,140410,67.86,30375,-1.09,14.9,61.35,125.25,28.13
2019,1,2019-01-31,13,KOSDAQ,삼표시멘트,038500,67.4,5140,19.53,62.15,23.41,49.42,-16.44
2019,1,2019-01-31,14,KOSDAQ,넷게임즈,225570,65.4,14050,92.47,90.38,27.73,-11.36,-21.35
2019,1,2019-01-31,15,KOSPI,한진칼,180640,65.38,27700,-7.05,43.52,50.54,19.4,-7.94
2019,1,2019-01-31,16,KOSPI,현대엘리베이,017800,58.54,74027,3.74,39.27,21.98,84.39,-14.14
2019,1,2019-01-31,17,KOSPI,한올바이오파마,009420,57.54,34850,-3.73,47.05,43.42,-12.77,6.74
2019,1,2019-01-31,18,KOSDAQ,멀티캠퍼스,067280,57.36,52200,18.37,34.71,44.2,55.82,0.57
2019,1,2019-01-31,19,KOSDAQ,바이로메드,084990,56.6,148254,8.66,48.15,38.27,3.37,0.65
2019,1,2019-01-31,20,KOSDAQ,슈피겐코리아,192440,56.17,64200,22.75,50.0,26.63,37.03,-3.12
2019,1,2019-01-31,21,KOSPI,대림산업,000210,55.44,96235,3.9,40.13,35.84,31.0,-12.11
2019,1,2019-01-31,22,KOSDAQ,나노스,151910,52.76,8250,65.33,14.58,0.0,270.79,-16.48
2019,1,2019-01-31,23,KOSPI,쌍용양회,003410,51.79,7230,4.92,37.64,25.48,49.66,-3.94
2019,1,2019-01-31,24,KOSPI,대우조선해양,042660,50.25,32871,8.35,26.5,40.42,52.58,-14.59
2019,1,2019-01-31,25,KOSPI,효성,004800,47.34,53923,40.0,36.45,57.3,-12.38,7.14
2019,1,2019-01-31,26,KOSPI,현대미포조선,010620,45.13,62800,4.67,33.26,33.97,12.35,-0.96
2019,1,2019-01-31,27,KOSPI,삼성중공업,010140,42.82,8590,22.8,30.77,40.66,12.21,0.65
2019,1,2019-01-31,28,KOSPI,유한양행,000100,42.63,38204,16.38,48.49,11.53,6.74,9.46
2019,1,2019-01-31,29,KOSDAQ,와이지엔터테인먼트,122870,40.83,43500,-8.42,18.05,30.63,46.96,-3.33
2019,1,2019-01-31,30,KOSDAQ,삼천당제약,000250,40.63,45350,19.34,42.39,15.54,14.09,12.02
2019,1,2019-01-31,31,KOSPI,SK네트웍스,001740,39.95,5930,14.04,39.37,26.04,-8.77,-0.51
2019,1,2019-01-31,32,KOSDAQ,코엔텍,029960,39.34,7370,-3.53,12.52,39.32,44.79,6.11
2019,1,2019-01-31,33,KOSDAQ,유진기업,023410,38.61,7470,19.52,42.83,10.18,15.81,-10.31
2019,1,2019-01-31,34,KOSPI,현대건설,000720,38.14,60519,13.92,35.95,6.32,44.99,-8.04
2019,1,2019-01-31,35,KOSPI,대한항공,003490,35.27,23602,10.14,32.6,24.65,-5.58,1.1
2019,1,2019-01-31,36,KOSPI,대웅제약,069620,33.57,193500,2.65,37.23,5.74,7.2,0.26
2019,1,2019-01-31,37,KOSDAQ,위메이드,112040,32.54,19221,46.62,61.22,-1.3,-32.3,28.52
2019,1,2019-01-31,38,KOSDAQ,아프리카TV,067160,31.44,41400,5.08,20.35,-2.59,87.33,10.51
2019,1,2019-01-31,39,KOSDAQ,JYP Ent.,035900,31.2,28700,-5.12,0.35,26.43,83.39,-0.7
2019,1,2019-01-31,40,KOSPI,강원랜드,035250,29.86,34000,6.25,18.47,30.77,4.78,-9.12
2019,1,2019-01-31,41,KOSPI,기아차,000270,29.14,36350,7.86,27.99,14.67,4.91,0.55
2019,1,2019-01-31,42,KOSPI,이노션,214320,28.88,35250,11.37,21.55,27.72,0.28,-0.85
2019,1,2019-01-31,43,KOSDAQ,차바이오텍,085660,28.54,19663,5.45,16.08,51.6,-45.17,12.67
2019,1,2019-01-31,44,KOSDAQ,오스코텍,039200,28.28,23267,6.64,2.77,44.31,26.18,19.29
2019,1,2019-01-31,45,KOSPI,현대로템,064350,27.31,26450,-5.03,21.05,-2.76,54.23,-2.08
2019,1,2019-01-31,46,KOSPI,한화에어로스페이스,012450,27.26,31985,-3.38,10.37,39.25,-6.69,4.94
2019,1,2019-01-31,47,KOSDAQ,에이치엘비생명과학,067630,27.0,7408,-7.27,-3.04,1.94,135.03,19.13
2019,1,2019-01-31,48,KOSDAQ,에스엠,041510,26.41,48050,-8.13,9.45,24.64,24.48,-3.23
2019,1,2019-01-31,49,KOSDAQ,우리산업,215360,26.32,34650,-4.68,23.31,16.67,-7.97,-5.19
2019,1,2019-01-31,50,KOSDAQ,네이처셀,007390,26.25,13033,14.7,-5.21,89.57,-57.14,0.37
2019,1,2019-01-31,51,KOSDAQ,오스템임플란트,048260,25.84,470600,3.74,29.98,6.73,-3.81,-5.04
2019,1,2019-01-31,52,KOSDAQ,레고켐바이오,141080,25.64,25073,-11.64,2.25,50.45,-18.54,13.77
2019,1,2019-01-31,53,KOSPI,메리츠화재,000060,25.42,22200,1.6,21.98,20.65,-10.84,-0.45
2019,1,2019-01-31,54,KOSPI,한화케미칼,009830,24.81,27149,11.14,39.01,6.15,-36.22,4.23
2019,1,2019-01-31,55,KOSPI,현대위아,011210,24.33,43650,20.41,47.47,-7.32,-29.48,-0.46
2019,1,2019-01-31,56,KOSDAQ,덕산네오룩스,213420,24.06,17100,20.42,38.46,0.29,-13.85,10.53
2019,1,2019-01-31,57,KOSDAQ,신라젠,215600,23.49,48338,2.58,9.43,44.45,-28.8,-1.46
2019,1,2019-01-31,58,KOSDAQ,서울반도체,046890,23.4,23700,22.48,15.89,31.67,-3.27,0.21
2019,1,2019-01-31,59,KOSPI,메리츠종금증권,008560,23.21,4585,7.13,15.49,29.89,-13.49,0.22
2019,1,2019-01-31,60,KOSDAQ,아미코젠,092040,22.49,17404,10.12,19.59,0.13,43.87,-3.6
2019,1,2019-01-31,61,KOSPI,현대중공업,009540,22.39,138500,7.78,11.24,30.05,-0.36,-5.05
2019,1,2019-01-31,62,KOSDAQ,위닉스,044340,22.33,16900,16.15,28.03,7.64,-3.43,-9.76
2019,1,2019-01-31,63,KOSPI,한국전력,015760,22.1,34500,4.23,27.31,3.6,-3.5,1.01
2019,1,2019-01-31,64,KOSDAQ,바이넥스,053030,21.7,11500,25.55,20.93,19.79,0.88,-6.09
2019,1,2019-01-31,65,KOSDAQ,웹젠,069080,21.38,20150,-5.4,35.69,-3.59,-32.27,2.98
2019,1,2019-01-31,66,KOSPI,현대글로비스,086280,19.82,71028,10.08,24.56,3.65,1.79,-1.76
2019,1,2019-01-31,67,KOSPI,한온시스템,018880,19.25,11898,18.52,16.9,19.63,-1.91,-2.74
2019,1,2019-01-31,68,KOSPI,엔씨소프트,036570,19.14,468500,0.43,9.08,21.53,6.0,-1.6
2019,1,2019-01-31,69,KOSPI,GS건설,006360,18.88,47050,7.54,12.69,3.86,41.5,-9.03
