연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2015,8,2015-08-31,1,KOSPI,한미사이언스,008930,823.52,131991,23.08,161.02,956.1,1106.39,-13.13
2015,8,2015-08-31,2,KOSPI,동원시스템즈,014820,250.16,95600,-16.87,16.59,245.13,554.79,-6.07
2015,8,2015-08-31,3,KOSDAQ,서울옥션,063170,246.39,22900,9.05,20.84,227.14,589.76,-4.59
2015,8,2015-08-31,4,KOSDAQ,대화제약,067080,243.54,30150,-12.74,48.89,264.57,347.99,-3.65
2015,8,2015-08-31,5,KOSDAQ,코오롱생명과학,102940,243.46,127364,9.23,69.31,299.6,200.3,-15.48
2015,8,2015-08-31,6,KOSPI,한미약품,128940,228.7,350247,8.75,5.58,304.67,368.26,-14.6
2015,8,2015-08-31,7,KOSDAQ,코웰패션,033290,199.86,2759,-2.85,79.04,193.2,197.31,1.52
2015,8,2015-08-31,8,KOSDAQ,코리아나,027050,182.1,12650,-6.64,-25.37,245.63,391.26,16.21
2015,8,2015-08-31,9,KOSDAQ,원풍물산,008290,181.92,8580,-9.78,-34.95,237.8,445.11,17.72
2015,8,2015-08-31,10,KOSDAQ,사람인에이치알,143240,178.74,29850,23.35,67.23,198.5,151.9,-22.61
2015,8,2015-08-31,11,KOSDAQ,엘아이에스,138690,172.9,77840,6.67,23.89,205.35,262.23,24.11
2015,8,2015-08-31,12,KOSDAQ,나스미디어,089600,166.41,53236,14.14,69.56,138.36,222.02,-15.67
2015,8,2015-08-31,13,KOSDAQ,한국정보인증,053300,158.97,11123,-4.51,16.5,197.17,231.44,59.66
2015,8,2015-08-31,14,KOSPI,GS리테일,007070,154.59,57133,27.97,69.33,138.57,177.18,-8.68
2015,8,2015-08-31,15,KOSDAQ,NICE평가정보,030190,149.39,14050,14.69,54.4,119.53,245.21,-10.32
2015,8,2015-08-31,16,KOSDAQ,지스마트글로벌,114570,143.06,48623,-14.9,-14.38,139.69,408.66,20.94
2015,8,2015-08-31,17,KOSDAQ,바이로메드,084990,133.56,82820,-10.13,17.04,171.01,162.01,-22.15
2015,8,2015-08-31,18,KOSPI,BGF리테일,027410,129.65,51934,1.26,32.13,124.39,210.0,0.25
2015,8,2015-08-31,19,KOSPI,다우기술,023590,128.43,29900,-0.5,64.29,97.36,141.13,-2.34
2015,8,2015-08-31,20,KOSPI,삼양홀딩스,000070,125.73,119447,-6.53,65.74,98.01,114.12,-24.3
2015,8,2015-08-31,21,KOSDAQ,에머슨퍼시픽,025980,124.19,7240,-13.81,30.22,92.55,254.9,-17.82
2015,8,2015-08-31,22,KOSDAQ,티씨케이,064760,116.89,24600,20.59,16.31,150.0,164.8,-15.45
2015,8,2015-08-31,23,KOSDAQ,CJ프레시웨이,051500,111.91,90000,28.21,59.29,77.51,156.78,-13.11
2015,8,2015-08-31,24,KOSDAQ,로엔,016170,111.04,95600,7.05,61.76,84.56,103.84,-16.32
2015,8,2015-08-31,25,KOSPI,한국항공우주,047810,109.9,92300,-5.33,44.9,83.13,156.75,-26.44
2015,8,2015-08-31,26,KOSDAQ,인터로조,119610,107.98,25514,-0.37,54.76,88.88,98.27,-7.03
2015,8,2015-08-31,27,KOSDAQ,에이치엘비,028300,107.52,9034,-14.17,-21.86,58.21,465.33,13.66
2015,8,2015-08-31,28,KOSDAQ,다원시스,068240,106.12,20939,-18.75,24.2,96.08,174.86,2.01
2015,8,2015-08-31,29,KOSPI,한샘,009240,105.78,318500,7.24,41.56,80.45,168.78,-10.36
2015,8,2015-08-31,30,KOSPI,녹십자홀딩스,005250,102.81,43400,5.72,28.78,97.27,161.45,-7.72
2015,8,2015-08-31,31,KOSPI,삼립식품,005610,102.39,366000,5.32,25.99,72.24,232.73,-13.66
2015,8,2015-08-31,32,KOSPI,한세실업,105630,100.19,62800,20.77,71.35,53.36,102.91,-12.1
2015,8,2015-08-31,33,KOSDAQ,톱텍,108230,96.59,13954,22.67,55.62,62.75,126.31,-9.85
2015,8,2015-08-31,34,KOSDAQ,인트론바이오,048530,95.86,24810,-7.3,-18.85,120.01,247.38,-2.32
2015,8,2015-08-31,35,KOSDAQ,휴온스,084110,95.65,65834,-1.77,30.01,96.1,116.16,-14.95
2015,8,2015-08-31,36,KOSDAQ,동서,026960,86.37,44800,7.69,44.75,55.29,122.33,-18.08
2015,8,2015-08-31,37,KOSDAQ,이엔에프테크놀로지,102710,84.3,21250,7.05,9.25,101.42,137.96,-1.88
2015,8,2015-08-31,38,KOSDAQ,한국정보통신,025770,84.25,16850,-17.0,-2.03,105.99,147.43,10.09
2015,8,2015-08-31,39,KOSPI,오뚜기,007310,80.71,1042000,26.76,43.72,74.83,68.34,-0.29
2015,8,2015-08-31,40,KOSPI,하나투어,039130,79.69,153852,-9.22,28.57,61.37,121.52,-7.94
2015,8,2015-08-31,41,KOSDAQ,바이넥스,053030,78.6,20000,-17.01,20.12,44.4,184.5,-15.5
2015,8,2015-08-31,42,KOSDAQ,크루셜텍,114120,75.6,792518,13.27,46.98,46.98,85.88,0.63
2015,8,2015-08-31,43,KOSDAQ,웹젠,069080,75.41,31200,-3.41,-5.88,30.0,322.19,2.4
2015,8,2015-08-31,44,KOSDAQ,제이콘텐트리,036420,75.01,50780,3.89,32.69,70.52,71.9,-9.0
2015,8,2015-08-31,45,KOSPI,CJ CGV,079160,73.2,72251,-2.56,12.31,77.29,120.93,-7.89
2015,8,2015-08-31,46,KOSDAQ,CJ E&M,130960,66.99,82600,11.62,24.96,68.92,74.45,10.53
2015,8,2015-08-31,47,KOSDAQ,액토즈소프트,052790,64.77,46450,-9.45,36.02,44.93,57.99,-14.96
2015,8,2015-08-31,48,KOSDAQ,아미코젠,092040,63.37,19898,-6.67,3.95,89.54,70.53,-4.15
2015,8,2015-08-31,49,KOSDAQ,다우데이타,032190,62.91,17700,0.0,6.95,28.73,214.95,21.75
2015,8,2015-08-31,50,KOSPI,코스맥스,192820,62.9,206938,6.39,12.18,67.18,104.25,-1.62
2015,8,2015-08-31,51,KOSPI,CJ,001040,61.99,271103,-5.89,19.79,65.71,60.61,-8.17
2015,8,2015-08-31,52,KOSPI,효성,004800,61.17,58352,-10.18,11.31,74.86,63.27,-12.11
2015,8,2015-08-31,53,KOSPI,한국콜마,161890,60.66,104000,1.46,9.59,69.38,92.95,-5.0
2015,8,2015-08-31,54,KOSDAQ,메디톡스,086900,60.64,402601,-4.36,9.3,43.85,152.03,-16.26
2015,8,2015-08-31,55,KOSPI,롯데푸드,002270,59.09,1078438,20.97,22.85,73.27,41.83,-4.81
2015,8,2015-08-31,56,KOSDAQ,나이스정보통신,036800,59.04,43600,8.05,21.28,54.88,80.91,1.83
2015,8,2015-08-31,57,KOSPI,현대그린푸드,005440,58.17,17980,13.04,37.52,46.78,36.84,-6.22
2015,8,2015-08-31,58,KOSDAQ,바텍,043150,57.97,36150,21.51,33.89,44.89,63.57,8.3
2015,8,2015-08-31,59,KOSDAQ,원익머트리얼즈,104830,57.14,34700,-0.29,28.52,48.45,50.22,-8.5
2015,8,2015-08-31,60,KOSDAQ,리홈쿠첸,014470,54.73,8450,0.0,21.81,63.41,27.86,-16.21
2015,8,2015-08-31,61,KOSDAQ,동화기업,025900,53.31,12932,-26.06,-2.16,73.61,65.1,-1.54
2015,8,2015-08-31,62,KOSDAQ,제넥신,095700,53.3,34065,-27.57,4.22,53.77,87.6,-14.71
2015,8,2015-08-31,63,KOSPI,농심,004370,52.86,368000,18.52,30.96,45.17,46.03,-0.54
2015,8,2015-08-31,64,KOSDAQ,루트로닉,085370,52.82,22145,-17.66,-0.67,50.17,123.73,-7.0
2015,8,2015-08-31,65,KOSDAQ,모두투어,080160,52.76,28315,8.43,27.1,40.1,63.59,-9.66
2015,8,2015-08-31,66,KOSPI,메리츠금융지주,138040,52.25,16300,2.19,14.79,38.14,108.97,-11.66
2015,8,2015-08-31,67,KOSDAQ,아프리카TV,067160,51.74,29950,-10.06,45.39,24.79,5.09,2.17
2015,8,2015-08-31,68,KOSDAQ,코나아이,052400,51.08,85100,-8.1,21.05,43.51,54.33,3.17
2015,8,2015-08-31,69,KOSDAQ,유비쿼스,078070,50.25,9815,-3.09,15.58,43.31,77.58,4.25
2015,8,2015-08-31,70,KOSDAQ,한국사이버결제,060250,50.18,16409,-8.99,-4.64,14.96,223.08,1.86
2015,8,2015-08-31,71,KOSDAQ,코스온,069110,49.22,29600,-7.21,-26.0,57.45,199.29,-4.05
2015,8,2015-08-31,72,KOSDAQ,오스템임플란트,048260,48.53,549460,8.18,18.47,41.49,73.27,0.62
2015,8,2015-08-31,73,KOSDAQ,레드로버,060300,47.48,26570,-31.17,8.77,46.66,54.51,0.74
2015,8,2015-08-31,74,KOSDAQ,쇼박스,086980,46.82,7650,-10.0,3.94,40.62,106.76,10.85
2015,8,2015-08-31,75,KOSDAQ,인터파크홀딩스,035080,46.67,66500,23.72,40.15,32.34,15.65,-4.14
2015,8,2015-08-31,76,KOSDAQ,OCI머티리얼즈,036490,46.45,109700,-17.46,-4.28,36.1,141.63,-16.96
2015,8,2015-08-31,77,KOSDAQ,한글과컴퓨터,030520,46.35,25650,22.73,37.53,40.93,1.99,-6.82
2015,8,2015-08-31,78,KOSPI,동원F&B,049770,43.0,86083,-6.62,29.13,12.57,60.45,-6.63
2015,8,2015-08-31,79,KOSDAQ,인바디,041830,42.95,43200,-9.62,14.29,21.18,95.03,-9.95
2015,8,2015-08-31,80,KOSPI,한전KPS,051600,42.88,126000,7.23,17.21,36.66,61.13,-3.97
2015,8,2015-08-31,81,KOSDAQ,동원개발,013120,40.26,5470,5.19,4.79,52.16,56.96,-15.36
2015,8,2015-08-31,82,KOSDAQ,아가방컴퍼니,013990,39.79,11250,0.0,-14.77,61.41,104.55,7.56
2015,8,2015-08-31,83,KOSDAQ,에이스침대,003800,36.61,32300,4.26,11.38,38.98,44.33,-1.05
2015,8,2015-08-31,84,KOSDAQ,위메이드,112040,36.46,26066,-4.8,22.71,25.7,22.42,-8.72
2015,8,2015-08-31,85,KOSPI,쌍용양회,003410,35.47,4096,-5.73,5.87,27.28,79.96,3.44
2015,8,2015-08-31,86,KOSDAQ,코미팜,041960,34.71,14785,25.51,-35.29,96.24,99.61,22.72
2015,8,2015-08-31,87,KOSDAQ,에스엠,041510,34.27,44000,39.02,30.56,32.93,5.77,-9.66
2015,8,2015-08-31,88,KOSPI,KT&G,033780,33.96,110500,0.45,14.63,38.12,16.44,0.9
2015,8,2015-08-31,89,KOSPI,코리안리,003690,33.46,8596,-5.77,14.89,33.67,17.8,2.51
2015,8,2015-08-31,90,KOSPI,녹십자,006280,32.91,197500,-10.23,-3.89,41.58,65.97,-5.32
2015,8,2015-08-31,91,KOSPI,쿠쿠전자,192400,31.95,42191,-8.85,1.68,41.82,39.64,-0.37
2015,8,2015-08-31,92,KOSPI,엔씨소프트,036570,30.16,218500,-0.46,10.91,22.41,50.69,-13.5
2015,8,2015-08-31,93,KOSDAQ,젬백스,082270,29.96,33800,8.68,-18.55,77.89,37.96,0.0
2015,8,2015-08-31,94,KOSPI,롯데케미칼,011170,29.81,235269,-5.18,4.66,29.66,51.07,9.31
2015,8,2015-08-31,95,KOSDAQ,진로발효,018120,29.29,40772,-6.9,4.25,30.44,46.47,-2.22
2015,8,2015-08-31,96,KOSPI,아모레퍼시픽,090430,28.67,378500,-7.91,-6.31,32.54,79.34,1.72
2015,8,2015-08-31,97,KOSDAQ,와이지엔터테인먼트,122870,27.85,58200,9.81,16.75,25.03,19.51,-10.31
2015,8,2015-08-31,98,KOSPI,아모레G,002790,27.83,171604,-11.57,-1.71,28.74,62.57,-5.23
2015,8,2015-08-31,99,KOSDAQ,뷰웍스,100120,27.5,36500,-9.32,17.36,17.93,13.88,-9.04
2015,8,2015-08-31,100,KOSPI,유한양행,000100,27.41,35035,-7.79,-6.93,45.33,43.64,-2.01
2015,8,2015-08-31,101,KOSPI,한화,000880,27.05,41003,-11.26,-2.43,37.75,39.34,-7.83
2015,8,2015-08-31,102,KOSDAQ,이지바이오,035810,27.01,7143,-4.91,26.94,12.93,-9.94,-14.1
2015,8,2015-08-31,103,KOSDAQ,씨젠,096530,26.86,23470,-20.44,6.74,26.22,21.32,-11.35
