연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2015,2,2015-02-27,1,KOSDAQ,코콤,015710,412.15,17750,53.02,276.06,229.31,436.25,-14.4
2015,2,2015-02-27,2,KOSDAQ,산성앨엔에스,016100,307.86,41600,26.64,73.33,91.26,1044.43,63.0
2015,2,2015-02-27,3,KOSDAQ,에이치엘비,028300,261.48,5710,41.41,88.89,257.32,349.96,-0.7
2015,2,2015-02-27,4,KOSDAQ,다우데이타,032190,186.6,13750,23.32,110.24,144.66,153.69,-9.1
2015,2,2015-02-27,5,KOSDAQ,웹젠,069080,185.85,24000,-22.33,18.52,224.76,270.94,17.1
2015,2,2015-02-27,6,KOSDAQ,이테크건설,016250,172.51,44042,22.46,101.69,94.65,241.62,13.9
2015,2,2015-02-27,7,KOSDAQ,컴투스,078340,153.18,157874,0.0,30.51,41.21,540.8,8.5
2015,2,2015-02-27,8,KOSDAQ,한국사이버결제,060250,151.12,14274,-12.39,32.49,181.04,160.66,-5.9
2015,2,2015-02-27,9,KOSDAQ,코스온,069110,133.86,18800,11.9,69.37,90.09,178.52,38.3
2015,2,2015-02-27,10,KOSPI,삼립식품,005610,126.88,212500,10.1,48.6,93.18,217.16,34.1
2015,2,2015-02-27,11,KOSDAQ,KG이니시스,035600,126.12,24800,0.4,75.89,118.5,31.22,-8.5
2015,2,2015-02-27,12,KOSPI,아시아나항공,020560,115.42,41713,1.27,76.2,81.14,70.7,2.7
2015,2,2015-02-27,13,KOSDAQ,이오테크닉스,039030,101.59,143500,12.11,33.61,75.64,196.49,-10.9
2015,2,2015-02-27,14,KOSDAQ,바이넥스,053030,100.55,13850,24.22,38.5,97.01,130.45,6.1
2015,2,2015-02-27,15,KOSDAQ,OCI머티리얼즈,036490,99.17,80600,24.77,46.55,77.53,140.6,17.2
2015,2,2015-02-27,16,KOSDAQ,인바디,041830,99.03,35650,-8.12,16.5,60.95,268.67,-7.3
2015,2,2015-02-27,17,KOSPI,아이에스동서,010780,99.01,64200,9.56,27.63,71.43,215.48,14.2
2015,2,2015-02-27,18,KOSDAQ,메디톡스,086900,97.88,279867,-4.4,43.4,75.2,123.42,-7.1
2015,2,2015-02-27,19,KOSPI,한샘,009240,97.38,176500,13.87,51.5,48.95,172.38,4.5
2015,2,2015-02-27,20,KOSDAQ,인터플렉스,051370,96.16,19287,10.55,91.32,49.65,1.95,2.6
2015,2,2015-02-27,21,KOSDAQ,인트론바이오,048530,91.23,11277,1.35,66.06,57.9,48.52,1.1
2015,2,2015-02-27,22,KOSDAQ,셀트리온제약,068760,90.17,11406,40.54,77.83,56.76,38.17,12.9
2015,2,2015-02-27,23,KOSDAQ,쎌바이오텍,049960,88.64,70900,20.78,28.68,75.06,161.62,-7.2
2015,2,2015-02-27,24,KOSDAQ,KTH,036030,88.23,13450,29.33,51.98,86.55,46.2,7.4
2015,2,2015-02-27,25,KOSDAQ,셀트리온,068270,86.95,47646,60.94,72.46,65.01,43.33,6.7
2015,2,2015-02-27,26,KOSPI,아모레퍼시픽우,090435,86.13,153327,18.42,34.21,44.89,200.0,9.2
2015,2,2015-02-27,27,KOSPI,AK홀딩스,006840,84.9,101000,-0.49,32.89,66.94,125.07,-2.8
2015,2,2015-02-27,28,KOSDAQ,동양시멘트,038500,84.52,4980,32.45,67.39,37.57,91.54,16.5
2015,2,2015-02-27,29,KOSPI,현대엘리베이,017800,74.98,43926,8.61,19.46,89.03,83.14,10.1
2015,2,2015-02-27,30,KOSDAQ,NICE평가정보,030190,74.91,6400,0.47,28.64,57.25,117.32,0.3
2015,2,2015-02-27,31,KOSDAQ,동화기업,025900,73.63,7449,23.06,23.66,-4.9,308.84,45.5
