Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
101159,2022-03-31,2022,OXY,53.42,30.06,96.19,92.34,113.89,-2.91,101.263,83.83,62.28,66.13,S&P500,OXY,1.0,0,3
101467,2022-03-31,2022,MOS,60.0,27.11,69.62,86.99,112.22,-6.14,80.819,85.11,59.879999999999995,42.510000000000005,S&P500,MOS,2.0,0,3
101368,2022-03-31,2022,HAL,34.85,13.35,66.18,76.13,78.2,-5.94,75.443,64.85000000000001,62.779999999999994,52.830000000000005,S&P500,HAL,3.0,0,3
101163,2022-03-31,2022,APA,36.24,16.0,54.3,94.05,133.0,-0.69,74.03,117.0,78.05,38.3,S&P500,APA,4.0,0,3
101118,2022-03-31,2022,CF,94.47,26.94,46.18,86.23,131.78,-6.05,64.12400000000001,104.84,59.290000000000006,19.24,S&P500,CF,5.0,0,3
101355,2022-03-31,2022,DVN,49.02,0.96,36.49,72.54,188.66,-1.62,54.46300000000001,187.7,71.58000000000001,35.53,S&P500,DVN,6.0,0,3
101486,2022-03-31,2022,BKR,33.15,23.93,52.37,49.31,73.56,-14.8,53.99,49.63,25.380000000000003,28.439999999999998,S&P500,BKR,7.0,0,3
101379,2022-03-31,2022,CVX,138.66,13.08,40.21,64.06,62.94,-3.78,52.463,49.86,50.980000000000004,27.130000000000003,S&P500,CVX,8.0,0,3
101134,2022-03-31,2022,COP,86.37,5.73,39.66,50.05,94.95,-4.48,47.208999999999996,89.22,44.31999999999999,33.92999999999999,S&P500,COP,9.0,0,3
101286,2022-03-31,2022,EOG,99.84,4.65,36.38,55.14,75.77,-1.48,47.057,71.11999999999999,50.49,31.730000000000004,S&P500,EOG,10.0,0,3
101323,2022-03-31,2022,ADM,80.24,15.05,34.25,52.05,61.91,-0.78,43.29,46.86,37.0,19.2,S&P500,ADM,11.0,0,3
101207,2022-03-31,2022,XOM,71.97,5.32,36.47,43.88,56.12,3.22,42.549,50.8,38.56,31.15,S&P500,XOM,12.0,0,3
101246,2022-03-31,2022,VLO,89.87,21.59,36.74,47.39,49.22,9.79,42.515,27.63,25.8,15.150000000000002,S&P500,VLO,13.0,0,3
101213,2022-03-31,2022,SLB,37.65,5.28,38.36,40.4,54.34,-5.57,42.483999999999995,49.06,35.12,33.08,S&P500,SLB,14.0,0,3
101386,2022-03-31,2022,CTRA,22.36,18.2,45.13,31.64,54.54,6.75,42.427,36.34,13.440000000000001,26.930000000000003,S&P500,CTRA,15.0,0,3
101226,2022-03-31,2022,NUE,139.96,13.32,30.66,52.09,88.16,4.12,40.966,74.84,38.77,17.34,S&P500,NUE,16.0,0,3
101409,2022-03-31,2022,MPC,78.24,9.8,34.6,40.58,65.64,2.06,39.471999999999994,55.84,30.779999999999998,24.8,S&P500,MPC,17.0,0,3
