Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
84032,2019-02-28,2019,KEYS,84.41,14.04,36.54,30.08,79.56,3.31,36.206,65.52000000000001,16.04,22.5,S&P500,KEYS,1.0,2,2
84303,2019-02-28,2019,INCY,86.23,7.0,34.21,16.67,1.26,-0.26,29.915,-5.74,9.670000000000002,27.21,S&P500,INCY,2.0,8,2
84108,2019-02-28,2019,BA,429.66,14.66,27.51,29.59,23.86,-13.31,29.627000000000002,9.2,14.93,12.850000000000001,S&P500,BA,3.0,87,2
84467,2019-02-28,2019,CMG,12.15,14.71,28.38,27.85,90.8,16.92,29.535,76.09,13.14,13.669999999999998,S&P500,CMG,4.0,21,2
84028,2019-02-28,2019,GRMN,71.27,21.38,26.98,25.19,46.47,3.49,26.823999999999998,25.09,3.8100000000000023,5.600000000000001,S&P500,GRMN,5.0,93,2
84260,2019-02-28,2019,WAT,242.22,4.76,21.98,27.83,18.36,3.92,26.042,13.6,23.07,17.22,S&P500,WAT,6.0,13,2
84257,2019-02-28,2019,CDNS,57.25,19.2,27.11,21.7,47.67,10.93,25.736999999999995,28.470000000000002,2.5,7.91,S&P500,CDNS,7.0,89,2
84205,2019-02-28,2019,GE,50.09,6.35,44.27,-15.58,-21.9,-3.75,24.122,-28.25,-21.93,37.92,S&P500,GE,8.0,395,2
84435,2019-02-28,2019,AVGO,22.77,2.65,17.21,28.0,16.97,10.18,22.982,14.319999999999999,25.35,14.56,S&P500,AVGO,9.0,6,2
84456,2019-02-28,2019,TDG,322.19,11.02,20.02,24.03,50.56,4.58,22.524,39.540000000000006,13.010000000000002,9.0,S&P500,TDG,10.0,39,2
84404,2019-02-28,2019,BALL,50.59,4.97,11.75,31.3,38.34,5.62,20.248,33.370000000000005,26.330000000000002,6.78,S&P500,BALL,11.0,4,2
84122,2019-02-28,2019,AES,13.37,5.13,12.18,30.24,64.58,4.93,20.109,59.449999999999996,25.11,7.05,S&P500,AES,12.0,16,2
84385,2019-02-28,2019,EBAY,33.08,10.81,24.92,7.74,-13.0,-0.03,19.459,-23.810000000000002,-3.0700000000000003,14.110000000000001,S&P500,EBAY,13.0,65,2
84413,2019-02-28,2019,SYF,27.43,9.32,26.4,4.44,-8.03,-2.18,19.323999999999998,-17.35,-4.88,17.08,S&P500,SYF,14.0,179,2
84275,2019-02-28,2019,AZO,938.97,10.81,16.06,22.44,41.26,9.07,19.137,30.449999999999996,11.63,5.249999999999998,S&P500,AZO,15.0,15,2
84043,2019-02-28,2019,DHR,108.95,14.51,16.14,23.05,30.73,4.07,19.067,16.22,8.540000000000001,1.6300000000000008,S&P500,DHR,16.0,49,2
84326,2019-02-28,2019,SBUX,60.3,3.65,5.86,32.85,25.87,5.81,16.877000000000002,22.220000000000002,29.200000000000003,2.2100000000000004,S&P500,SBUX,17.0,3,2
84430,2019-02-28,2019,SEE,38.22,10.43,19.96,9.69,4.6,5.97,16.805,-5.83,-0.7400000000000002,9.530000000000001,S&P500,SEE,18.0,52,2
84331,2019-02-28,2019,CPAY,233.28,15.59,20.62,9.14,16.68,5.71,16.531,1.0899999999999999,-6.449999999999999,5.030000000000001,S&P500,CPAY,19.0,278,2
84164,2019-02-28,2019,NFLX,35.81,5.48,25.15,-2.61,22.9,-0.43,16.012999999999995,17.419999999999998,-8.09,19.669999999999998,S&P500,NFLX,20.0,117,2
84343,2019-02-28,2019,XRX,20.56,9.54,16.26,13.38,6.17,4.32,15.78,-3.369999999999999,3.8400000000000016,6.720000000000002,S&P500,XRX,21.0,187,2
84229,2019-02-28,2019,DLTR,96.33,-0.52,11.02,19.65,-6.15,9.04,15.625999999999998,-5.630000000000001,20.169999999999998,11.54,S&P500,DLTR,22.0,41,2
84236,2019-02-28,2019,COTY,10.53,43.36,33.39,-8.66,-40.44,4.55,15.572999999999999,-83.8,-52.019999999999996,-9.969999999999999,S&P500,COTY,23.0,446,2
84463,2019-02-28,2019,REGN,427.85,0.34,17.8,5.9,34.42,-4.67,14.785999999999998,34.08,5.5600000000000005,17.46,S&P500,REGN,24.0,5,2
84115,2019-02-28,2019,ADI,94.29,8.75,16.96,9.34,21.67,-1.58,14.733,12.920000000000002,0.5899999999999999,8.21,S&P500,ADI,25.0,37,2
84074,2019-02-28,2019,INTU,235.94,14.51,15.46,13.11,49.4,5.78,14.614999999999998,34.89,-1.4000000000000004,0.9500000000000011,S&P500,INTU,26.0,168,2
84150,2019-02-28,2019,WHR,102.55,7.25,13.1,15.31,-9.22,-6.09,14.569,-16.47,8.06,5.85,S&P500,WHR,27.0,26,2
84121,2019-02-28,2019,O,47.61,1.02,9.01,20.61,47.19,6.69,14.448999999999998,46.169999999999995,19.59,7.99,S&P500,O,28.0,10,2
84082,2019-02-28,2019,VRSN,175.85,5.18,14.08,12.25,53.46,1.98,14.238,48.28,7.07,8.9,S&P500,VRSN,29.0,17,2
84224,2019-02-28,2019,A,75.34,4.46,10.07,18.16,16.89,1.18,13.867,12.43,13.7,5.61,S&P500,A,30.0,19,2
