Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
91355,2020-06-30,2020,APA,11.66,25.12,223.92,-46.68,-51.86,13.91,135.55999999999997,-76.98,-71.8,198.79999999999998,S&P500,APA,1.0,455,6
91495,2020-06-30,2020,PYPL,173.3,12.4,81.98,61.07,52.22,12.54,80.574,39.82,48.67,69.58,S&P500,PYPL,2.0,4,6
91564,2020-06-30,2020,EBAY,47.61,15.17,75.12,46.45,34.87,5.4,69.647,19.699999999999996,31.28,59.95,S&P500,EBAY,3.0,14,6
91486,2020-06-30,2020,TSCO,24.05,8.01,56.37,42.0,22.82,8.31,55.458,14.81,33.99,48.36,S&P500,TSCO,4.0,9,6
91498,2020-06-30,2020,NVDA,9.46,7.06,44.19,61.63,131.97,11.76,54.879,124.91,54.57,37.129999999999995,S&P500,NVDA,5.0,3,6
91736,2020-06-30,2020,CMG,21.05,4.83,60.81,25.71,43.59,9.77,52.368,38.760000000000005,20.880000000000003,55.980000000000004,S&P500,CMG,6.0,19,6
91747,2020-06-30,2020,SNPS,195.0,7.79,51.41,40.09,51.53,2.16,51.24399999999999,43.74,32.300000000000004,43.62,S&P500,SNPS,7.0,15,6
91376,2020-06-30,2020,MKTX,471.17,-1.51,50.8,32.52,56.76,3.15,48.719,58.269999999999996,34.03,52.309999999999995,S&P500,MKTX,8.0,2,6
91611,2020-06-30,2020,VRT,13.49,6.52,56.76,22.94,33.73,6.93,48.256,27.209999999999997,16.42,50.239999999999995,S&P500,VRT,9.0,79,6
91440,2020-06-30,2020,ADSK,239.19,13.69,53.23,30.38,46.83,-1.15,48.044,33.14,16.689999999999998,39.54,S&P500,ADSK,10.0,89,6
91723,2020-06-30,2020,AMZN,137.94,12.96,41.5,49.3,45.69,14.71,47.474,32.73,36.339999999999996,28.54,S&P500,AMZN,11.0,12,6
91574,2020-06-30,2020,LEN,54.98,1.92,61.78,10.98,27.96,17.64,47.446,26.04,9.06,59.86,S&P500,LEN,12.0,200,6
91401,2020-06-30,2020,KMX,89.55,1.7,66.36,2.14,3.13,8.29,47.138,1.43,0.44000000000000017,64.66,S&P500,KMX,13.0,232,6
91731,2020-06-30,2020,DHI,52.33,0.27,63.7,5.82,30.24,19.31,46.891,29.97,5.550000000000001,63.43,S&P500,DHI,14.0,179,6
91382,2020-06-30,2020,HOLX,57.0,7.55,62.39,9.17,18.7,22.42,46.58599999999999,11.149999999999999,1.62,54.84,S&P500,HOLX,15.0,101,6
91299,2020-06-30,2020,CDNS,95.96,5.12,45.31,38.35,35.52,13.85,46.545,30.400000000000002,33.230000000000004,40.190000000000005,S&P500,CDNS,16.0,7,6
91353,2020-06-30,2020,NOW,81.01,4.42,41.34,43.48,47.53,8.43,45.888,43.11,39.059999999999995,36.92,S&P500,NOW,17.0,26,6
91703,2020-06-30,2020,LOW,121.8,3.66,57.94,13.99,36.69,10.63,45.788,33.03,10.33,54.28,S&P500,LOW,18.0,47,6
91730,2020-06-30,2020,REGN,619.47,1.77,27.72,66.09,99.25,1.35,45.663,97.48,64.32000000000001,25.95,S&P500,REGN,19.0,1,6
91559,2020-06-30,2020,HAL,11.74,10.88,90.2,-46.19,-41.03,10.4,43.576,-51.910000000000004,-57.07,79.32000000000001,S&P500,HAL,20.0,426,6
91618,2020-06-30,2020,FCX,10.8,27.56,71.41,-11.49,1.04,11.67,42.63499999999999,-26.52,-39.05,43.849999999999994,S&P500,FCX,21.0,318,6
91596,2020-06-30,2020,NEM,52.07,6.05,36.94,43.11,62.81,12.08,42.497,56.760000000000005,37.06,30.889999999999997,S&P500,NEM,22.0,5,6
91315,2020-06-30,2020,AAPL,88.38,14.74,43.85,24.86,86.52,16.51,39.165,71.78,10.12,29.11,S&P500,AAPL,23.0,46,6
91380,2020-06-30,2020,EFX,164.61,11.93,44.27,23.31,28.46,-5.42,39.12,16.53,11.379999999999999,32.34,S&P500,EFX,24.0,102,6
91745,2020-06-30,2020,MCHP,47.04,9.68,55.98,1.32,23.37,-3.4,38.74599999999999,13.690000000000001,-8.36,46.3,S&P500,MCHP,25.0,143,6
91398,2020-06-30,2020,ALGN,274.44,11.73,57.77,-1.65,0.27,7.06,38.606,-11.46,-13.38,46.040000000000006,S&P500,ALGN,26.0,170,6
91367,2020-06-30,2020,ADBE,435.31,12.6,36.79,31.99,47.74,2.07,37.288999999999994,35.14,19.39,24.189999999999998,S&P500,ADBE,27.0,53,6
91634,2020-06-30,2020,BBY,68.7,12.51,54.14,0.99,28.86,14.12,37.043,16.35,-11.52,41.63,S&P500,BBY,28.0,172,6
91393,2020-06-30,2020,INCY,103.97,2.02,41.98,19.07,22.38,-5.01,36.812,20.36,17.05,39.959999999999994,S&P500,INCY,29.0,24,6
91317,2020-06-30,2020,FTNT,27.45,-1.39,35.68,28.58,78.67,0.75,36.547,80.06,29.97,37.07,S&P500,FTNT,30.0,11,6
91414,2020-06-30,2020,CTAS,62.8,7.42,53.77,-1.01,13.34,13.33,36.493,5.92,-8.43,46.35,S&P500,CTAS,31.0,256,6
91417,2020-06-30,2020,CLX,183.43,6.36,27.32,44.62,47.0,8.34,36.336,40.64,38.26,20.96,S&P500,CLX,32.0,10,6
91676,2020-06-30,2020,IPGP,160.39,3.21,45.44,10.67,3.98,11.61,35.754999999999995,0.77,7.46,42.23,S&P500,IPGP,33.0,58,6
91594,2020-06-30,2020,IDXX,330.16,6.89,36.29,26.44,19.91,20.47,35.29,13.02,19.55,29.4,S&P500,IDXX,34.0,34,6
91558,2020-06-30,2020,ODFL,82.56,-0.79,29.32,34.32,71.11,7.8,34.331,71.9,35.11,30.11,S&P500,ODFL,35.0,13,6
91616,2020-06-30,2020,DGX,101.4,-3.65,43.01,8.07,14.51,12.03,33.699999999999996,18.16,11.72,46.66,S&P500,DGX,36.0,84,6
91508,2020-06-30,2020,MAS,45.44,7.63,45.74,5.28,29.58,14.15,33.367,21.95,-2.3499999999999996,38.11,S&P500,MAS,37.0,110,6
91463,2020-06-30,2020,APTV,77.92,3.41,58.25,-17.74,-2.87,-0.22,33.337999999999994,-6.28,-21.15,54.84,S&P500,APTV,38.0,285,6
91448,2020-06-30,2020,FAST,18.52,3.83,38.05,17.57,35.02,10.41,33.28,31.190000000000005,13.74,34.22,S&P500,FAST,39.0,40,6
91694,2020-06-30,2020,DD,19.91,4.73,56.76,-16.21,-27.71,1.21,32.775,-32.44,-20.94,52.03,S&P500,DD,40.0,147,6
91647,2020-06-30,2020,SPGI,314.12,1.37,34.74,21.21,45.92,6.3,32.665,44.550000000000004,19.84,33.370000000000005,S&P500,SPGI,41.0,30,6
91487,2020-06-30,2020,AAP,126.16,2.42,52.9,-10.66,-7.1,5.4,32.523999999999994,-9.52,-13.08,50.48,S&P500,AAP,42.0,207,6
91499,2020-06-30,2020,SWKS,110.25,7.86,43.61,6.6,68.52,13.86,32.38099999999999,60.66,-1.2600000000000007,35.75,S&P500,SWKS,43.0,41,6
91356,2020-06-30,2020,PHM,32.15,0.51,52.97,-11.7,9.01,28.12,32.34799999999999,8.5,-12.209999999999999,52.46,S&P500,PHM,44.0,334,6
91548,2020-06-30,2020,WHR,98.33,6.33,52.73,-10.39,-5.56,25.93,32.12199999999999,-11.89,-16.72,46.4,S&P500,WHR,45.0,267,6
91322,2020-06-30,2020,ROK,193.09,-1.46,41.9,6.2,32.96,2.41,31.956,34.42,7.66,43.36,S&P500,ROK,46.0,65,6
91484,2020-06-30,2020,EMN,56.92,3.32,51.0,-9.85,-6.66,7.17,31.427999999999994,-9.98,-13.17,47.68,S&P500,EMN,47.0,166,6
91619,2020-06-30,2020,MSFT,193.85,11.06,29.4,29.76,53.79,0.74,31.378,42.73,18.700000000000003,18.339999999999996,S&P500,MSFT,48.0,50,6
91362,2020-06-30,2020,HD,217.97,1.42,34.97,16.17,23.51,5.98,30.805,22.090000000000003,14.750000000000002,33.55,S&P500,HD,49.0,69,6
91425,2020-06-30,2020,EA,128.27,7.46,31.83,22.83,30.41,7.25,30.667,22.95,15.369999999999997,24.369999999999997,S&P500,EA,50.0,35,6
91581,2020-06-30,2020,NFLX,45.5,8.41,21.18,40.63,23.88,7.44,30.237000000000002,15.469999999999999,32.22,12.77,S&P500,NFLX,51.0,33,6
91607,2020-06-30,2020,TMUS,100.14,4.11,24.14,32.81,40.48,3.1,29.611,36.37,28.700000000000003,20.03,S&P500,TMUS,52.0,54,6
91318,2020-06-30,2020,META,225.3,0.88,36.13,10.63,17.65,11.71,29.455,16.77,9.75,35.25,S&P500,META,53.0,66,6
91525,2020-06-30,2020,ILMN,360.26,2.01,35.6,11.64,0.6,3.19,29.375,-1.4099999999999997,9.63,33.59,S&P500,ILMN,54.0,18,6
91591,2020-06-30,2020,RMD,182.83,19.39,30.66,24.46,58.95,5.47,29.307000000000002,39.56,5.07,11.27,S&P500,RMD,55.0,154,6
91519,2020-06-30,2020,AMP,136.81,7.12,47.66,-8.66,6.23,2.39,29.185999999999993,-0.8899999999999997,-15.780000000000001,40.54,S&P500,AMP,56.0,258,6
91415,2020-06-30,2020,PSKY,20.32,13.6,68.16,-43.02,-51.6,11.79,29.143999999999995,-65.2,-56.620000000000005,54.559999999999995,S&P500,PSKY,57.0,405,6
91493,2020-06-30,2020,ALB,72.11,1.37,37.6,6.78,11.99,6.8,28.895,10.620000000000001,5.41,36.230000000000004,S&P500,ALB,58.0,185,6
91571,2020-06-30,2020,VRTX,290.31,0.82,22.0,32.59,58.31,-6.31,28.354,57.49,31.770000000000003,21.18,S&P500,VRTX,59.0,16,6
91612,2020-06-30,2020,KLAC,182.54,10.53,35.95,10.22,67.88,2.75,28.2,57.349999999999994,-0.3099999999999987,25.42,S&P500,KLAC,60.0,80,6
91489,2020-06-30,2020,ZBRA,255.95,-2.05,39.41,0.2,22.18,9.69,27.871999999999993,24.23,2.25,41.459999999999994,S&P500,ZBRA,61.0,57,6
91411,2020-06-30,2020,MS,40.37,9.28,43.31,-4.06,13.67,1.91,27.765,4.390000000000001,-13.34,34.03,S&P500,MS,62.0,239,6
91442,2020-06-30,2020,DG,174.44,-0.52,26.44,22.66,42.16,0.13,27.624,42.68,23.18,26.96,S&P500,DG,63.0,25,6
91396,2020-06-30,2020,LRCX,30.4,18.66,35.31,11.73,75.55,16.6,27.543,56.89,-6.93,16.650000000000002,S&P500,LRCX,64.0,218,6
91599,2020-06-30,2020,MPC,31.68,6.37,60.93,-36.28,-29.95,2.19,27.501999999999995,-36.32,-42.65,54.56,S&P500,MPC,65.0,413,6
91742,2020-06-30,2020,MCO,261.86,2.74,30.18,16.21,41.91,2.39,27.336,39.169999999999995,13.47,27.439999999999998,S&P500,MCO,66.0,71,6
91468,2020-06-30,2020,ADI,110.97,8.58,37.54,4.32,10.92,-6.35,27.148,2.34,-4.26,28.96,S&P500,ADI,67.0,161,6
91652,2020-06-30,2020,ABBV,78.12,5.95,30.78,14.06,43.05,-2.15,26.575000000000003,37.099999999999994,8.11,24.830000000000002,S&P500,ABBV,68.0,104,6
91402,2020-06-30,2020,CRM,185.08,7.17,30.11,15.18,23.46,4.01,26.432,16.29,8.01,22.939999999999998,S&P500,CRM,69.0,150,6
