Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
88084,2019-11-30,2019,CPRT,22.25,7.7,18.05,24.51,73.9,2.18,61.46703806870939,15.60817084493966,9.610027855153191,28.89507892293408
88085,2019-11-30,2019,ALK,68.62,-0.11,16.13,19.86,-3.74,-1.83,-3.6339973971368456,19.99199119030932,16.25788367203924,10.871959155070572
88086,2019-11-30,2019,GRMN,84.6,4.2,20.57,29.51,50.73,0.45,44.654510556621865,24.28982725527833,15.710172744721685,28.21817018554063
88087,2019-11-30,2019,SCHW,45.38,22.07,29.86,19.98,12.28,-3.92,-8.019988531170629,-1.7121323830588953,6.381584336855917,-1.1168455257912024
88088,2019-11-30,2019,ABT,76.47,2.2,0.55,13.11,17.31,1.65,14.784735812133064,10.67514677103718,-1.6144814090019555,7.948467058056096
88089,2019-11-30,2019,AMAT,54.64,7.08,20.99,50.85,58.16,5.42,47.702652222637276,40.875980575270844,12.990287635412766,33.85630681110696
88090,2019-11-30,2019,KEYS,107.03,6.06,10.5,42.46,73.13,-4.11,63.237789930228175,34.320196115406375,4.186309636055063,33.91476522722987
88091,2019-11-30,2019,LW,75.66,7.61,19.61,42.53,10.72,2.44,2.8900659789982353,32.450515751324225,11.151379983272914,15.497320571198458
88092,2019-11-30,2019,AXP,110.35,2.42,0.17,5.45,8.56,3.64,5.994922866627594,2.9584065612185073,-2.196836555360282,2.2521642908286066
88093,2019-11-30,2019,MCD,168.33,-0.49,-10.2,-0.76,5.66,1.61,6.180283388604169,-0.27132951462165433,-9.757813285096972,-1.2829531370381526
88094,2019-11-30,2019,EIX,51.09,9.86,-3.61,18.4,29.7,10.07,18.059348261423615,7.773529947205526,-12.261059530311314,4.523939559439275
88095,2019-11-30,2019,ACN,184.28,8.49,1.94,13.45,23.81,4.68,14.121117153654716,4.571849940086659,-6.037422803945058,4.218514763265438
88096,2019-11-30,2019,CF,39.67,2.55,-3.49,16.29,12.53,3.31,9.731838127742542,13.398342272062402,-5.889809848854233,5.746790183650236
88097,2019-11-30,2019,SPG,106.92,1.74,2.92,-4.1,-14.36,-1.49,-15.824651071358364,-5.740121879300187,1.159819146844887,-6.8016512679378875
88098,2019-11-30,2019,AAPL,64.42,7.76,28.41,53.69,51.9,9.88,40.96139569413515,42.622494432071264,19.16295471417968,34.248948280128694
88099,2019-11-30,2019,INTC,51.21,3.25,23.12,33.43,20.66,3.1,16.861985472154963,29.23002421307508,19.244552058111395,21.778853914447144
88100,2019-11-30,2019,HST,13.86,6.71,10.35,-1.16,-3.35,7.49,-9.427420110580066,-7.375128853903101,3.4111142348421053,-4.46381157654702
88101,2019-11-30,2019,DHR,125.67,5.92,2.86,10.85,33.97,5.25,26.48225075528703,4.654456193353496,-2.888972809667667,9.41591137965762
88102,2019-11-30,2019,COP,47.76,8.59,15.74,2.95,-7.4,8.49,-14.725112809650998,-5.193848420664882,6.584400036835802,-4.444853731160026
88103,2019-11-30,2019,AME,94.82,8.03,15.4,21.29,35.77,0.88,25.678052392853836,12.274368231046907,6.822179024345076,14.924866549415272
88104,2019-11-30,2019,DVA,71.77,22.47,27.32,65.29,8.64,4.54,-11.292561443618832,34.963664570915334,3.960153506981312,9.210418878092606
88105,2019-11-30,2019,BAX,72.61,6.87,-6.8,12.22,20.53,2.29,12.78188453260971,5.006082155890335,-12.791241695517918,1.665574997660709
88106,2019-11-30,2019,MAR,134.56,11.31,11.74,13.25,23.77,7.89,11.19396280657623,1.742880244362599,0.3863085077710826,4.441050519569971
88107,2019-11-30,2019,CCI,100.63,-3.7,-7.18,4.52,20.51,7.31,25.140186915887863,8.535825545171338,-3.613707165109026,10.020768431983392
88108,2019-11-30,2019,WMB,15.97,1.84,-2.24,-11.33,-4.98,6.14,-6.696779261586794,-12.932050274941076,-4.006284367635504,-7.878371301387792
88109,2019-11-30,2019,ZION,40.15,3.4,21.97,17.33,5.16,4.3,1.7021276595744705,13.47195357833655,17.959381044487422,11.044487427466146
88110,2019-11-30,2019,BXP,100.7,0.98,8.66,7.45,8.84,0.22,7.783719548425427,6.407209348385812,7.605466428995844,7.265465108602361
