Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
67963,2016-01-31,2016,GRMN,26.57,-5.35,0.56,-13.68,-29.45,15.15,-25.4622292657158,-8.800845219228737,6.2440570522979355,-9.339672477548868
67964,2016-01-31,2016,SCHW,22.44,-22.47,-16.19,-26.54,-0.97,-1.63,27.7312008254869,-5.249580807429377,8.10009028763059,10.193903435229371
67965,2016-01-31,2016,ABT,31.39,-15.19,-14.98,-24.42,-13.56,2.35,1.9219431670793652,-10.883150571866517,0.2476123098691163,-2.9045316983060125
67966,2016-01-31,2016,AMAT,15.69,-5.46,5.84,2.85,-21.11,7.49,-16.55383964459488,8.789930188280092,11.952612650729844,1.3962343981383516
67967,2016-01-31,2016,AXP,46.29,-22.74,-26.65,-29.09,-32.68,3.89,-12.865648459746303,-8.219000776598484,-5.060833549055133,-8.71516092846664
67968,2016-01-31,2016,MCD,96.49,4.77,11.14,26.03,38.52,-4.61,32.21341987210078,20.292068340173696,6.079984728452792,19.52849098024242
67969,2016-01-31,2016,EIX,40.4,4.37,2.93,4.51,-6.66,10.29,-10.568170930343978,0.13413816230716247,-1.3797068123023837,-3.9379131934464
67970,2016-01-31,2016,ACN,90.11,1.0,-1.55,3.46,28.31,-5.0,27.03960396039602,2.435643564356438,-2.524752475247527,8.983498349834976
67971,2016-01-31,2016,CF,22.45,-26.49,-40.54,-48.73,-49.81,22.83,-31.723575023806294,-30.254387158209774,-19.11304584410285,-27.030336008706303
67972,2016-01-31,2016,SPG,110.56,-4.2,-6.76,1.14,-3.2,2.77,1.0438413361169019,5.574112734864323,-2.672233820459291,1.3152400835073113
67973,2016-01-31,2016,AAPL,21.93,-7.52,-18.2,-19.04,-15.5,-0.13,-8.628892733564019,-12.456747404844304,-11.548442906574397,-10.878027681660905
67974,2016-01-31,2016,SCG,56.08,4.07,7.28,17.19,0.0,3.29,-3.910829249543568,12.606899202459875,3.0844623810896588,3.926844111335322
67975,2016-01-31,2016,INTC,24.52,-9.96,-7.74,8.8,-3.29,-3.77,7.407818747223449,20.835184362505554,2.465570857396715,10.23619132237524
67976,2016-01-31,2016,MUR,13.44,-12.65,-30.18,-38.84,-54.68,-10.52,-48.11677160847165,-29.982827704636527,-20.068689181453927,-32.7227628315207
67977,2016-01-31,2016,HST,9.21,-9.71,-19.05,-26.72,-36.71,10.54,-29.9036438143759,-18.839295603056815,-10.344445675047076,-19.6957950308266
67978,2016-01-31,2016,DHR,35.53,-6.71,-7.0,-5.07,5.84,3.02,13.452674455997427,1.7579590524171795,-0.3108586129274449,4.966591631829053
67979,2016-01-31,2016,COP,28.53,-16.3,-26.75,-21.32,-34.84,-12.76,-22.150537634408607,-5.997610513739549,-12.485065710872167,-13.544404619673442
67980,2016-01-31,2016,AME,43.92,-12.2,-14.04,-11.02,-1.12,-1.36,12.619589977220969,1.343963553530747,-2.095671981776759,3.9559605163249856
67981,2016-01-31,2016,AN,43.25,-27.51,-31.56,-30.62,-27.46,19.01,0.068975031038776,-4.290246930611119,-5.586977514139879,-3.2694164712374074
67982,2016-01-31,2016,DVA,67.12,-3.72,-13.4,-15.07,-10.58,-1.71,-7.125051931865389,-11.788533444121319,-10.054009140008313,-9.655864838665005
67983,2016-01-31,2016,BAX,31.14,-4.06,-1.82,-8.12,-2.07,7.95,2.074213049822804,-4.231811548884712,2.334792578695022,0.059064693211037834
67984,2016-01-31,2016,MAR,55.59,-8.59,-19.92,-15.03,-16.72,11.63,-8.89399409255005,-7.045181052401272,-12.394705174488575,-9.444626773146632
67985,2016-01-31,2016,CCI,56.22,-0.29,1.92,7.46,3.76,0.35,4.0617791595627395,7.7725403670644955,2.2164276401564598,4.683582388927898
67986,2016-01-31,2016,WMB,10.94,-24.9,-49.89,-61.81,-53.17,-17.15,-37.64314247669775,-49.14780292942743,-33.275632490013315,-40.02219263204616
67987,2016-01-31,2016,ZION,17.1,-16.92,-21.01,-26.99,-4.62,-5.73,14.805007221954746,-12.120847376023114,-4.9229658160808825,-0.746268656716417
67988,2016-01-31,2016,BXP,76.69,-8.88,-6.29,-3.8,-13.7,-1.78,-5.28972783143108,5.575065847234417,2.8424056189640057,1.0425812115891144
67989,2016-01-31,2016,KMB,90.25,0.88,8.06,13.48,22.81,1.46,21.73869944488502,12.490087232355297,7.11736716891358,13.7820512820513
67990,2016-01-31,2016,KSS,29.29,4.45,8.89,-17.38,-14.03,-6.19,-17.69267592149354,-20.899952130205833,4.250837721397804,-11.447263443433854
67991,2016-01-31,2016,BF-B,32.46,-1.45,-7.55,-9.15,11.58,0.64,13.22171486555046,-7.813292744799605,-6.189751395230858,-0.2604430914933342
67992,2016-01-31,2016,OXY,51.23,1.8,-6.65,0.2,-10.4,0.16,-11.984282907662081,-1.5717092337917515,-8.300589390962676,-7.285527177472169
67993,2016-01-31,2016,IVZ,18.82,-10.6,-9.01,-21.25,-16.16,-9.74,-6.219239373601793,-11.912751677852352,1.7785234899328817,-5.4511558538404215
67994,2016-01-31,2016,CAG,22.5,-0.6,3.34,-4.3,20.5,1.01,21.227364185110666,-3.7223340040241526,3.963782696177076,7.1562709590878635
67995,2016-01-31,2016,TT,33.91,-6.91,-12.69,-15.28,-20.98,7.95,-15.114405414115373,-8.991298743151798,-6.209045010205183,-10.10491638915745
67996,2016-01-31,2016,ETN,40.18,-2.94,-8.77,-15.81,-17.13,12.27,-14.619822790026793,-13.259839274675468,-6.006593859468367,-11.295418641390208
67997,2016-01-31,2016,HAS,53.18,10.98,-2.7,-4.5,38.6,2.14,24.887367093169964,-13.948459181834561,-12.326545323481708,-0.4625458040487687
67998,2016-01-31,2016,HD,98.45,-4.91,2.16,8.48,22.86,-1.3,29.203912083289516,14.081396571668957,7.435061520664643,16.906790058541038
67999,2016-01-31,2016,ADBE,89.13,-5.12,0.53,8.71,27.09,-4.47,33.948145025295105,14.576306913996628,5.954890387858369,18.1597807757167
68000,2016-01-31,2016,AFL,22.79,-3.24,-8.49,-8.37,4.11,3.43,7.5961140967341745,-5.30177759404713,-5.4257957833815595,-1.0438197602315051
68001,2016-01-31,2016,CMI,68.38,2.14,-12.28,-29.37,-33.66,9.62,-35.04993146661446,-30.84981398081067,-14.117877423144709,-26.67254095685661
68002,2016-01-31,2016,IP,20.86,-9.26,-19.02,-27.17,-32.81,5.69,-25.953273087943586,-19.737712144588937,-10.75600617147895,-18.81566380133716
68003,2016-01-31,2016,AEE,33.26,3.91,3.86,11.62,3.39,4.52,-0.5004330670772661,7.419882590703519,-0.04811856414204119,2.2904436531614043
68004,2016-01-31,2016,RIG,10.42,-15.83,-34.18,-20.52,-32.16,-16.99,-19.401211833194708,-5.572056552215765,-21.801116787453967,-15.591461724288147
68005,2016-01-31,2016,PRU,44.2,-13.92,-14.37,-19.5,-4.93,-4.68,10.443773234200737,-6.48234200743495,-0.5227695167286162,1.1462205700123904
68006,2016-01-31,2016,NKE,54.22,-0.78,-5.12,8.17,35.87,-0.68,36.938117315057454,9.020358798629324,-4.374118121346504,13.861452664113424
68007,2016-01-31,2016,PCG,51.25,3.23,3.7,6.37,-3.3,3.31,-6.3256805192289045,3.041751428848216,0.45529400368109485,-0.9428783622331979
68008,2016-01-31,2016,D,46.36,6.7,1.99,2.56,-2.64,-3.12,-8.753514526710394,-3.8800374882849042,-4.414245548266161,-5.682599187753819
68009,2016-01-31,2016,PRGO,113.93,-0.08,-8.27,-24.66,-4.43,-12.58,-4.353482786228979,-24.599679743795033,-8.196557245796631,-12.383239925273548
68010,2016-01-31,2016,INTU,88.41,-0.72,-1.66,-9.12,11.27,1.18,12.076954069298962,-8.460918614020951,-0.9468170829975753,0.8897394574268119
