Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
65957,2015-08-31,2015,GRMN,27.62,-10.26,-16.38,-22.62,-28.05,-3.24,-19.82393581457543,-13.773122353465562,-6.819701359482943,-13.472253175841312
65958,2015-08-31,2015,SCHW,26.65,-12.75,-3.85,3.92,7.4,-5.99,23.094555873925504,19.106017191977067,10.200573065902585,17.46704871060172
65959,2015-08-31,2015,ABT,37.11,-10.65,-6.36,-3.44,9.44,-11.19,22.484611080022397,8.069390039171797,4.8013430330162254,11.785114717403474
65960,2015-08-31,2015,AMAT,14.22,-6.77,-19.6,-35.07,-29.01,-8.7,-23.854982301834184,-30.35503593263971,-13.761664700203792,-22.65722764489256
65961,2015-08-31,2015,AXP,65.85,0.87,-3.4,-5.3,-13.21,-3.38,-13.958560523446017,-6.116783979379392,-4.233171408743919,-8.102838637189777
65962,2015-08-31,2015,MCD,73.5,-4.01,-0.08,-2.23,4.99,3.69,9.375976664235864,1.8543598291488772,4.094176476716327,5.108170990033689
65963,2015-08-31,2015,EIX,37.67,-2.55,-3.11,-7.68,1.57,8.58,4.227809132888671,-5.264238070805538,-0.5746536685479753,-0.5370275354882806
65964,2015-08-31,2015,ACN,79.63,-8.57,-1.84,5.83,19.14,4.23,30.30733894782893,15.749753910095166,7.360822487148644,17.805971781690914
65965,2015-08-31,2015,CF,42.67,-2.56,-8.7,-5.35,13.69,-21.75,16.676929392446628,-2.863300492610843,-6.301313628899841,2.504105090311981
65966,2015-08-31,2015,SPG,105.55,-3.44,-0.34,-4.25,8.75,2.45,12.624275062137524,-0.8388566694283339,3.2104391052195647,4.998619165976251
65967,2015-08-31,2015,AAPL,25.29,-6.62,-13.06,-11.46,11.89,-2.18,19.822231741272223,-5.183122724352107,-6.896551724137934,2.580852430927394
65968,2015-08-31,2015,SCG,46.19,-3.49,0.0,0.0,0.0,7.52,3.6162055745518673,3.6162055745518673,3.6162055745518673,3.6162055745518678
65969,2015-08-31,2015,INTC,22.4,-0.6,-16.49,-12.83,-15.85,5.61,-15.342052313883292,-12.303822937625753,-15.985915492957748,-14.543930248155599
65970,2015-08-31,2015,MUR,20.99,-4.48,-27.93,-37.97,-48.79,-21.94,-46.38819095477387,-35.0607202680067,-24.549832495812396,-35.33291457286432
65971,2015-08-31,2015,HST,11.5,-8.51,-10.11,-13.88,-19.13,-9.72,-11.60782599191169,-5.869493933763259,-1.7488250081976187,-6.408714977957523
65972,2015-08-31,2015,DHR,35.57,-4.96,0.97,0.02,14.23,-1.92,20.19149831649831,5.239898989898983,6.239478114478114,10.556958473625135
65973,2015-08-31,2015,COP,35.4,-2.36,-21.78,-22.74,-36.68,-2.42,-35.14952888160591,-20.872593199508405,-19.88938959442852,-25.303837225180946
65974,2015-08-31,2015,AME,50.07,1.45,0.28,1.62,2.36,-2.62,0.8969935929029171,0.16757023164120088,-1.1532774765894538,-0.029571217348445256
65975,2015-08-31,2015,AN,59.84,-4.01,-4.12,-2.7,10.3,-2.77,14.907802896135024,1.364725492238783,-0.11459527034065609,5.38597770601105
65976,2015-08-31,2015,DVA,75.64,-4.29,-9.72,1.39,1.29,-4.38,5.830111796050574,5.934594086302369,-5.67338836067286,2.0304391738933614
65977,2015-08-31,2015,BAX,32.51,-4.07,6.27,3.96,-2.76,-14.3,1.365579068070466,8.370686959241125,10.778692796831013,6.838319608047534
65978,2015-08-31,2015,MAR,63.88,-2.35,-9.09,-14.41,3.0,-3.48,5.4787506400409525,-12.350230414746544,-6.902201740911417,-4.591227171872337
65979,2015-08-31,2015,CCI,53.26,1.81,3.28,-1.47,8.61,-4.42,6.679108142618606,-3.2216874570278,1.443866024948437,1.6337622368464144
65980,2015-08-31,2015,WMB,26.32,-8.16,-4.51,0.73,-15.05,-22.48,-7.5021777003484225,9.679878048780498,3.9743031358884906,2.0506678281068553
65981,2015-08-31,2015,ZION,21.82,-6.84,0.61,8.89,0.21,-5.03,7.567625590382132,16.884929154143414,7.99699441820525,10.816516387576932
65982,2015-08-31,2015,BXP,73.32,-8.03,-12.34,-16.66,-1.39,5.01,7.219745569207348,-9.38349461781015,-4.686310753506573,-2.283353267369792
65983,2015-08-31,2015,KMB,73.69,-7.34,-1.34,-1.27,6.14,3.23,14.547809194906103,6.550830995035617,6.4752859917979855,9.191308727246568
65984,2015-08-31,2015,KSS,29.51,-16.78,-21.52,-29.93,-10.85,-8.45,7.125690939677942,-15.80149002643596,-5.695746214852216,-4.790515100536745
65985,2015-08-31,2015,BF-B,32.34,-9.51,4.41,7.72,7.29,-0.9,18.56558735771907,19.040777986517842,15.382915239252949,17.663093527829954
65986,2015-08-31,2015,OXY,53.17,4.0,-5.73,-4.47,-24.06,-8.41,-26.98076923076923,-8.144230769230765,-9.35576923076924,-14.826923076923078
65987,2015-08-31,2015,IVZ,21.28,-10.99,-13.74,-14.12,-14.25,-8.44,-3.662509830356131,-3.516458824851143,-3.0895405010672894,-3.422836385424855
65988,2015-08-31,2015,CAG,22.24,-5.4,8.57,20.65,32.93,-2.81,40.517970401691336,27.536997885835103,14.767441860465125,27.60747004933052
65989,2015-08-31,2015,TT,36.04,-9.95,-19.27,-17.0,-6.6,-7.68,3.7201554691837835,-7.82898389783454,-10.34980566352026,-4.819544697390339
65990,2015-08-31,2015,ETN,44.95,-5.81,-19.58,-17.63,-15.61,-10.09,-10.404501539441558,-12.549102877163175,-14.619386346745934,-12.524330254450222
65991,2015-08-31,2015,HAS,52.75,-5.27,4.0,21.16,45.58,-3.28,53.67887680776944,27.900348358492554,9.785706745487177,30.45497730391639
65992,2015-08-31,2015,HD,90.31,-0.49,5.08,2.55,27.1,-0.33,27.725856697819307,3.0549693498141073,5.597427394231724,12.126084480621714
65993,2015-08-31,2015,ADBE,78.57,-4.17,-0.66,-0.67,9.28,4.65,14.035270792027553,3.6523009495982306,3.6627360951685173,7.116769278931433
65994,2015-08-31,2015,AFL,22.9,-7.95,-5.25,-4.71,-1.88,-0.8,6.594242259641492,3.519826181423147,2.933188484519289,4.349085641861309
65995,2015-08-31,2015,CMI,91.69,-5.29,-9.49,-13.27,-14.04,-10.82,-9.238728750923874,-8.425720620842581,-4.434589800443467,-7.36634639073664
65996,2015-08-31,2015,IP,26.03,-9.11,-16.06,-22.29,-8.18,-12.4,1.023214875123779,-14.5010452194961,-7.646605787215311,-7.041478710529211
65997,2015-08-31,2015,AEE,29.22,-1.92,1.23,-3.0,4.89,6.04,6.943311582381728,-1.1011419249592147,3.211663947797705,3.017944535073406
65998,2015-08-31,2015,RIG,14.23,8.54,-23.64,-10.07,-59.88,-9.21,-63.036668509305315,-17.145752717892016,-29.648056016215207,-36.61015908113751
65999,2015-08-31,2015,PRU,50.49,-8.04,-3.97,1.19,-7.49,-5.56,0.5980861244019309,10.036972596781224,4.4258373205741774,5.020298680585777
66000,2015-08-31,2015,NKE,48.61,-3.01,9.91,15.38,43.48,10.32,47.93277657490464,18.960717599752552,13.320960923806568,26.73815169948792
66001,2015-08-31,2015,PCG,45.49,-5.58,-6.42,-6.05,10.64,7.42,17.178563863588224,-0.4977758949375133,-0.8896420249947079,5.263715314552002
66002,2015-08-31,2015,D,44.39,-1.81,-0.17,-1.45,2.91,0.9,4.807006823505433,0.36663611365719273,1.67023118443832,2.2812913738669818
66003,2015-08-31,2015,PRGO,144.06,-4.74,-3.78,18.61,23.36,-14.05,29.498215410455607,24.511862271677497,1.0077682133109223,18.339281965148007
66004,2015-08-31,2015,INTU,78.87,-18.93,-17.47,-11.73,4.22,3.5,28.555569261132362,8.881213765881334,1.8009127914148326,13.079231939476175
66005,2015-08-31,2015,ANDV,85.83,-4.94,4.56,1.24,44.85,5.68,52.37744582369031,6.501157163896476,9.993688196928275,22.957430394838354
66006,2015-08-31,2015,MNST,23.08,-9.83,8.78,-1.88,56.61,-2.4,73.6830431407342,8.816679605190192,20.638793390262865,34.379505378729085
66007,2015-08-31,2015,LRCX,6.26,-5.33,-11.21,-11.23,2.26,-9.85,8.017323333685432,-6.232174923418199,-6.211048906728633,-1.4753001654871334
66008,2015-08-31,2015,MHK,196.97,-2.29,5.53,6.85,34.89,-7.71,38.051376522362105,9.354211442022308,8.003274997441402,18.46962098727527
66009,2015-08-31,2015,XOM,47.81,-4.12,-10.86,-13.52,-21.87,-1.18,-18.512724238631616,-9.80392156862745,-7.029620358781807,-11.782088722013624
66010,2015-08-31,2015,VRSN,68.09,-2.82,9.1,7.69,20.78,2.35,24.284832270014412,10.814982506688619,12.265898332990322,15.788571036564448
66011,2015-08-31,2015,KMX,61.0,-5.44,-14.13,-9.1,16.41,-2.75,23.107021996615895,-3.870558375634514,-9.18993231810491,3.3488437676254907
66012,2015-08-31,2015,NWSA,11.92,-7.47,-10.03,-21.08,-22.69,-6.7,-16.448719334269967,-14.708743110342592,-2.766670269101923,-11.308044237904829
66013,2015-08-31,2015,SO,27.96,-1.81,0.53,-2.86,2.45,2.97,4.338527344943466,-1.0693553315001436,2.383134738771786,1.8841022507383693
66014,2015-08-31,2015,ETR,21.66,-6.89,-13.53,-15.92,-11.86,-0.35,-5.337772527118467,-9.698206422511014,-7.131350016109983,-7.3891096552464886
66015,2015-08-31,2015,CTSH,55.52,-0.25,-2.75,0.72,37.63,-0.52,37.97493734335839,0.9724310776942469,-2.506265664160401,12.147034252297411
66016,2015-08-31,2015,MS,25.69,-11.3,-9.47,-2.98,1.79,-8.56,14.757609921082304,9.379932356257047,2.0631341600901854,8.733558812476511
66017,2015-08-31,2015,LMT,152.09,-2.14,7.68,2.1,19.2,3.05,21.806662579194768,4.332720212548535,10.034743511138355,12.058042100960554
66018,2015-08-31,2015,PSKY,36.15,-15.39,-26.52,-23.07,-22.91,-11.49,-8.887838316983798,-9.076941259898351,-13.154473466493322,-10.373084347791824
66019,2015-08-31,2015,MCK,182.36,-10.3,-16.51,-13.4,1.78,-6.35,13.46711259754738,-3.455964325529548,-6.923076923076932,1.0293571163136335
66020,2015-08-31,2015,T,11.94,-4.43,-2.18,-0.36,2.11,-1.87,6.843151616616083,4.258658574866581,2.354295280945906,4.485368490809523
66021,2015-08-31,2015,NDAQ,14.35,0.31,-0.59,2.88,19.51,4.68,19.140663941780467,2.5620576213737145,-0.8972186222709677,6.935167646961072
66022,2015-08-31,2015,SYY,30.14,9.8,8.16,3.9,8.71,-1.5,-0.9927140255009181,-5.373406193078334,-1.4936247723133178,-2.61991499696419
66023,2015-08-31,2015,LEG,29.88,-7.09,-5.45,-0.08,30.39,-6.46,40.340114088903235,7.544935959530719,1.7651490689915006,16.55006637247515
66024,2015-08-31,2015,WTW,97.41,-7.31,-8.6,-8.51,5.49,-4.2,13.809472434998371,-1.2946380407811042,-1.391735893839685,3.7076995001258606
66025,2015-08-31,2015,QCOM,42.0,-11.39,-17.55,-20.3,-23.62,-5.04,-13.802053944250082,-10.055298499040743,-6.951811307978783,-10.269721250423203
66026,2015-08-31,2015,CPB,33.61,-2.68,-0.07,4.39,10.08,5.61,13.111385121249498,7.264693793670385,2.6818742293464926,7.685984381422126
66027,2015-08-31,2015,VLO,39.25,-9.54,0.8,-2.55,12.48,1.28,24.34225071854963,7.727172230820245,11.430466504532388,14.499963151300754
66028,2015-08-31,2015,CSCO,18.66,-8.94,-11.02,-10.95,6.69,1.43,17.164506918515254,-2.207335822534584,-2.2842082143641473,4.224320960538841
66029,2015-08-31,2015,GWW,189.19,-1.8,-6.55,-4.74,-7.53,-3.77,-5.835030549898168,-2.9938900203665963,-4.837067209775969,-4.555329260013578
