Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
30190,2007-08-31,2007,SCHW,15.67,-1.64,-7.35,12.95,28.67,9.09,30.815372102480666,14.833265555103692,-5.805205368035793,13.281144096516188
30191,2007-08-31,2007,ABT,16.37,2.41,-7.31,-3.83,9.19,3.29,6.620447221950987,-6.093154965335412,-9.491260619080165,-2.9879894541548637
30192,2007-08-31,2007,AMAT,15.83,-2.82,12.14,15.68,27.82,-3.09,31.52912121835769,19.03683885573164,15.394114015229476,21.98669136310627
30193,2007-08-31,2007,AXP,43.95,0.14,-9.57,3.61,12.72,1.28,12.562412622328733,3.465148791691619,-9.696425004993014,2.1103788030091124
30194,2007-08-31,2007,MCD,28.95,2.88,-2.57,12.73,40.54,10.6,36.605754276827376,9.574261275272168,-5.297433903576976,13.627527216174192
30195,2007-08-31,2007,EIX,26.54,-0.34,-9.06,13.4,23.7,5.74,24.12201485049168,13.78687537627934,-8.74974914710015,9.719713693223623
30196,2007-08-31,2007,CF,8.74,10.22,41.64,63.96,300.27,19.86,263.15550716748317,48.75703139176193,28.506623117401553,113.47305389221555
30197,2007-08-31,2007,SPG,40.08,10.74,-11.26,-14.36,15.61,5.35,4.397688278851364,-22.66570344952139,-19.866353621094458,-12.711456263921496
30198,2007-08-31,2007,AAPL,4.15,5.1,14.27,63.67,104.1,10.82,94.19600380589914,55.72787821122742,8.725023786869656,52.882968601332074
30199,2007-08-31,2007,INTC,15.63,9.53,16.64,30.94,34.24,0.43,22.560029215739984,19.547156030311342,6.491372226787173,16.199519157612833
30200,2007-08-31,2007,MUR,29.02,-1.46,3.62,18.28,26.08,14.69,27.948041404505773,20.032474122183896,5.1552668966917015,17.711927474460456
30201,2007-08-31,2007,HST,11.67,5.54,-11.88,-13.78,2.47,1.58,-2.908849725222662,-18.305855599772592,-16.505590297517525,-12.573431874170927
30202,2007-08-31,2007,DHR,15.56,3.99,5.7,8.4,17.3,6.54,12.799307625733247,4.240792383883063,1.644388883546477,6.228162964387596
30203,2007-08-31,2007,COP,33.01,1.3,6.29,26.72,32.06,7.18,30.365251727541963,25.093780848963476,4.925962487660418,20.128331688055287
30204,2007-08-31,2007,AN,18.98,-2.57,-14.2,-13.57,-2.32,-6.64,0.25659447808683566,-11.290157035820602,-11.936775120599407,-7.656779226111058
30205,2007-08-31,2007,DVA,28.76,8.65,4.15,5.54,-1.44,9.84,-9.286700414173954,-2.862402208927761,-4.14173953060285,-5.430280717901522
30206,2007-08-31,2007,BAX,20.81,4.11,-3.38,10.2,25.8,3.1,20.83373355105178,5.849582172701973,-7.194313706656419,6.496334005699111
30207,2007-08-31,2007,MAR,34.18,6.91,-3.38,-7.02,18.45,-1.97,10.794125900289963,-13.029651108408945,-9.624918155457863,-3.9534811211922816
30208,2007-08-31,2007,WMB,10.81,-3.56,-2.08,16.08,27.52,9.87,32.227291580257145,20.36499377851515,1.5346329323931984,18.042306097055164
30209,2007-08-31,2007,ZION,49.3,-4.73,-11.73,-16.38,-8.75,-2.73,-4.219586438543088,-12.228403484832572,-7.347538574577516,-7.931842832651058
30210,2007-08-31,2007,BXP,46.38,5.91,-12.9,-15.56,6.1,4.52,0.17939760173733,-20.271928996317623,-17.76036257199508,-12.61763132219179
30211,2007-08-31,2007,KMB,33.83,2.11,-2.48,2.56,11.48,3.08,9.17637841543435,0.44070120458330475,-4.4951522867495814,1.707309111089358
30212,2007-08-31,2007,KSS,30.55,-2.47,-21.27,-14.06,-5.14,-3.32,-2.737619194094121,-11.883523018558396,-19.276120168153387,-11.299087460268636
30213,2007-08-31,2007,BF-B,10.77,8.15,5.74,13.74,-2.61,4.68,-9.94914470642625,5.168747110494687,-2.228386500231161,-2.3362613653875743
30214,2007-08-31,2007,OXY,32.86,-0.05,3.52,23.98,13.12,13.52,13.176588294147074,24.042021010505255,3.5717858929464663,13.5967983991996
30215,2007-08-31,2007,IVZ,12.56,-1.98,2.66,4.38,20.21,11.31,22.638237094470526,6.488471740461144,4.7337278106508895,11.286812215194187
30216,2007-08-31,2007,CAG,10.41,1.42,1.54,3.46,11.1,1.63,9.544468546637752,2.011437586274889,0.11831985801618039,3.8914086636429404
30217,2007-08-31,2007,TT,23.85,3.58,1.55,20.85,38.88,4.89,34.07993821201003,16.673102915620763,-1.9598378065263544,16.264401107034814
30218,2007-08-31,2007,ETN,29.13,-2.62,0.95,17.38,44.56,5.12,48.44937358800574,20.538098172109255,3.666050523721509,24.217840761278836
30219,2007-08-31,2007,HAS,15.76,0.68,-11.75,0.87,41.75,-1.17,40.79261025029799,0.18871672626141756,-12.346046881207773,9.545093365117213
30220,2007-08-31,2007,HD,23.92,3.73,-0.24,-1.48,14.92,-15.32,10.787621710209194,-5.022654969632711,-3.827243806034908,0.6459076448471918
30221,2007-08-31,2007,ADBE,42.75,6.11,-2.97,8.92,31.78,2.13,24.19187635472624,2.648195269060416,-8.557157666572412,6.094304652404748
30222,2007-08-31,2007,AFL,17.02,2.68,1.25,13.74,20.11,7.0,16.97506817296457,10.77132839890924,-1.3926762758083355,8.784573432021825
30223,2007-08-31,2007,CMI,38.9,-0.01,25.95,76.71,108.32,8.0,108.34083408340831,76.72767276727672,25.962596259625958,70.34370103677033
30224,2007-08-31,2007,IP,16.16,-4.58,-9.7,-1.06,3.86,2.16,8.845105847830625,3.6889540976734247,-5.365751414797737,2.389436176902105
30225,2007-08-31,2007,MBI,25.71,6.95,-9.37,-8.83,-0.71,2.31,-7.16222533894344,-14.754558204768598,-15.259467040673226,-12.392083528128419
30226,2007-08-31,2007,AEE,24.18,5.84,-3.15,-0.31,-0.5,4.7,-5.990173847316704,-5.8106575963718825,-8.493953136810273,-6.76492819349962
30227,2007-08-31,2007,PRU,45.31,1.3,-12.0,-1.28,23.76,8.69,22.17176702862784,-2.546890424481729,-13.129318854886463,2.165185916419882
30228,2007-08-31,2007,NKE,10.9,-0.19,-0.39,8.41,40.77,4.47,41.03797214707945,8.616371105099695,-0.20038072337441593,16.484654176268243
30229,2007-08-31,2007,PCG,29.56,3.95,-8.94,-2.68,9.37,8.22,5.214045214045204,-6.378066378066394,-12.400192400192411,-4.521404521404533
30230,2007-08-31,2007,TIE,31.35,-6.19,-9.39,-10.25,21.51,7.05,29.527768894574137,-4.327896812706545,-3.4111501972071245,7.262907294886823
30231,2007-08-31,2007,D,19.65,1.98,-3.05,1.23,10.22,-1.03,8.080015689350862,-0.7354383212394677,-4.9323396744459735,0.8040792312218071
30232,2007-08-31,2007,INTU,24.06,-4.64,-10.46,-7.46,-9.75,10.95,-5.358640939597315,-2.9572147651006686,-6.103187919463093,-4.806347874720359
30233,2007-08-31,2007,ANDV,41.38,-0.74,-19.99,8.62,53.46,-6.71,54.60407011887971,9.429780374773333,-19.393511988716504,14.880112834978847
30234,2007-08-31,2007,XOM,44.54,1.11,3.49,20.6,28.84,7.97,27.425576105231908,19.276036000395603,2.3538720205716457,16.351828042066384
