Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
26939,2006-10-31,2006,BKNG,1.58,9.51,49.89,64.85,112.39,-1.99,59.91199999999999,102.88,55.339999999999996,40.38,S&P500,BKNG,1.0,0,10
26973,2006-10-31,2006,NVDA,0.53,17.84,57.5,19.34,107.87,6.08,46.202,90.03,1.5,39.66,S&P500,NVDA,2.0,0,10
27019,2006-10-31,2006,MA,6.73,5.47,61.75,0.0,0.0,37.31,42.678,-5.47,-5.47,56.28,S&P500,MA,3.0,0,10
27038,2006-10-31,2006,ANF,52.67,10.32,45.15,26.96,49.1,-11.8,41.357,38.78,16.64,34.83,S&P500,ANF,4.0,0,10
26750,2006-10-31,2006,HAS,14.27,14.48,39.28,33.0,40.56,3.2,39.248,26.080000000000002,18.52,24.8,S&P500,HAS,5.0,0,10
26782,2006-10-31,2006,RX,8.88,0.0,0.0,93.46,0.0,0.0,37.384,0.0,93.46,0.0,S&P500,RX,6.0,0,10
27012,2006-10-31,2006,CFC,90.0,1.69,29.5,40.62,17.65,-6.11,36.729,15.959999999999999,38.93,27.81,S&P500,CFC,7.0,0,10
26816,2006-10-31,2006,TPR,25.58,15.23,38.07,20.05,23.18,9.01,33.146,7.949999999999999,4.82,22.84,S&P500,TPR,8.0,0,10
27029,2006-10-31,2006,MAT,13.83,14.87,25.44,39.86,58.09,-0.1,32.265,43.220000000000006,24.990000000000002,10.570000000000002,S&P500,MAT,9.0,0,10
26972,2006-10-31,2006,GT,13.65,5.72,39.36,9.5,-1.98,9.92,30.78,-7.699999999999999,3.7800000000000002,33.64,S&P500,GT,10.0,0,10
27056,2006-10-31,2006,AMZN,1.9,18.59,41.65,8.18,-4.44,5.91,30.567999999999998,-23.03,-10.41,23.06,S&P500,AMZN,11.0,0,10
26785,2006-10-31,2006,CSCO,15.53,5.0,34.96,15.18,38.28,11.52,30.043999999999997,33.28,10.18,29.96,S&P500,CSCO,12.0,0,10
26873,2006-10-31,2006,AKAM,46.86,-6.26,18.24,39.09,170.24,4.29,29.03,176.5,45.35,24.5,S&P500,AKAM,13.0,0,10
27062,2006-10-31,2006,HOG,44.1,9.37,20.8,36.0,40.57,7.49,28.023,31.200000000000003,26.630000000000003,11.430000000000001,S&P500,HOG,14.0,0,10
26869,2006-10-31,2006,YUM,14.7,14.55,32.5,15.72,18.12,2.91,27.583000000000002,3.5700000000000003,1.17,17.95,S&P500,YUM,15.0,0,10
26743,2006-10-31,2006,KSS,36.37,8.75,24.67,26.43,46.69,-1.42,26.966,37.94,17.68,15.920000000000002,S&P500,KSS,16.0,0,10
26796,2006-10-31,2006,ORCL,14.77,4.12,23.38,26.59,45.66,3.14,26.59,41.54,22.47,19.259999999999998,S&P500,ORCL,17.0,0,10
26797,2006-10-31,2006,AIV,1.2,5.35,20.62,31.57,57.93,1.68,26.527,52.58,26.22,15.270000000000001,S&P500,AIV,18.0,0,10
26922,2006-10-31,2006,AZO,112.0,8.42,27.46,19.65,38.44,1.44,26.24,30.019999999999996,11.229999999999999,19.04,S&P500,AZO,19.0,0,10
26778,2006-10-31,2006,SYY,19.81,5.12,27.4,18.29,12.01,2.49,25.983999999999995,6.89,13.169999999999998,22.279999999999998,S&P500,SYY,20.0,0,10
26968,2006-10-31,2006,BEN,19.53,7.89,24.76,22.69,29.61,-6.34,25.619,21.72,14.8,16.87,S&P500,BEN,21.0,0,10
26959,2006-10-31,2006,F,4.21,2.35,24.14,20.01,2.85,-1.81,24.667,0.5,17.66,21.79,S&P500,F,22.0,0,10
26934,2006-10-31,2006,NEE,7.19,13.33,19.24,31.09,22.67,5.26,24.570999999999998,9.340000000000002,17.759999999999998,5.909999999999998,S&P500,NEE,23.0,0,10
27011,2006-10-31,2006,TGT,36.18,7.11,29.19,11.95,7.14,-1.64,24.502000000000002,0.02999999999999936,4.839999999999999,22.080000000000002,S&P500,TGT,24.0,0,10
26929,2006-10-31,2006,CMCSA,8.52,10.22,18.3,31.41,46.24,-0.52,24.352,36.02,21.189999999999998,8.08,S&P500,CMCSA,25.0,0,10
26775,2006-10-31,2006,T,6.65,6.63,15.76,34.59,53.06,-0.99,24.205000000000002,46.43,27.960000000000004,9.129999999999999,S&P500,T,26.0,0,10
26809,2006-10-31,2006,AET,37.22,4.22,30.9,7.06,-6.87,0.32,24.031999999999996,-11.09,2.84,26.68,S&P500,AET,27.0,0,10
26872,2006-10-31,2006,GS,138.63,12.4,24.49,18.92,51.43,2.64,23.470999999999997,39.03,6.520000000000001,12.089999999999998,S&P500,GS,28.0,0,10
26895,2006-10-31,2006,CI,35.1,0.57,28.23,9.38,1.05,7.75,23.456000000000003,0.4800000000000001,8.81,27.66,S&P500,CI,29.0,0,10
26792,2006-10-31,2006,M,23.46,1.62,25.46,13.58,45.12,-4.14,23.092,43.5,11.96,23.84,S&P500,M,30.0,0,10
26848,2006-10-31,2006,RL,54.03,9.75,24.57,17.13,44.81,10.14,23.075999999999997,35.06,7.379999999999999,14.82,S&P500,RL,31.0,0,10
26950,2006-10-31,2006,MRK,21.93,8.4,13.84,34.73,68.27,-2.0,22.74,59.87,26.33,5.4399999999999995,S&P500,MRK,32.0,0,10
26752,2006-10-31,2006,ADBE,38.25,2.11,34.16,-2.42,18.6,4.99,22.732999999999997,16.490000000000002,-4.529999999999999,32.05,S&P500,ADBE,33.0,0,10
27005,2006-10-31,2006,HPQ,10.78,5.59,21.67,19.89,39.55,1.86,22.566000000000003,33.959999999999994,14.3,16.080000000000002,S&P500,HPQ,34.0,0,10
26831,2006-10-31,2006,SVU,190.47,12.65,23.93,16.45,8.56,3.07,22.065999999999995,-4.09,3.799999999999999,11.28,S&P500,SVU,35.0,0,10
26970,2006-10-31,2006,XRX,19.66,9.25,20.65,21.08,25.28,-2.94,21.961999999999996,16.03,11.829999999999998,11.399999999999999,S&P500,XRX,36.0,0,10
27035,2006-10-31,2006,SEE,20.54,9.98,26.36,11.18,19.31,0.24,21.926,9.329999999999998,1.1999999999999993,16.38,S&P500,SEE,37.0,0,10
26747,2006-10-31,2006,CAG,10.37,7.57,22.48,17.07,16.52,-1.72,21.807,8.95,9.5,14.91,S&P500,CAG,38.0,0,10
26985,2006-10-31,2006,EQR,22.55,7.97,18.45,24.01,44.72,-2.47,21.722,36.75,16.040000000000003,10.48,S&P500,EQR,39.0,0,10
26878,2006-10-31,2006,CNP,7.25,8.1,13.9,31.8,21.64,6.61,21.64,13.540000000000001,23.700000000000003,5.800000000000001,S&P500,CNP,40.0,0,10
26893,2006-10-31,2006,TJX,5.59,3.28,19.12,20.65,35.91,-5.06,21.316000000000003,32.629999999999995,17.369999999999997,15.840000000000002,S&P500,TJX,41.0,0,10
27022,2006-10-31,2006,MSFT,20.19,4.97,19.77,19.78,13.27,2.61,21.253999999999998,8.3,14.810000000000002,14.8,S&P500,MSFT,42.0,0,10
26763,2006-10-31,2006,INTU,31.1,10.0,14.35,30.33,53.71,-10.71,21.177,43.71,20.33,4.35,S&P500,INTU,43.0,0,10
26800,2006-10-31,2006,EMN,17.0,12.77,23.78,14.0,19.47,-2.53,20.969,6.699999999999999,1.2300000000000004,11.010000000000002,S&P500,EMN,44.0,0,10
26815,2006-10-31,2006,APH,3.7,9.64,21.14,17.6,70.28,0.34,20.874000000000002,60.64,7.960000000000001,11.5,S&P500,APH,45.0,0,10
26943,2006-10-31,2006,TWX,30.04,9.76,21.89,16.09,14.26,1.07,20.782999999999998,4.5,6.33,12.13,S&P500,TWX,46.0,0,10
26725,2006-10-31,2006,MCD,24.05,7.16,18.45,21.26,35.38,2.56,20.703000000000003,28.220000000000002,14.100000000000001,11.29,S&P500,MCD,47.0,0,10
26827,2006-10-31,2006,AEP,19.31,13.91,15.87,26.47,13.77,1.15,20.305999999999997,-0.14000000000000057,12.559999999999999,1.959999999999999,S&P500,AEP,48.0,0,10
26817,2006-10-31,2006,VNO,40.92,9.4,14.93,26.74,53.95,7.03,20.207,44.550000000000004,17.339999999999996,5.529999999999999,S&P500,VNO,49.0,0,10
26814,2006-10-31,2006,CCL,33.17,3.81,26.16,5.6,0.49,0.91,20.170999999999996,-3.3200000000000003,1.7899999999999996,22.35,S&P500,CCL,50.0,0,10
27065,2006-10-31,2006,SRE,14.62,5.55,16.43,22.94,29.35,2.75,20.122,23.8,17.39,10.879999999999999,S&P500,SRE,51.0,0,10
26727,2006-10-31,2006,CF,2.73,16.11,22.43,14.85,44.15,14.89,20.029999999999998,28.04,-1.2599999999999998,6.32,S&P500,CF,52.0,0,10
26896,2006-10-31,2006,GOOG,11.77,18.53,23.23,13.99,28.01,1.77,20.003999999999998,9.48,-4.540000000000001,4.699999999999999,S&P500,GOOG,53.0,0,10
27041,2006-10-31,2006,WELL,16.98,4.77,15.83,22.59,25.39,1.57,19.64,20.62,17.82,11.06,S&P500,WELL,54.0,0,10
26919,2006-10-31,2006,UAA,5.79,15.82,15.44,26.02,0.0,1.23,19.634,-15.82,10.2,-0.3800000000000008,S&P500,UAA,55.0,0,10
26999,2006-10-31,2006,EBAY,11.99,13.29,33.49,-6.63,-18.88,0.65,19.462,-32.17,-19.919999999999998,20.200000000000003,S&P500,EBAY,56.0,0,10
26790,2006-10-31,2006,ATI,65.48,26.6,23.42,13.9,176.39,13.87,19.294000000000004,149.79,-12.700000000000001,-3.1799999999999997,S&P500,ATI,57.0,0,10
26904,2006-10-31,2006,DRI,20.93,-1.34,23.96,5.81,29.88,-4.18,19.229999999999997,31.22,7.1499999999999995,25.3,S&P500,DRI,58.0,0,10
27057,2006-10-31,2006,GEN,7.09,-6.77,14.35,21.12,-16.81,6.96,19.17,-10.04,27.89,21.119999999999997,S&P500,GEN,59.0,0,10
27023,2006-10-31,2006,VFC,10.46,4.19,12.96,26.28,49.42,3.13,19.165,45.230000000000004,22.09,8.77,S&P500,VFC,60.0,0,10
26787,2006-10-31,2006,HUM,52.39,-9.21,7.28,32.8,35.17,-9.83,19.137,44.38,42.01,16.490000000000002,S&P500,HUM,61.0,0,10
26993,2006-10-31,2006,OKE,6.85,11.01,12.74,28.17,50.06,3.87,19.085,39.050000000000004,17.160000000000004,1.7300000000000004,S&P500,OKE,62.0,0,10
26729,2006-10-31,2006,AAPL,2.43,5.33,19.31,15.19,40.79,13.05,19.06,35.46,9.86,13.979999999999999,S&P500,AAPL,63.0,0,10
26834,2006-10-31,2006,SHW,15.35,6.18,17.63,17.44,42.06,6.04,18.698999999999998,35.88,11.260000000000002,11.45,S&P500,SHW,64.0,0,10
26912,2006-10-31,2006,WAT,49.8,9.98,22.42,9.89,37.57,0.48,18.652,27.59,-0.08999999999999986,12.440000000000001,S&P500,WAT,65.0,0,10
26990,2006-10-31,2006,DOC,9.92,1.13,16.34,18.26,31.59,17.09,18.629,30.46,17.130000000000003,15.21,S&P500,DOC,66.0,0,10
26843,2006-10-31,2006,IFF,27.28,7.44,15.35,21.46,31.51,10.9,18.585,24.07,14.02,7.909999999999999,S&P500,IFF,67.0,0,10
26799,2006-10-31,2006,AES,14.03,7.85,10.73,29.58,38.39,6.28,18.558,30.54,21.729999999999997,2.880000000000001,S&P500,AES,68.0,0,10
26871,2006-10-31,2006,ES,12.82,7.48,12.58,26.25,42.43,12.84,18.558,34.95,18.77,5.1,S&P500,ES,69.0,0,10
26738,2006-10-31,2006,MAR,32.0,8.1,18.93,14.72,41.04,8.09,18.329,32.94,6.620000000000001,10.83,S&P500,MAR,70.0,0,10
27036,2006-10-31,2006,KIM,17.54,4.52,14.19,21.78,55.47,4.39,18.193,50.95,17.26,9.67,S&P500,KIM,71.0,0,10
26770,2006-10-31,2006,MS,41.78,5.21,15.35,19.8,42.83,-0.35,18.144,37.62,14.59,10.14,S&P500,MS,72.0,0,10
26921,2006-10-31,2006,CBRE,30.03,22.07,27.62,2.5,84.42,9.66,18.127,62.35,-19.57,5.550000000000001,S&P500,CBRE,73.0,0,10
26932,2006-10-31,2006,BBWI,9.34,11.25,17.83,16.27,50.94,8.05,17.863999999999997,39.69,5.02,6.579999999999998,S&P500,BBWI,74.0,0,10
26728,2006-10-31,2006,SPG,39.7,7.15,14.58,20.83,40.74,5.87,17.823,33.59,13.679999999999998,7.43,S&P500,SPG,75.0,0,10
26917,2006-10-31,2006,IBM,47.85,12.68,19.75,12.99,14.18,-0.12,17.753,1.5,0.3100000000000005,7.07,S&P500,IBM,76.0,0,10
26923,2006-10-31,2006,SJM,25.95,2.19,10.5,26.48,9.98,-1.32,17.723,7.790000000000001,24.29,8.31,S&P500,SJM,77.0,0,10
26856,2006-10-31,2006,SYK,41.69,5.44,14.9,19.52,27.63,-0.82,17.694,22.189999999999998,14.079999999999998,9.46,S&P500,SYK,78.0,0,10
26769,2006-10-31,2006,CTSH,16.6,1.72,14.95,18.35,71.17,8.34,17.633,69.45,16.630000000000003,13.229999999999999,S&P500,CTSH,79.0,0,10
26902,2006-10-31,2006,MCO,52.84,1.41,20.95,7.17,25.04,4.9,17.392,23.63,5.76,19.54,S&P500,MCO,80.0,0,10
26909,2006-10-31,2006,BRK-B,70.3,10.74,15.36,19.07,24.87,1.14,17.305999999999997,14.13,8.33,4.619999999999999,S&P500,BRK-B,81.0,0,10
26768,2006-10-31,2006,ETR,19.65,9.71,12.09,24.53,25.08,7.07,17.304000000000002,15.369999999999997,14.82,2.379999999999999,S&P500,ETR,82.0,0,10
26776,2006-10-31,2006,NDAQ,9.54,18.15,29.22,-4.52,15.67,12.37,16.830999999999996,-2.4799999999999986,-22.669999999999998,11.07,S&P500,NDAQ,83.0,0,10
27046,2006-10-31,2006,PNW,20.59,7.3,12.39,21.94,19.95,3.2,16.719,12.649999999999999,14.64,5.090000000000001,S&P500,PNW,84.0,0,10
26930,2006-10-31,2006,PCAR,13.61,3.84,10.38,24.39,32.36,10.63,16.637999999999998,28.52,20.55,6.540000000000001,S&P500,PCAR,85.0,0,10
26879,2006-10-31,2006,GILD,11.9,0.19,12.0,19.83,45.82,-4.27,16.313,45.63,19.639999999999997,11.81,S&P500,GILD,86.0,0,10
26730,2006-10-31,2006,INTC,12.7,3.74,19.23,7.97,-7.45,0.77,16.275,-11.190000000000001,4.2299999999999995,15.49,S&P500,INTC,87.0,0,10
26780,2006-10-31,2006,WTW,66.02,0.08,17.65,9.68,5.14,5.86,16.219,5.06,9.6,17.57,S&P500,WTW,88.0,0,10
26759,2006-10-31,2006,NKE,8.83,4.86,16.53,12.7,10.13,7.69,16.165,5.2700000000000005,7.839999999999999,11.670000000000002,S&P500,NKE,89.0,0,10
27054,2006-10-31,2006,NTAP,26.79,-1.38,23.1,-1.54,33.55,7.62,15.692000000000004,34.93,-0.16000000000000014,24.48,S&P500,NTAP,90.0,0,10
26823,2006-10-31,2006,TROW,25.6,-1.13,14.86,12.93,46.21,-8.41,15.687,47.34,14.059999999999999,15.989999999999998,S&P500,TROW,91.0,0,10
26962,2006-10-31,2006,PSA,44.72,4.33,12.37,18.17,39.06,7.32,15.494,34.730000000000004,13.840000000000002,8.04,S&P500,PSA,92.0,0,10
27028,2006-10-31,2006,PLD,30.87,6.86,12.32,18.87,36.91,4.9,15.486,30.049999999999997,12.010000000000002,5.46,S&P500,PLD,93.0,0,10
26741,2006-10-31,2006,BXP,46.25,3.38,9.51,22.78,59.2,9.57,15.431,55.82,19.400000000000002,6.13,S&P500,BXP,94.0,0,10
27031,2006-10-31,2006,SPGI,45.43,10.58,14.35,16.08,32.88,4.15,15.419,22.300000000000004,5.499999999999998,3.7699999999999996,S&P500,SPGI,95.0,0,10
26737,2006-10-31,2006,BAX,17.14,1.12,9.45,21.94,22.04,-2.68,15.279,20.919999999999998,20.82,8.329999999999998,S&P500,BAX,96.0,0,10
