Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
53788,2013-01-31,2013,GRMN,25.16,-7.02,0.78,0.31,-5.26,-9.32,1.8928801892880154,7.883415788341597,8.388900838890102,6.055065605506571
53789,2013-01-31,2013,SCHW,14.11,15.11,22.25,32.05,44.5,-1.4,25.532099730692394,14.716358266006434,6.202762574928311,15.483740190542383
53790,2013-01-31,2013,ABT,26.42,8.25,8.25,7.71,34.07,-0.27,23.852193995381054,-0.49884526558892084,0.0,7.784449576597377
53791,2013-01-31,2013,AMAT,10.75,12.85,22.88,20.52,8.45,6.89,-3.898980948161279,6.796632698272043,8.887904297740379,3.9285186826170473
53792,2013-01-31,2013,AXP,48.99,2.67,5.44,2.62,18.93,5.68,15.83714814454078,-0.048699717541633714,2.6979643518067586,6.162137592935302
53793,2013-01-31,2013,MCD,67.22,8.03,10.77,8.44,-0.71,1.45,-8.090345274460798,0.3795242062390125,2.5363325002313974,-1.7248295226634627
53794,2013-01-31,2013,EIX,28.99,6.64,3.49,5.9,20.92,-0.33,13.390847711927979,-0.6939234808702288,-2.9538634658664797,3.2476869217304234
53795,2013-01-31,2013,ACN,57.2,8.11,6.65,20.61,28.2,3.44,18.582924798816023,11.562297659790953,-1.3504763666635777,9.598248697314466
53796,2013-01-31,2013,CF,32.55,12.8,11.91,17.53,30.29,-12.21,15.50531914893616,4.193262411347498,-0.7890070921985903,6.303191489361688
53797,2013-01-31,2013,SPG,81.65,1.32,6.0,1.21,21.18,-0.12,19.601263324121575,-0.10856691669957064,4.619028819581517,8.037241742334507
53798,2013-01-31,2013,AAPL,13.77,-14.41,-23.14,-24.76,0.67,-2.53,17.61888071036335,-12.092534174553105,-10.199789695057838,-1.5578143864158644
53799,2013-01-31,2013,INTC,15.05,2.04,-1.73,-16.56,-17.6,0.31,-19.24735397883184,-18.228145825166596,-3.694629557036455,-13.723376453678297
53800,2013-01-31,2013,MUR,32.52,-0.05,4.33,17.33,6.72,2.82,6.773386693346661,17.388694347173583,4.3821910955477605,9.514757378689335
53801,2013-01-31,2013,HST,10.05,7.15,16.79,15.61,4.22,-0.71,-2.7344843677088115,7.895473635090999,8.996733551096604,4.719240939492931
53802,2013-01-31,2013,DHR,24.26,7.21,15.91,13.59,14.34,2.79,6.650499020613743,5.950937412554791,8.114914653483819,6.905450362217451
53803,2013-01-31,2013,COP,37.23,0.02,0.26,7.78,16.68,1.05,16.65666866626676,7.75844831033794,0.23995200959807672,8.21835632873426
53804,2013-01-31,2013,AN,48.5,22.17,9.23,23.0,35.63,-9.75,11.017434722108543,0.6793811901448787,-10.591798313824995,0.3683391994761423
53805,2013-01-31,2013,DVA,57.71,4.42,2.57,17.26,41.07,3.65,35.09864010725916,12.296494924343992,-1.7716912468875634,15.207814594905194
53806,2013-01-31,2013,BAX,29.01,1.77,9.07,17.65,25.64,-0.35,23.454849169696356,15.603812518423887,7.173037240837177,15.410566309652472
53807,2013-01-31,2013,MAR,34.86,7.27,10.0,10.56,17.62,-0.99,9.648550386874266,3.0670271278083305,2.5449799571175546,5.086852490600051
53808,2013-01-31,2013,CCI,43.09,-2.27,5.65,13.96,45.46,-1.02,48.83863706129132,16.606978409904837,8.103959889491463,24.516525120229208
53809,2013-01-31,2013,WMB,17.2,7.06,1.19,12.47,26.44,-0.97,18.1019988791332,5.053241173173917,-5.482906781244157,5.890777757020985
53810,2013-01-31,2013,ZION,17.27,8.97,8.62,28.26,38.85,3.6,27.420390933284388,17.70211984949985,-0.32118931816096374,14.933773821541093
53811,2013-01-31,2013,BXP,60.8,-0.5,-0.35,-4.0,3.41,-1.33,3.9296482412060296,-3.5175879396984966,0.1507537688442362,0.18760469011725642
53812,2013-01-31,2013,KMB,54.82,6.02,8.19,4.81,29.82,5.33,22.448594604791538,-1.1412940954536932,2.046783625731008,7.7846947116896175
53813,2013-01-31,2013,KSS,25.0,7.7,-12.49,-5.65,3.42,-0.41,-3.974001857010212,-12.395543175487466,-18.746518105849574,-11.705354379449085
53814,2013-01-31,2013,BF-B,20.59,2.29,1.37,4.49,21.4,1.42,18.682178121028457,2.150747873692449,-0.8994036562713692,6.644507446149845
53815,2013-01-31,2013,OXY,57.05,15.22,12.61,2.84,-9.21,-6.73,-21.202916160388842,-10.744662385002613,-2.265231730602324,-11.404270091997928
53816,2013-01-31,2013,IVZ,15.8,4.45,12.89,24.96,24.09,-1.07,18.803255146002872,19.636189564384885,8.080421254188618,15.506621988192128
53817,2013-01-31,2013,CAG,16.23,11.67,18.33,34.62,27.07,4.34,13.790633115429385,20.551625324617184,5.9640010745947825,13.435419838213784
53818,2013-01-31,2013,TT,25.73,7.15,9.64,22.01,49.32,2.45,39.356042930471325,13.868408772748486,2.3238450769948793,18.51609892673823
53819,2013-01-31,2013,ETN,41.48,5.11,20.61,32.12,20.0,8.81,14.166111692512606,25.69688897345639,14.746456093616223,18.203152253195075
53820,2013-01-31,2013,HAS,24.49,4.09,4.83,6.38,11.35,7.09,6.974733403785183,2.200019214141613,0.7109232395042797,3.2952252858103583
53821,2013-01-31,2013,HD,49.24,8.2,9.52,29.49,54.05,2.36,42.37523105360444,19.676524953789265,1.2199630314232879,21.090573012939
53822,2013-01-31,2013,ADBE,37.83,0.4,11.17,22.51,22.23,3.91,21.7430278884462,22.021912350597628,10.727091633466124,18.164010624169983
53823,2013-01-31,2013,AFL,19.37,-0.11,7.34,22.94,13.23,-5.19,13.354690159175098,23.07538292121334,7.458204024426851,14.629425701605095
53824,2013-01-31,2013,CMI,81.73,5.98,23.33,20.93,12.32,1.33,5.9822608039252545,14.106435176448384,16.371013398754485,12.153236459709376
53825,2013-01-31,2013,IP,22.74,3.97,16.61,28.37,37.59,7.02,32.336250841588935,23.468308165817064,12.15735308261998,22.653970696675326
53826,2013-01-31,2013,AEE,21.14,5.6,0.01,-2.71,7.83,4.16,2.111742424242413,-7.869318181818185,-5.29356060606061,-3.683712121212127
53827,2013-01-31,2013,PRU,33.74,8.53,4.78,23.81,4.43,-3.29,-3.777757302128437,14.0790564820787,-3.4552658251174706,2.2820111182775977
53828,2013-01-31,2013,NKE,22.79,4.75,18.81,16.73,5.48,1.15,0.696897374701666,11.436754176610965,13.422434367541758,8.518695306284796
