Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
82919,2018-11-30,2018,MKC,65.45,4.17,20.58,49.75,49.51,-6.79,33.888999999999996,45.339999999999996,45.58,16.409999999999997,S&P500,MKC,1.0,2,11
82932,2018-11-30,2018,CHD,60.68,11.86,17.38,42.0,42.88,-0.65,27.78,31.020000000000003,30.14,5.52,S&P500,CHD,2.0,23,11
82703,2018-11-30,2018,SCG,46.54,16.5,22.11,31.61,13.86,2.67,26.470999999999997,-2.6400000000000006,15.11,5.609999999999999,S&P500,SCG,3.0,150,11
82904,2018-11-30,2018,CI,203.15,4.48,18.6,31.89,5.53,-14.98,25.328,1.0499999999999998,27.41,14.120000000000001,S&P500,CI,4.0,7,11
82976,2018-11-30,2018,CLX,133.31,11.57,14.97,38.94,22.26,-6.93,24.898,10.690000000000001,27.369999999999997,3.4000000000000004,S&P500,CLX,5.0,14,11
82978,2018-11-30,2018,MRK,60.08,7.78,16.46,35.22,48.17,-3.02,24.832,40.39,27.439999999999998,8.68,S&P500,MRK,6.0,13,11
83066,2018-11-30,2018,BALL,45.27,9.84,17.5,33.5,24.24,-6.37,24.666,14.399999999999999,23.66,7.66,S&P500,BALL,7.0,32,11
83087,2018-11-30,2018,LLY,107.76,9.96,12.86,40.99,43.69,-2.46,24.402,33.73,31.03,2.8999999999999986,S&P500,LLY,8.0,11,11
82989,2018-11-30,2018,SBUX,56.97,15.12,25.5,19.19,18.07,-3.48,24.014,2.950000000000001,4.070000000000002,10.38,S&P500,SBUX,9.0,74,11
82831,2018-11-30,2018,ESRX,101.47,4.64,15.28,33.85,55.68,-9.01,23.772,51.04,29.21,10.64,S&P500,ESRX,10.0,4,11
82858,2018-11-30,2018,PG,78.6,6.57,14.94,31.49,8.72,-2.74,22.397,2.1500000000000004,24.919999999999998,8.37,S&P500,PG,11.0,22,11
82820,2018-11-30,2018,UAL,96.7,13.09,10.62,38.96,52.72,-13.41,21.709,39.629999999999995,25.87,-2.4700000000000006,S&P500,UAL,12.0,31,11
83088,2018-11-30,2018,MOS,31.47,16.35,15.22,31.18,48.76,-18.8,21.491,32.41,14.829999999999998,-1.1300000000000008,S&P500,MOS,13.0,85,11
82975,2018-11-30,2018,HRL,36.91,3.32,15.7,26.85,26.24,-5.34,21.398,22.919999999999998,23.53,12.379999999999999,S&P500,HRL,14.0,8,11
82950,2018-11-30,2018,HSIC,69.96,7.47,14.83,28.9,24.84,-11.97,21.194000000000003,17.37,21.43,7.36,S&P500,HSIC,15.0,100,11
83126,2018-11-30,2018,HCA,135.24,8.1,7.63,40.32,71.42,-13.57,20.659,63.32,32.22,-0.46999999999999975,S&P500,HCA,16.0,9,11
82783,2018-11-30,2018,AES,11.92,6.24,16.1,23.76,52.44,-6.65,20.15,46.199999999999996,17.520000000000003,9.860000000000001,S&P500,AES,17.0,27,11
82787,2018-11-30,2018,AAP,156.38,11.24,8.38,38.28,76.29,-11.36,20.054000000000002,65.05000000000001,27.04,-2.8599999999999994,S&P500,AAP,18.0,5,11
82980,2018-11-30,2018,PFE,31.31,8.19,12.2,30.76,32.05,-5.58,20.025000000000002,23.86,22.57,4.01,S&P500,PFE,19.0,39,11
82955,2018-11-30,2018,BBWI,22.34,4.33,27.98,1.62,-36.71,-22.47,19.801,-41.04,-2.71,23.65,S&P500,BBWI,20.0,190,11
82866,2018-11-30,2018,VZ,40.38,5.62,12.14,29.38,24.12,-6.77,19.688,18.5,23.759999999999998,6.5200000000000005,S&P500,VZ,21.0,36,11
82864,2018-11-30,2018,TRIP,56.97,22.86,17.95,22.86,85.04,-15.8,19.423000000000002,62.18000000000001,0.0,-4.91,S&P500,TRIP,22.0,84,11
82697,2018-11-30,2018,MCD,159.32,7.22,16.92,20.04,12.39,-5.8,19.138,5.170000000000001,12.82,9.700000000000003,S&P500,MCD,23.0,55,11
82888,2018-11-30,2018,ELV,262.09,5.26,9.88,31.8,24.99,-9.23,19.11,19.729999999999997,26.54,4.620000000000001,S&P500,ELV,24.0,44,11
82818,2018-11-30,2018,UA,22.33,12.61,17.71,18.02,87.18,-27.59,18.344,74.57000000000001,5.41,5.100000000000001,S&P500,UA,25.0,29,11
82999,2018-11-30,2018,KO,40.36,6.1,14.94,20.2,13.92,-6.05,17.927999999999997,7.82,14.1,8.84,S&P500,KO,26.0,96,11
83043,2018-11-30,2018,ULTA,297.79,8.48,14.53,20.61,34.32,-17.78,17.567,25.84,12.129999999999999,6.049999999999999,S&P500,ULTA,27.0,46,11
83100,2018-11-30,2018,WELL,57.63,10.87,9.81,28.81,13.59,-4.04,17.304000000000002,2.7200000000000006,17.939999999999998,-1.0599999999999987,S&P500,WELL,28.0,30,11
82786,2018-11-30,2018,TSCO,17.01,3.89,8.14,28.91,41.55,-12.29,16.873,37.66,25.02,4.25,S&P500,TSCO,29.0,3,11
82937,2018-11-30,2018,UAA,23.88,8.01,16.77,14.26,79.68,-26.01,16.642,71.67,6.25,8.76,S&P500,UAA,30.0,21,11
83025,2018-11-30,2018,AON,156.1,5.72,13.72,19.01,19.34,-11.96,16.636000000000003,13.620000000000001,13.290000000000003,8.0,S&P500,AON,31.0,61,11
83036,2018-11-30,2018,DOC,20.05,7.62,9.69,25.48,17.48,-4.55,16.213,9.86,17.86,2.0699999999999994,S&P500,DOC,32.0,42,11
83046,2018-11-30,2018,JNJ,120.04,5.6,9.76,24.41,8.29,-12.15,16.036,2.6899999999999995,18.810000000000002,4.16,S&P500,JNJ,33.0,72,11
82782,2018-11-30,2018,O,43.67,6.71,10.64,23.02,21.57,-1.29,15.985,14.86,16.31,3.9300000000000006,S&P500,O,34.0,37,11
82694,2018-11-30,2018,ABT,65.19,7.41,11.24,21.39,33.77,-2.32,15.683,26.360000000000003,13.98,3.83,S&P500,ABT,35.0,48,11
