Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),12-1개월(%),6-1개월(%),3-1개월(%),모멘텀스코어
25689,2006-07-31,2006,SCHW,11.83,-0.63,-11.13,7.74,16.69,2.9,17.42980778907115,8.423065311462196,-10.56656938713897,5.095434571131459
25690,2006-07-31,2006,ABT,14.7,10.27,12.51,12.23,5.22,1.95,-4.579668087421784,1.7774553369003465,2.0313775278860913,-0.2569450742117822
25691,2006-07-31,2006,AMAT,11.51,-3.19,-11.95,-16.91,-14.06,7.58,-11.228178907137698,-14.17208966015907,-9.048651998760448,-11.482973522019073
25692,2006-07-31,2006,AXP,38.63,-1.91,-2.98,-0.24,9.2,0.92,11.326332959526964,1.7025180956264707,-1.090834947497199,3.9793387025520786
25693,2006-07-31,2006,MCD,20.3,5.33,2.37,1.09,15.87,1.44,10.006645779929757,-4.025443843159593,-2.810215513149139,1.0569954745403416
25694,2006-07-31,2006,EIX,20.34,6.1,3.11,-4.3,3.79,5.46,-2.1771913289349576,-9.802073515551369,-2.8180961357210266,-4.932453660069117
25695,2006-07-31,2006,CF,2.23,13.67,-6.19,-4.49,0.0,-2.03,-12.026040292073548,-15.976071082959454,-17.471628397994188,-15.15791325767573
25696,2006-07-31,2006,SPG,34.65,3.12,5.45,5.22,11.35,0.05,7.980993017843296,2.03646237393329,2.259503491078374,4.09231962761832
25697,2006-07-31,2006,AAPL,2.04,18.67,-3.45,-10.0,59.34,-0.16,34.27150922726887,-24.159433723771805,-18.639925844779647,-2.8426167804275266
25698,2006-07-31,2006,INTC,10.65,-5.26,-9.45,-14.5,-32.6,9.34,-28.857926957990298,-9.753008233058901,-4.422630356765889,-14.344521849271695
25699,2006-07-31,2006,MUR,24.14,-7.88,2.78,-9.31,-2.11,-4.67,6.263569257490231,-1.552323056882321,11.571862787668262,5.427702996092058
25700,2006-07-31,2006,HST,10.72,-2.97,1.76,7.93,16.96,6.22,20.54003916314542,11.233639080696678,4.874780995568373,12.21615307980349
25701,2006-07-31,2006,DHR,13.05,1.37,1.73,15.19,17.74,1.67,16.148761961132486,13.63322481996645,0.35513465522345466,10.045707145440797
25702,2006-07-31,2006,COP,27.05,5.3,3.73,7.92,12.11,-7.59,6.467236467236481,2.488129154795815,-1.4909781576448067,2.4881291547958297
25703,2006-07-31,2006,AN,19.7,-8.12,-12.52,-11.62,-8.75,-1.37,-0.6856769699608245,-3.8093164997823226,-4.788855028297778,-3.0946161660136418
25704,2006-07-31,2006,DVA,25.01,0.64,-11.09,-8.64,5.88,16.67,5.206677265500792,-9.220985691573924,-11.655405405405405,-5.223237943826179
25705,2006-07-31,2006,BAX,15.66,14.25,11.41,13.98,8.55,5.67,-4.98905908096281,-0.23632385120351262,-2.4857768052516382,-2.57038657913932
