Unnamed: 0,기준일(월말),Year,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%),모멘텀스코어,12-1개월(%),6-1개월(%),3-1개월(%),시장,종목명,현재순위,전달순위,Month
24371,2006-03-31,2006,CBE,43.45,3.82,11041.03,25.69,21.5,5.24,7738.615,17.68,21.87,11037.210000000001,S&P500,CBE,1.0,0,3
24355,2006-03-31,2006,TIE,24.27,18.36,53.49,145.45,439.44,47.58,93.787,421.08,127.08999999999999,35.13,S&P500,TIE,2.0,0,3
24452,2006-03-31,2006,CIEN,36.47,29.6,75.42,97.35,202.91,-21.5,88.774,173.31,67.75,45.82,S&P500,CIEN,3.0,0,3
24384,2006-03-31,2006,ATI,50.72,21.34,69.87,98.41,156.15,13.34,86.13900000000001,134.81,77.07,48.53,S&P500,ATI,4.0,0,3
24467,2006-03-31,2006,AKAM,32.89,24.11,65.03,106.21,158.37,2.43,85.594,134.26,82.1,40.92,S&P500,AKAM,5.0,0,3
24543,2006-03-31,2006,NUE,29.55,22.37,57.82,80.24,87.0,3.85,70.333,64.63,57.86999999999999,35.45,S&P500,NUE,6.0,0,3
24585,2006-03-31,2006,EP,9.12,-17.39,72.73,35.71,171.43,-28.95,66.934,188.82,53.1,90.12,S&P500,EP,7.0,0,3
24567,2006-03-31,2006,NVDA,0.44,21.49,56.62,67.04,140.99,2.06,64.30099999999999,119.50000000000001,45.55000000000001,35.129999999999995,S&P500,NVDA,8.0,0,3
24388,2006-03-31,2006,FLS,14.34,13.5,47.47,60.5,125.51,-1.41,56.079,112.01,47.0,33.97,S&P500,FLS,9.0,0,3
24647,2006-03-31,2006,WYNN,41.13,15.65,40.11,70.21,13.45,-0.96,54.596,-2.200000000000001,54.559999999999995,24.46,S&P500,WYNN,10.0,0,3
24488,2006-03-31,2006,TLAB,15.9,8.24,45.87,51.14,117.81,-0.31,51.741,109.57000000000001,42.9,37.629999999999995,S&P500,TLAB,11.0,0,3
24515,2006-03-31,2006,CBRE,26.9,17.5,37.13,64.02,130.64,8.91,49.849000000000004,113.13999999999999,46.519999999999996,19.630000000000003,S&P500,CBRE,12.0,0,3
24652,2006-03-31,2006,CHRW,31.88,9.85,32.96,54.05,92.68,-9.66,43.707,82.83000000000001,44.199999999999996,23.11,S&P500,CHRW,13.0,0,3
24646,2006-03-31,2006,NTAP,26.45,8.65,33.44,51.77,30.26,2.89,43.251000000000005,21.61,43.120000000000005,24.79,S&P500,NTAP,14.0,0,3
24536,2006-03-31,2006,SLB,41.21,10.06,30.56,50.64,81.32,9.25,40.641999999999996,71.25999999999999,40.58,20.5,S&P500,SLB,15.0,0,3
24395,2006-03-31,2006,GLW,17.69,10.28,36.93,39.27,141.87,2.64,40.531000000000006,131.59,28.990000000000002,26.65,S&P500,GLW,16.0,0,3
24405,2006-03-31,2006,ADM,20.5,6.08,36.9,37.39,39.01,7.99,40.178,32.93,31.310000000000002,30.82,S&P500,ADM,17.0,0,3
24637,2006-03-31,2006,EXPD,34.13,11.06,27.97,52.47,62.13,-0.9,39.461,51.07,41.41,16.909999999999997,S&P500,EXPD,18.0,0,3
24551,2006-03-31,2006,SBUX,13.96,3.61,25.39,50.22,45.68,-0.96,37.5,42.07,46.61,21.78,S&P500,SBUX,19.0,0,3
24340,2006-03-31,2006,IVZ,9.44,-0.06,23.77,46.19,51.83,15.96,35.120999999999995,51.89,46.25,23.83,S&P500,IVZ,20.0,0,3
24370,2006-03-31,2006,NDAQ,10.69,-1.16,13.81,57.95,274.21,-6.54,32.963,275.37,59.11,14.97,S&P500,NDAQ,21.0,0,3
24446,2006-03-31,2006,JEF,18.53,9.97,25.71,39.17,74.62,1.83,32.668,64.65,29.200000000000003,15.74,S&P500,JEF,22.0,0,3
