기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-15,NYSE,Caterpillar Inc,CAT,0,770.17,2741105,8.7,17.2,33.4,149.0,24.5,27.0,7.82,22.72,129.07
2026-04-15,NYSE,ConocoPhillips,COP,0,118.92,6540072,-9.9,14.1,33.8,33.4,24.4,19.0,26.64,48.5,48.06
2026-04-15,NYSE,Howmet Aerospace Inc,HWM,0,254.04,1281388,10.2,22.1,23.4,83.3,23.8,72.0,10.8,11.98,66.33
2026-04-15,NYSE,SLB NV,SLB,0,52.42,12527604,2.0,8.4,45.4,57.7,23.8,18.0,6.27,42.55,54.61
2026-04-15,NASDAQ,GlobalFoundries Inc,GFS,0,48.31,2638849,8.6,14.5,35.7,37.8,23.6,41.0,5.43,24.95,26.89
2026-04-15,NASDAQ,Royalty Pharma PLC,RPRX,0,48.7,1825748,1.5,16.8,29.7,48.4,23.5,36.0,15.07,27.78,46.21
2026-04-15,NASDAQ,Diamondback Energy Inc,FANG,0,185.87,3237772,-6.0,13.4,29.8,40.8,21.9,28.0,20.64,38.09,49.79
2026-04-15,NYSE,Canadian Imperial Bank of Commerce,CM,0,107.29,701339,13.2,16.1,29.5,70.4,21.8,99.0,2.56,14.4,50.53
2026-04-15,NYSE,Agnico Eagle Mines Ltd,AEM,0,214.4,1817367,5.6,12.5,33.3,82.3,21.5,56.0,6.53,26.23,72.63
2026-04-15,NASDAQ,FTAI Aviation Ltd,FTAI,0,269.83,732776,10.1,-0.9,56.1,151.9,20.8,22.0,-9.99,41.78,128.79
2026-04-15,NYSE,Rio Tinto PLC ADR,RIO,0,98.56,1974285,5.6,8.3,37.4,65.9,20.2,43.0,2.56,30.11,57.1
2026-04-15,NYSE,Citigroup Inc,C,0,131.69,11766695,16.1,13.8,30.1,92.6,20.1,145.0,-1.98,12.06,65.89
2026-04-15,NYSE,Merck & Co Inc,MRK,0,117.9,7687332,-2.0,6.9,37.1,38.4,19.9,46.0,9.08,39.9,41.22
2026-04-15,NYSE,Shell PLC ADR,SHEL,0,89.84,5395208,-3.4,16.6,19.9,39.3,19.9,42.0,20.7,24.12,44.2
2026-04-15,NYSE,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,0,375.1,14653212,11.0,13.5,24.9,125.0,18.3,70.0,2.25,12.52,102.7
2026-04-15,NYSE,Johnson Controls International PLC,JCI,0,137.21,3196040,4.8,15.1,19.9,63.5,18.0,83.0,9.83,14.41,56.01
2026-04-15,NASDAQ,ASML Holding NV ADR,ASML,0,1481.77,4237180,12.2,4.1,39.9,121.8,17.6,35.0,-7.22,24.69,97.68
2026-04-15,NASDAQ,Netflix Inc,NFLX,0,107.71,35620387,12.0,29.0,-3.7,-4.8,17.6,193.0,15.18,-14.02,-15.0
2026-04-15,NASDAQ,Tradeweb Markets Inc,TW,0,120.71,1455612,2.6,17.1,14.5,-12.7,17.5,111.0,14.13,11.6,-14.91
2026-04-15,NYSE,Toronto-Dominion Bank,TD,0,103.99,3266960,11.4,11.2,26.6,63.0,17.4,125.0,-0.18,13.64,46.32
2026-04-15,NYSE,GSK plc ADR,GSK,0,57.81,3379311,4.7,12.0,23.4,45.1,17.3,63.0,6.97,17.86,38.59
2026-04-15,NYSE,Exxon Mobil Corp,XOM,0,149.01,12456494,-12.2,5.4,30.3,41.1,17.1,16.0,20.05,48.41,60.71
2026-04-15,NYSE,Enterprise Products Partners Units,EPD,0,37.1,4063964,-2.0,11.8,20.5,24.1,16.6,64.0,14.08,22.96,26.63
2026-04-15,NYSE,Cummins Inc,CMI,0,601.46,686100,11.8,3.9,37.4,104.7,16.5,81.0,-7.07,22.9,83.09
2026-04-15,NYSE,Deere & Co,DE,0,576.64,1218882,2.4,9.2,24.9,24.4,16.2,53.0,6.64,21.97,21.48
2026-04-15,NASDAQ,Vodafone Group PLC ADR,VOD,0,15.59,6705963,3.8,6.4,29.4,59.7,15.9,60.0,2.5,24.66,53.85
2026-04-15,NYSE,Newmont Corporation,NEM,0,113.04,9243578,4.4,0.6,39.6,114.6,15.8,68.0,-3.64,33.72,105.56
2026-04-15,NASDAQ,eBay Inc,EBAY,0,100.01,3536020,9.9,9.6,23.0,46.7,15.0,139.0,-0.27,11.92,33.48
2026-04-15,NASDAQ,Baker Hughes Co,BKR,0,60.07,7542593,-1.6,7.2,24.1,69.7,14.8,29.0,8.94,26.12,72.46
2026-04-15,NYSE,Bank of New York Mellon Corp,BK,0,131.96,4054269,11.2,10.0,22.3,64.1,14.8,134.0,-1.08,9.98,47.57
2026-04-15,NYSE,Southern Copper Corp,SCCO,0,189.3,1116522,10.0,0.3,38.6,119.0,14.6,30.0,-8.82,26.0,99.09
2026-04-15,NYSE,Welltower Inc,WELL,0,211.33,2215106,6.9,12.2,16.7,38.5,14.5,112.0,4.96,9.17,29.56
2026-04-15,NYSE,AstraZeneca PLC,AZN,0,201.21,1455068,2.0,8.4,22.1,40.1,14.5,71.0,6.27,19.71,37.35
2026-04-15,NASDAQ,CSX Corp,CSX,0,42.1,8687921,2.6,11.5,16.9,50.0,14.5,79.0,8.67,13.94,46.2
2026-04-15,NASDAQ,Steel Dynamics Inc,STLD,0,194.11,1048473,7.8,8.1,23.8,49.6,14.4,73.0,0.28,14.84,38.78
2026-04-15,NYSE,Johnson & Johnson,JNJ,0,238.67,6420271,-2.4,5.0,26.4,52.7,14.3,52.0,7.58,29.51,56.45
