단축코드,액면가
477340,100
457630,100
0044K0,100
208850,1000
469880,100
030350,500
368030,5000
008290,500
900120,1
073190,500
0115H0,100
473050,100
227100,500
478440,100
079950,500
379390,500
302920,500
351020,100
479880,100
140910,0
0099W0,100
223220,100
004105,500
065060,500
352770,100
188260,500
244460,500
489480,100
001755,5000
481890,100
489730,100
084695,1000
031860,500
0096B0,100
149010,500
477760,100
33637L,100
0097F0,100
0099X0,100
058450,500
478390,100
0037T0,100
0093G0,100
0054V0,100
492220,100
482520,100
0088D0,100
471050,100
054180,500
217320,500
079190,500
224760,500
004255,500
289170,500
0091W0,100
456190,500
065570,500
0041L0,100
00806K,500
145995,5000
38380K,1000
482690,100
001067,2500
477470,100
003075,5000
0132G0,100
0071M0,100
253610,500
487360,100
469900,100
060240,500
474660,100
496070,100
0105P0,100
474490,100
169670,500
0098T0,100
199150,500
489210,100
452670,100
486630,100
0096D0,100
0004Y0,100
493790,100
0130D0,100
00781K,500
455310,100
043100,500
466690,100
0041B0,100
114920,500
478110,100
03481K,500
006345,500
189350,500
238500,200
498390,100
472220,100
178600,500
000225,1000
488060,100
026910,500
012205,500
244880,500
145210,500
106080,1000
467930,100
447690,500
484130,100
469480,100
464440,100
462020,100
001065,2500
473950,100
487830,100
465320,100
468760,100
004835,500
487720,100
472230,100
0068Y0,100
185190,200
0041J0,100
224810,500
251280,500
103660,500
318660,500
004985,5000
475250,100
202960,500
066830,500
474930,100
212310,500
079970,500
000325,500
276040,500
26490K,200
215570,500
473000,100
234070,500
236340,500
199290,500
101390,500
475240,100
090355,500
276240,500
236030,500
092590,500
044180,500
000145,5000
267080,500
000545,5000
266350,500
311960,500
313760,500
36328K,500
009415,500
258050,100
327610,500
007575,2500
121060,500
008355,500
346010,500
116100,500
005965,5000
043090,500
002995,5000
299480,100
052770,500
014825,5000
140660,500
390110,500
217910,100
093510,500
005745,500
014285,1000
208890,1000
004545,1000
136660,500
266470,500
000227,1000
002785,500
245450,500
413300,500
296520,500
014915,500
001525,500
004415,100
011155,500
402420,500
002787,500
448780,500
332190,100
021045,2500
001527,500
149300,500
032685,200
279060,100
266170,500
