단축코드,액면가
114810,500
145990,5000
125490,100
001530,500
005945,5000
006910,500
042520,500
001200,5000
033160,500
092790,500
017810,500
215200,100
900290,1
105840,500
034950,5000
452260,500
340570,500
145720,500
357120,0
105630,500
004700,5000
016800,1000
031430,1000
192650,100
002710,1000
072710,5000
376270,500
091700,500
306200,5000
344820,1000
006340,500
078350,500
084010,1000
005610,5000
394280,100
015360,1000
228760,500
089890,500
008060,500
029460,500
069080,500
389260,100
417310,0
170900,5000
009290,1000
450950,100
220100,500
089590,1000
0001A0,500
078340,500
183190,500
084990,500
318060,500
080580,500
126720,200
308430,500
455900,500
000157,5000
230240,500
101730,500
441270,500
078020,5000
041830,500
494120,500
025860,1000
241770,500
317330,500
117730,500
104700,1000
026890,500
018250,1000
084850,500
089980,500
097520,500
110990,100
036170,1000
217730,500
234340,500
478340,100
001390,1000
060980,5000
006405,5000
034830,1000
091810,100
010690,500
078130,100
241520,500
003800,1000
065660,500
126560,500
036890,500
179900,500
298830,100
338840,500
035890,500
092870,500
035810,500
001940,1000
200670,500
194370,100
482630,500
352480,100
290550,500
002310,1000
079940,500
204620,500
015860,1000
114190,500
348950,0
073490,500
007690,5000
041920,500
144510,500
403550,100
330860,500
008350,500
092230,5000
053030,500
200880,500
009160,500
304360,500
046970,500
005720,500
314930,500
011760,5000
002810,500
053690,500
018000,500
394800,100
084690,1000
094360,500
365270,500
001230,5000
108860,500
049630,500
475400,500
474650,100
0015G0,500
043150,500
451760,500
086390,500
136480,500
017860,500
272450,1000
012030,500
389500,500
200130,500
462350,1000
419530,500
099430,500
094480,500
378340,500
093520,500
389020,500
046120,500
064820,500
011500,500
033270,500
051500,1000
286940,5000
448280,500
078520,500
001750,5000
096760,500
123890,500
042370,500
037270,500
005010,1000
003520,500
058970,500
064290,500
067390,500
215000,500
236200,500
416180,500
060720,500
000650,5000
003920,500
101360,500
128820,1000
900140,1
265520,500
322310,500
475560,500
088260,0
243070,500
045390,100
024720,500
151860,500
023410,500
472850,500
085910,500
017390,5000
243840,500
160980,500
052710,500
014940,500
001340,500
170920,500
003120,1000
115450,500
036200,500
099440,500
092200,500
023760,500
