기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NYSE,ConocoPhillips,COP,0,132.0,16.3,41.0,39.5,25.7,21.2,19.95,8.04,49.6,-0.27,
2026-03-31,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.46,-2.5,-4.7,40.6,155.9,-2.26,44.24,162.53,49.0,-0.18,
2026-03-31,NASDAQ,Ross Stores Inc,ROST,0,216.63,5.3,20.3,42.2,69.5,14.16,34.94,60.92,48.5,2.11,
2026-03-31,NYSE,Rio Tinto PLC ADR,RIO,0,93.29,-6.1,16.6,41.3,55.3,24.13,50.49,65.35,48.0,0.77,
2026-03-31,NASDAQ,United Therapeutics Corp,UTHR,0,592.98,17.7,21.7,41.5,92.4,3.42,20.2,63.46,47.7,-5.62,
2026-03-31,NYSE,BHP Group Ltd ADR,BHP,0,72.74,-10.8,20.5,30.5,49.9,35.12,46.31,68.05,47.0,0.07,
2026-03-31,NASDAQ,Royalty Pharma PLC,RPRX,0,47.97,3.8,24.1,36.0,54.1,19.59,30.98,48.44,46.2,-1.36,
2026-03-31,NYSE,America Movil SAB de CV ADR,AMX,0,25.48,-2.1,23.3,21.3,79.2,25.88,23.9,82.98,46.2,-0.75,
2026-03-31,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1093.35,-4.3,20.6,18.8,88.5,26.08,24.12,97.03,45.7,7.93,
2026-03-31,NASDAQ,Analog Devices Inc,ADI,0,318.14,-10.6,17.3,29.5,57.8,31.19,44.81,76.42,45.4,2.9,
2026-03-31,NYSE,Taiwan Semiconductor Manufacturing Co Ltd ADR,TSM,0,337.95,-9.8,11.2,21.0,103.6,23.26,34.12,125.65,45.1,1.13,
2026-03-31,NASDAQ,Old Dominion Freight Line Inc,ODFL,0,195.4,-3.8,24.6,38.8,18.1,29.5,44.23,22.73,44.6,3.47,
2026-03-31,NYSE,Chevron Corp,CVX,0,206.9,10.8,35.8,33.2,23.7,22.54,20.27,11.64,44.6,-3.89,
2026-03-31,NYSE,BP PLC ADR,BP,0,47.0,20.9,35.3,36.4,39.1,11.89,12.77,15.0,43.8,1.02,
2026-03-31,NYSE,Dell Technologies Inc,DELL,0,164.13,10.8,30.4,15.8,80.1,17.64,4.45,62.46,42.8,5.51,
