종목코드,종목명,시장구분,시가총액(억)
0120G0,삼양바이오팜,KOSPI,5852
016610,DB증권,KOSPI,5849
014830,유니드,KOSPI,5813
484590,삼양컴텍,KOSDAQ,5810
099190,아이센스,KOSDAQ,5783
020000,한섬,KOSPI,5777
041190,우리기술투자,KOSDAQ,5754
005389,현대차3우B,KOSPI,5748
047920,HLB제약,KOSDAQ,5743
025320,시노펙스,KOSDAQ,5732
122640,예스티,KOSDAQ,5689
119850,지엔씨에너지,KOSDAQ,5674
039440,에스티아이,KOSDAQ,5644
950210,프레스티지바이오파마,KOSPI,5606
036620,감성코퍼레이션,KOSDAQ,5602
105840,우진,KOSPI,5544
101730,위메이드맥스,KOSDAQ,5514
069540,빛과전자,KOSDAQ,5511
037460,삼지전자,KOSDAQ,5507
284740,쿠쿠홈시스,KOSPI,5485
002030,아세아,KOSPI,5466
424870,이뮨온시아,KOSDAQ,5465
018290,브이티,KOSDAQ,5461
101160,월덱스,KOSDAQ,5448
211050,인카금융서비스,KOSDAQ,5443
003300,한일홀딩스,KOSPI,5408
114810,한솔아이원스,KOSDAQ,5361
000070,삼양홀딩스,KOSPI,5356
251970,펌텍코리아,KOSDAQ,5350
460860,동국제강,KOSPI,5283
093320,케이아이엔엑스,KOSDAQ,5270
453340,현대그린푸드,KOSPI,5268
016590,신대양제지,KOSPI,5266
067630,HLB생명과학,KOSDAQ,5248
290550,디케이티,KOSDAQ,5240
005945,NH투자증권우,KOSPI,5208
168360,펨트론,KOSDAQ,5204
317330,덕산테코피아,KOSDAQ,5190
079370,제우스,KOSDAQ,5186
006405,삼성SDI우,KOSPI,5177
095660,네오위즈,KOSDAQ,5158
377740,바이오노트,KOSPI,5157
031430,신세계인터내셔날,KOSPI,5121
019210,와이지-원,KOSDAQ,5121
381970,케이카,KOSPI,5121
215600,신라젠,KOSDAQ,5055
030520,한글과컴퓨터,KOSDAQ GLOBAL,5053
078130,국일제지,KOSDAQ,5050
006340,대원전선,KOSPI,5049
029530,신도리코,KOSPI,5032
394280,오픈엣지테크놀로지,KOSDAQ,5024
008060,대덕,KOSPI,5002
090435,아모레퍼시픽우,KOSPI,4988
389650,넥스트바이오메디컬,KOSDAQ,4987
206650,유바이오로직스,KOSDAQ,4976
452260,한화갤러리아,KOSPI,4972
034310,NICE,KOSPI,4969
340570,티앤엘,KOSDAQ,4966
002710,TCC스틸,KOSPI,4964
230360,에코마케팅,KOSDAQ,4959
006220,제주은행,KOSPI,4947
004690,삼천리,KOSPI,4936
