순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,1125320000000000.0,2026-02-20,30.92,88.97,169.65,225.51,4.89
2,000660,SK하이닉스,690874000000000.0,2026-02-20,27.73,66.2,271.43,347.64,6.11
3,005380,현대차,104222000000000.0,2026-02-20,6.26,94.27,130.84,150.74,1.57
4,373220,LG에너지솔루션,93951000000000.0,2026-02-20,-0.37,-8.96,6.36,6.64,-6.48
5,207940,삼성바이오로직스,80361100000000.0,2026-02-20,-9.58,-3.39,15.76,2.66,-7.78
6,402340,SK스퀘어,76610500000000.0,2026-02-20,35.83,97.61,323.05,474.83,4.83
7,000270,기아,67073000000000.0,2026-02-20,4.82,51.5,63.46,81.8,-1.92
8,034020,두산에너빌리티,66298100000000.0,2026-02-20,8.6,33.2,80.31,261.26,5.89
9,012450,한화에어로스페이스,64041700000000.0,2026-02-20,-5.12,35.59,52.21,95.55,6.28
10,329180,HD현대중공업,63186700000000.0,2026-02-20,-6.08,3.26,33.63,97.05,-7.14
11,105560,KB금융,62937200000000.0,2026-02-20,26.82,39.27,54.16,104.11,-8.06
12,028260,삼성물산,56262200000000.0,2026-02-20,11.82,47.77,108.18,149.43,-10.12
13,068270,셀트리온,55913700000000.0,2026-02-20,16.91,29.55,40.7,39.27,-16.53
14,055550,신한지주,49520500000000.0,2026-02-20,24.54,32.99,52.47,115.64,-4.02
15,042660,한화오션,45931400000000.0,2026-02-20,1.9,19.92,42.49,105.62,-13.88
16,032830,삼성생명,43800000000000.0,2026-02-20,25.0,48.47,68.72,129.32,5.71
17,015760,한국전력,40443700000000.0,2026-02-20,-3.67,28.7,68.0,187.67,-21.98
18,006800,미래에셋증권,40206400000000.0,2026-02-20,130.95,218.66,298.54,700.28,-4.1
19,012330,현대모비스,40194500000000.0,2026-02-20,-1.77,49.66,46.93,73.39,-9.59
20,035420,NAVER,39919000000000.0,2026-02-20,4.3,-0.97,14.9,14.9,-12.97
21,086790,하나금융지주,36544200000000.0,2026-02-20,30.91,42.87,58.77,110.08,-13.79
22,267260,HD현대일렉트릭,36443700000000.0,2026-02-20,10.49,24.05,126.43,171.77,-5.14
23,010130,고려아연,34711700000000.0,2026-02-20,2.59,47.82,111.58,97.98,-4.57
24,006400,삼성SDI,32395400000000.0,2026-02-20,23.31,33.11,84.83,80.89,-0.37
25,009540,HD한국조선해양,31989400000000.0,2026-02-20,2.03,4.27,29.33,107.82,-10.51
26,005490,POSCO홀딩스,31887600000000.0,2026-02-20,10.21,22.55,31.77,46.74,-12.82
27,316140,우리금융지주,29950300000000.0,2026-02-20,43.66,56.62,64.52,135.43,-16.91
28,000810,삼성화재,28434900000000.0,2026-02-20,23.35,32.33,40.61,56.06,-23.22
29,009150,삼성전기,28159500000000.0,2026-02-20,33.69,72.54,140.89,161.99,23.21
30,034730,SK,27659800000000.0,2026-02-20,29.32,44.78,110.19,156.21,-5.64
31,010140,삼성중공업,25960000000000.0,2026-02-20,-4.38,11.53,55.84,117.07,-3.22
32,035720,카카오,25626900000000.0,2026-02-20,-1.86,-2.03,-11.33,45.66,-13.64
33,138040,메리츠금융지주,25617400000000.0,2026-02-20,36.76,32.79,22.86,18.86,-24.69
34,298040,효성중공업,24551500000000.0,2026-02-20,12.33,30.35,136.14,447.97,3.87
35,064350,현대로템,24011300000000.0,2026-02-20,0.69,15.79,28.88,152.87,-18.14
36,051910,LG화학,23789600000000.0,2026-02-20,-0.59,-13.26,18.87,36.71,-8.01
37,267250,HD현대,23066000000000.0,2026-02-20,12.52,36.77,127.24,281.7,-9.08
38,024110,기업은행,22766500000000.0,2026-02-20,37.59,41.34,48.16,83.37,-15.59
39,272210,한화시스템,22009100000000.0,2026-02-20,28.73,130.69,136.55,253.57,16.74
40,011200,HMM,21836000000000.0,2026-02-20,10.5,20.38,0.65,23.6,-8.21
41,096770,SK이노베이션,21571100000000.0,2026-02-20,17.06,9.15,22.57,-2.89,-10.74
42,033780,KT&G,20893700000000.0,2026-02-20,21.3,24.89,29.74,68.35,-11.07
43,010120,LS ELECTRIC,20730000000000.0,2026-02-20,31.62,36.56,166.28,137.05,28.22
44,003670,포스코퓨처엠,20724500000000.0,2026-02-20,13.66,16.5,51.79,68.1,-14.51
45,086280,현대글로비스,20250000000000.0,2026-02-20,4.05,65.54,56.52,107.06,-14.63
46,066570,LG전자,20132800000000.0,2026-02-20,17.71,41.58,61.15,49.82,-4.61
47,042700,한미반도체,19110100000000.0,2026-02-20,16.5,62.35,130.2,85.82,54.36
48,030200,KT,17364300000000.0,2026-02-20,24.82,39.76,23.7,44.6,-11.9
49,017670,SK텔레콤,17355000000000.0,2026-02-20,29.9,51.31,44.54,36.72,-2.48
50,047810,한국항공우주,17340800000000.0,2026-02-20,7.36,65.8,102.16,185.1,4.38
51,352820,하이브,17151200000000.0,2026-02-20,7.7,34.63,39.09,60.36,-13.68
52,000150,두산,16954900000000.0,2026-02-20,22.03,13.43,106.1,205.69,13.28
53,071050,한국금융지주,16299900000000.0,2026-02-20,59.84,84.66,130.68,259.34,-19.83
54,0126Z0,삼성에피스홀딩스,15253300000000.0,2026-02-20,-3.01,,,,-9.95
55,003550,LG,15190800000000.0,2026-02-20,10.43,22.21,34.56,39.91,-3.05
56,000720,현대건설,14286900000000.0,2026-02-20,19.24,108.28,118.2,259.89,27.83
57,005940,NH투자증권,13968700000000.0,2026-02-20,71.18,86.67,108.4,158.75,-9.18
