순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,272179000000000.0,2018-10-31,-8.72,-8.32,-20.0,-23.02,-1.3
2,000660,SK하이닉스,49649800000000.0,2018-10-31,-6.7,-20.97,-19.29,-17.03,2.05
3,068270,셀트리온,27273600000000.0,2018-10-31,-26.77,-19.89,-19.74,28.15,10.11
4,207940,삼성바이오로직스,25638900000000.0,2018-10-31,-27.43,3.89,-20.59,0.91,-13.68
5,051910,LG화학,24495500000000.0,2018-10-31,-5.06,-7.47,-3.61,-14.0,-0.43
6,005380,현대차,22755700000000.0,2018-10-31,-17.76,-17.76,-33.44,-33.85,0.47
7,005490,POSCO,22494200000000.0,2018-10-31,-12.39,-21.94,-30.74,-20.74,-4.07
8,017670,SK텔레콤,21639900000000.0,2018-10-31,-4.96,6.99,17.29,1.51,8.02
9,028260,삼성물산,20581400000000.0,2018-10-31,-16.22,-12.15,-22.5,-26.69,-5.53
10,055550,신한지주,20177200000000.0,2018-10-31,-5.44,-2.3,-10.7,-15.24,-3.17
11,105560,KB금융,19818500000000.0,2018-10-31,-12.55,-11.57,-22.55,-18.84,-0.42
12,096770,SK이노베이션,19741400000000.0,2018-10-31,-0.7,7.56,8.65,4.15,-7.96
13,035420,NAVER,18871100000000.0,2018-10-31,-20.16,-20.16,-20.16,-36.05,10.48
14,012330,현대모비스,18495300000000.0,2018-10-31,-16.67,-16.67,-23.39,-28.71,-5.0
15,032830,삼성생명,18400000000000.0,2018-10-31,-5.45,-4.47,-21.37,-31.85,-5.98
16,034730,SK,18399200000000.0,2018-10-31,-8.89,-0.76,-11.05,-9.67,7.65
17,015760,한국전력,17397200000000.0,2018-10-31,-7.67,-18.62,-27.64,-30.87,9.59
18,051900,LG생활건강,16305400000000.0,2018-10-31,-18.18,-13.72,-23.8,-11.3,11.11
19,006400,삼성SDI,16194000000000.0,2018-10-31,-8.9,2.84,28.34,14.32,-12.31
20,018260,삼성에스디에스,14895200000000.0,2018-10-31,-16.67,-8.11,-21.43,-7.0,1.82
21,010950,S-Oil,13960300000000.0,2018-10-31,-9.49,5.53,12.73,-3.5,-10.89
22,033780,KT&G,13935200000000.0,2018-10-31,-2.4,-8.14,3.78,-4.25,2.46
23,000810,삼성화재,13193900000000.0,2018-10-31,-1.94,2.01,4.11,2.01,-2.15
24,000270,기아차,11512300000000.0,2018-10-31,-19.09,-10.41,-14.2,-19.77,7.39
25,086790,하나금융지주,11499300000000.0,2018-10-31,-14.03,-14.7,-19.79,-20.13,-1.83
26,003550,LG,11440500000000.0,2018-10-31,-8.68,-12.07,-18.25,-22.91,8.9
27,000030,우리은행,10647000000000.0,2018-10-31,-6.8,-6.8,-1.87,-3.96,-0.63
28,066570,LG전자,10358900000000.0,2018-10-31,-10.85,-15.37,-37.94,-30.44,14.53
29,251270,넷마블,9548740000000.0,2018-10-31,-2.61,-22.49,-24.07,-35.63,16.52
30,036570,엔씨소프트,9422810000000.0,2018-10-31,-2.94,11.41,19.31,0.7,19.21
31,011170,롯데케미칼,8997300000000.0,2018-10-31,-5.58,-26.98,-36.59,-28.96,3.81
32,090430,아모레퍼시픽,8944150000000.0,2018-10-31,-41.38,-42.8,-56.16,-51.27,12.75
33,009150,삼성전기,8813860000000.0,2018-10-31,-15.11,-23.13,-0.42,13.46,2.12
34,009540,현대중공업,8611100000000.0,2018-10-31,-7.43,16.9,4.18,-16.67,6.02
35,024110,기업은행,8315690000000.0,2018-10-31,-2.62,-5.11,-11.87,-3.26,-0.34
36,035720,카카오,7638130000000.0,2018-10-31,-23.03,-18.58,-17.48,-36.39,22.82
