순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,202095000000000.0,2015-10-30,20.99,12.92,-2.7,16.17,-6.41
2,005380,현대차,34363100000000.0,2015-10-30,-4.88,4.0,-7.69,-9.3,-5.45
3,015760,한국전력,32997000000000.0,2015-10-30,4.9,5.76,9.71,11.74,-4.77
4,028260,삼성물산,29402000000000.0,2015-10-30,5.8,-6.06,-2.21,,-5.81
5,012330,현대모비스,23362500000000.0,2015-10-30,3.67,13.74,1.48,-4.95,3.96
6,000270,기아차,22619300000000.0,2015-10-30,4.1,27.25,12.5,5.68,-5.91
7,000660,SK하이닉스,22349700000000.0,2015-10-30,-8.49,-11.01,-33.48,-34.96,2.93
8,090430,아모레퍼시픽,22068100000000.0,2015-10-30,-1.95,-7.02,-2.83,60.87,6.89
9,032830,삼성생명,21800000000000.0,2015-10-30,10.21,3.32,3.81,-2.24,-5.5
10,055550,신한지주,20651400000000.0,2015-10-30,5.19,3.32,-1.47,-15.44,-4.82
11,051910,LG화학,20179500000000.0,2015-10-30,6.65,21.31,11.54,52.63,4.43
12,018260,삼성에스디에스,19847400000000.0,2015-10-30,-10.94,-11.25,0.2,,1.75
13,035420,NAVER,19777600000000.0,2015-10-30,16.96,15.83,-7.69,-20.0,5.17
14,017670,SK텔레콤,19459700000000.0,2015-10-30,-8.37,-1.63,-16.03,-10.08,-2.9
15,034730,SK,18786200000000.0,2015-10-30,9.43,-9.03,4.91,7.23,1.12
16,005490,POSCO,15868000000000.0,2015-10-30,8.01,-8.08,-27.78,-41.1,-7.14
17,033780,KT&G,15651300000000.0,2015-10-30,2.24,6.54,19.87,21.93,-6.14
18,000810,삼성화재,15136300000000.0,2015-10-30,14.11,12.9,13.1,8.86,-4.07
19,051900,LG생활건강,14790400000000.0,2015-10-30,10.89,11.15,20.18,50.32,6.44
20,105560,KB금융,13966600000000.0,2015-10-30,2.55,-1.36,-11.72,-15.93,-2.49
21,002790,아모레G,12846300000000.0,2015-10-30,-1.23,-15.26,-1.23,31.54,-4.66
22,003550,LG,11388800000000.0,2015-10-30,8.37,16.4,-1.05,1.69,11.51
23,096770,SK이노베이션,10957200000000.0,2015-10-30,20.92,17.91,0.42,36.05,7.59
24,035250,강원랜드,9049680000000.0,2015-10-30,0.0,2.17,15.42,22.08,-9.69
25,010130,고려아연,8944380000000.0,2015-10-30,1.83,-3.27,-0.73,15.33,-4.01
26,047810,한국항공우주,8772760000000.0,2015-10-30,32.55,-4.66,37.2,123.05,-6.78
27,011170,롯데케미칼,8243240000000.0,2015-10-30,-10.93,-8.38,-4.18,64.73,0.0
28,086790,하나금융지주,8228890000000.0,2015-10-30,5.3,-3.81,-12.3,-25.37,-8.27
29,066570,LG전자,8035110000000.0,2015-10-30,7.56,20.2,-18.71,-26.05,10.39
30,024110,기업은행,7789630000000.0,2015-10-30,2.94,4.87,-5.41,-12.23,-5.0
31,034220,LG디스플레이,7728820000000.0,2015-10-30,-4.63,-4.84,-27.64,-31.21,17.59
32,030200,KT,7715850000000.0,2015-10-30,-3.75,-2.15,-7.22,-7.8,1.35
33,010950,S-Oil,7689400000000.0,2015-10-30,9.11,11.97,-6.95,66.79,8.64
34,008930,한미사이언스,7519900000000.0,2015-10-30,-5.39,-5.05,205.83,821.91,13.31
35,088350,한화생명,7373820000000.0,2015-10-30,4.04,4.56,7.06,3.92,-10.01
36,086280,현대글로비스,7368750000000.0,2015-10-30,-12.28,3.69,-16.74,-29.95,-2.8
37,006400,삼성SDI,7323420000000.0,2015-10-30,-1.84,12.58,-11.25,-11.98,12.68
38,023530,롯데쇼핑,7305890000000.0,2015-10-30,-18.74,-10.08,-10.42,-22.41,1.29
39,009540,현대중공업,7235200000000.0,2015-10-30,-1.35,-3.84,-32.0,-4.8,-4.83
40,001040,CJ,6990780000000.0,2015-10-30,-9.09,-17.95,25.65,33.71,5.42
41,004020,현대제철,6952530000000.0,2015-10-30,1.17,-10.63,-33.8,-24.71,-2.5
42,000030,우리은행,6705920000000.0,2015-10-30,5.64,3.98,-7.72,,-4.33
43,021240,코웨이,6571030000000.0,2015-10-30,1.79,-14.8,-5.65,3.9,-0.82
44,139480,이마트,5923610000000.0,2015-10-30,-7.81,-10.9,-4.06,4.68,0.71
45,001800,오리온,5736920000000.0,2015-10-30,1.91,-11.77,-23.38,15.11,18.85
46,009240,한샘,5495170000000.0,2015-10-30,-18.21,-24.43,17.63,72.96,1.28
47,161390,한국타이어,5419530000000.0,2015-10-30,10.48,7.76,-2.99,-20.74,5.49
48,128940,한미약품,5289380000000.0,2015-10-30,39.17,31.22,36.95,501.89,53.58
49,009150,삼성전기,4870030000000.0,2015-10-30,1.4,17.9,-3.41,38.72,6.13
50,005830,동부화재,4842720000000.0,2015-10-30,11.58,27.37,25.05,13.25,-9.21
51,018880,한온시스템,4793520000000.0,2015-10-30,14.41,22.52,11.15,-8.37,1.67
52,032640,LG유플러스,4780890000000.0,2015-10-30,-9.5,0.92,1.86,-0.9,-2.74
53,051600,한전KPS,4680000000000.0,2015-10-30,-14.05,-12.61,6.89,18.86,-2.88
54,078930,GS,4664350000000.0,2015-10-30,10.21,11.06,0.0,19.52,0.6
55,097950,CJ제일제당,4605370000000.0,2015-10-30,-8.02,-14.43,-16.37,-13.26,3.0
56,029780,삼성카드,4472150000000.0,2015-10-30,6.48,3.9,-6.08,-16.36,-18.52
57,000120,CJ대한통운,4448410000000.0,2015-10-30,-2.26,14.37,-4.65,-3.94,-1.28
