순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,245626000000000.0,2016-11-30,8.18,6.14,36.41,35.98,3.21
2,000660,SK하이닉스,31231300000000.0,2016-11-30,1.06,18.18,47.93,35.76,4.2
3,015760,한국전력,29851300000000.0,2016-11-30,-6.16,-19.27,-26.19,-5.01,-5.27
4,005380,현대차,29296800000000.0,2016-11-30,-5.34,0.38,-2.56,-9.83,9.77
5,035420,NAVER,26304200000000.0,2016-11-30,-7.21,-2.8,12.39,26.47,-2.88
6,028260,삼성물산,24280300000000.0,2016-11-30,-22.42,-16.07,6.22,-12.33,-1.95
7,012330,현대모비스,24238600000000.0,2016-11-30,-5.86,-4.23,-2.16,-0.2,6.02
8,032830,삼성생명,22800000000000.0,2016-11-30,3.64,8.57,10.68,10.68,-1.32
9,005490,POSCO,21753100000000.0,2016-11-30,5.94,8.71,19.95,47.63,3.21
10,055550,신한지주,20912200000000.0,2016-11-30,1.15,8.22,11.93,6.39,2.61
11,090430,아모레퍼시픽,19174400000000.0,2016-11-30,-8.89,-15.46,-21.53,-18.71,-1.98
12,017670,SK텔레콤,18248500000000.0,2016-11-30,0.67,2.49,2.73,-3.42,-0.88
13,105560,KB금융,17602500000000.0,2016-11-30,0.36,8.65,26.24,19.43,1.66
14,034730,SK,16288400000000.0,2016-11-30,4.04,9.46,0.0,-14.26,-0.86
15,000270,기아차,15160600000000.0,2016-11-30,-9.11,-10.42,-18.25,-28.76,4.95
16,051910,LG화학,15010400000000.0,2016-11-30,-6.21,-14.2,-17.03,-28.77,15.23
17,033780,KT&G,14415700000000.0,2016-11-30,-7.08,-10.64,-17.0,-1.87,-3.81
18,096770,SK이노베이션,14101000000000.0,2016-11-30,-1.93,7.39,-7.3,19.61,-3.93
19,000810,삼성화재,13880800000000.0,2016-11-30,-0.17,8.92,6.93,-4.4,-8.36
20,051900,LG생활건강,12291500000000.0,2016-11-30,-8.28,-16.63,-23.52,-21.92,8.89
21,011170,롯데케미칼,11019500000000.0,2016-11-30,7.53,18.85,13.6,33.68,14.77
22,009540,현대중공업,10792000000000.0,2016-11-30,-2.41,8.81,35.24,56.73,2.46
23,018260,삼성에스디에스,10446000000000.0,2016-11-30,-15.09,-16.41,-26.43,-48.28,3.33
24,002790,아모레G,10293000000000.0,2016-11-30,-15.13,-12.25,-22.52,-15.96,3.1
25,207940,삼성바이오로직스,10189400000000.0,2016-11-30,,,,,-1.95
26,034220,LG디스플레이,10018800000000.0,2016-11-30,-1.06,-10.26,8.95,10.24,12.32
27,003550,LG,9749480000000.0,2016-11-30,-7.68,-13.48,-13.34,-23.23,6.19
28,086790,하나금융지주,9516500000000.0,2016-11-30,-0.16,9.54,28.6,26.08,-2.8
29,010950,S-Oil,9456950000000.0,2016-11-30,5.0,19.32,-3.89,13.21,0.83
30,010130,고려아연,8906640000000.0,2016-11-30,4.54,-4.55,-0.21,3.74,0.64
31,000030,우리은행,8112000000000.0,2016-11-30,-3.61,12.68,20.0,26.45,6.25
32,030200,KT,7794190000000.0,2016-11-30,-7.44,-6.57,-8.29,-0.33,-1.51
33,035250,강원랜드,7626980000000.0,2016-11-30,-7.4,-11.32,-15.02,-6.68,0.28
34,066570,LG전자,7347790000000.0,2016-11-30,-5.67,-13.98,-19.39,-17.16,14.92
35,024110,기업은행,7307720000000.0,2016-11-30,-0.38,12.02,16.52,-1.88,-2.68
36,023530,롯데쇼핑,6833520000000.0,2016-11-30,-6.67,6.9,-2.91,-7.66,2.07
37,161390,한국타이어,6714030000000.0,2016-11-30,-3.73,0.0,7.54,17.44,7.01
38,004020,현대제철,6658940000000.0,2016-11-30,-0.1,-2.16,1.94,-1.77,14.23
39,047810,한국항공우주,6462600000000.0,2016-11-30,-2.36,-22.18,0.0,-20.98,1.06
40,021240,코웨이,6454150000000.0,2016-11-30,-8.45,2.92,-15.92,0.0,4.5
41,006400,삼성SDI,6346970000000.0,2016-11-30,-0.75,-20.43,-13.74,-23.08,18.09
42,036570,엔씨소프트,5964690000000.0,2016-11-30,2.06,2.45,13.81,22.25,-9.01
43,086280,현대글로비스,5962500000000.0,2016-11-30,-11.17,-9.91,-11.91,-16.75,-2.83
44,088350,한화생명,5784410000000.0,2016-11-30,6.56,15.62,4.23,-12.83,-1.95
45,139480,이마트,5240650000000.0,2016-11-30,14.29,20.13,3.3,-12.15,-2.66
46,018880,한온시스템,5209890000000.0,2016-11-30,-11.67,-15.86,-19.34,6.91,5.53
47,005830,동부화재,5168400000000.0,2016-11-30,3.11,8.31,-0.27,17.55,-14.38
48,001040,CJ,5120040000000.0,2016-11-30,-3.31,-8.11,-19.5,-30.63,6.55
49,078930,GS,5054600000000.0,2016-11-30,4.82,10.01,3.23,7.72,-0.55
50,097950,CJ제일제당,5054170000000.0,2016-11-30,7.41,0.13,-0.65,6.52,-6.9
51,032640,LG유플러스,4999200000000.0,2016-11-30,-2.97,0.44,-2.55,7.51,0.0
52,004800,효성,4881330000000.0,2016-11-30,4.51,6.11,17.8,20.35,4.68
53,009240,한샘,4859760000000.0,2016-11-30,14.09,37.67,21.11,-12.68,-3.63
54,029780,삼성카드,4842900000000.0,2016-11-30,-14.78,-4.57,10.14,32.91,-5.02
