순위,종목코드,종목명,시가총액,기준일(월말),1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
1,005930,삼성전자,280580000000000.0,2019-06-28,10.46,4.79,21.45,0.43,0.32
2,000660,SK하이닉스,50596200000000.0,2019-06-28,5.46,-3.87,14.88,-16.77,14.82
3,005380,현대차,29913500000000.0,2019-06-28,2.56,17.15,18.14,12.0,-6.79
4,068270,셀트리온,26371600000000.0,2019-06-28,10.49,13.85,-7.64,-29.81,-9.98
5,051910,LG화학,25025000000000.0,2019-06-28,8.74,-1.8,2.16,6.14,-6.06
6,012330,현대모비스,22444700000000.0,2019-06-28,8.53,12.68,23.95,10.05,4.25
7,005490,POSCO,21317200000000.0,2019-06-28,4.26,-3.93,0.62,-24.07,-4.91
8,055550,신한지주,21291600000000.0,2019-06-28,-6.46,6.78,13.38,4.42,-2.78
9,207940,삼성바이오로직스,21172800000000.0,2019-06-28,8.84,0.0,-17.21,-21.76,-13.91
10,017670,SK텔레콤,20913100000000.0,2019-06-28,2.17,2.98,-3.9,11.88,-5.21
11,051900,LG생활건강,20506700000000.0,2019-06-28,4.29,-5.95,19.26,-7.79,-6.78
12,105560,KB금융,19170400000000.0,2019-06-28,0.11,12.52,-1.4,-12.5,-4.47
13,035420,NAVER,18788700000000.0,2019-06-28,5.07,-6.56,-6.56,-23.8,23.68
14,028260,삼성물산,18153300000000.0,2019-06-28,2.24,-10.14,-9.29,-17.85,-1.25
15,000270,기아차,17836000000000.0,2019-06-28,7.58,27.72,30.56,43.32,-0.91
16,032830,삼성생명,16720000000000.0,2019-06-28,2.83,-0.12,2.45,-14.69,-6.94
17,018260,삼성에스디에스,16636200000000.0,2019-06-28,5.39,-8.9,5.39,5.91,0.23
18,015760,한국전력,16402200000000.0,2019-06-28,1.79,-16.64,-22.81,-20.65,8.02
19,034730,SK,16323600000000.0,2019-06-28,-2.93,-12.45,-10.77,-9.55,-3.23
20,006400,삼성SDI,16262800000000.0,2019-06-28,13.43,11.82,7.99,7.5,-1.9
21,096770,SK이노베이션,14702000000000.0,2019-06-28,-1.24,-14.75,-11.42,-21.09,8.8
22,033780,KT&G,13523300000000.0,2019-06-28,-0.91,-7.08,-2.96,-6.19,-1.73
23,003550,LG,13269600000000.0,2019-06-28,6.51,-0.77,10.01,8.62,-3.64
24,066570,LG전자,12977300000000.0,2019-06-28,2.32,9.83,27.29,-1.98,-13.49
25,000810,삼성화재,12696500000000.0,2019-06-28,-2.72,-12.99,-0.37,0.56,-1.87
26,086790,하나금융지주,11229100000000.0,2019-06-28,0.27,4.18,3.17,-12.1,-5.48
27,035720,카카오,10972700000000.0,2019-06-28,6.91,28.29,27.67,17.94,-0.38
28,036570,엔씨소프트,10468500000000.0,2019-06-28,0.53,-4.22,2.25,32.5,3.14
29,251270,넷마블,9683360000000.0,2019-06-28,0.44,-9.24,1.35,-26.62,-18.94
30,090430,아모레퍼시픽,9616420000000.0,2019-06-28,-9.37,-11.32,-21.48,-48.59,-5.78
31,316140,우리금융지주,9556310000000.0,2019-06-28,-0.71,3.69,,,-3.91
32,010950,S-Oil,9423180000000.0,2019-06-28,2.95,-7.51,-14.33,-25.6,11.11
33,010130,고려아연,8982120000000.0,2019-06-28,9.3,3.7,10.06,27.27,-7.67
34,011170,롯데케미칼,8654540000000.0,2019-06-28,-2.13,-10.3,-8.84,-25.19,-6.73
35,009540,한국조선해양,8386610000000.0,2019-06-28,3.95,2.16,-7.78,16.18,-12.66
36,024110,기업은행,8077970000000.0,2019-06-28,2.18,0.72,0.0,-7.87,-3.56
37,030200,KT,7402520000000.0,2019-06-28,1.07,1.98,-4.87,2.35,-2.82
38,009150,삼성전기,7305040000000.0,2019-06-28,0.93,-4.59,-5.51,-34.58,-6.65
39,035250,강원랜드,6471700000000.0,2019-06-28,-3.2,-3.97,-5.47,16.57,1.16
40,034220,LG디스플레이,6387010000000.0,2019-06-28,5.62,-7.76,-1.11,2.0,-11.2
41,032640,LG유플러스,6330860000000.0,2019-06-28,5.07,-7.35,-17.85,4.32,-11.03
42,018880,한온시스템,6218770000000.0,2019-06-28,-1.69,4.02,7.87,9.39,1.72
43,086280,현대글로비스,6037500000000.0,2019-06-28,1.9,29.84,24.81,38.2,-4.04
44,000720,현대건설,5968670000000.0,2019-06-28,5.72,6.35,-1.83,-2.01,-19.12
45,021240,웅진코웨이,5712090000000.0,2019-06-28,-2.64,-18.1,4.45,-10.73,9.3
46,004020,현대제철,5578030000000.0,2019-06-28,1.58,-6.8,-7.62,-19.31,-5.5
47,006800,미래에셋대우,5385030000000.0,2019-06-28,8.92,14.88,25.27,-3.88,-3.43
48,267250,현대중공업지주,5276860000000.0,2019-06-28,3.02,-2.41,-6.36,-4.99,-0.31
49,010140,삼성중공업,5140800000000.0,2019-06-28,7.36,0.98,10.11,12.08,-13.11
50,002790,아모레G,5137140000000.0,2019-06-28,-4.45,-9.05,-14.31,-50.36,-6.26
51,078930,GS,4757270000000.0,2019-06-28,2.5,-2.66,-0.78,-5.36,-0.2
52,128940,한미약품,4691320000000.0,2019-06-28,0.25,-10.32,-12.93,-2.55,-27.72
53,081660,휠라코리아,4687530000000.0,2019-06-28,-4.96,2.95,43.36,125.26,-13.17
54,004990,롯데지주,4616010000000.0,2019-06-28,3.53,-10.2,-16.51,-23.88,-17.27
55,023530,롯데쇼핑,4540350000000.0,2019-06-28,0.31,-9.83,-23.93,-24.82,-10.59
56,071050,한국금융지주,4497090000000.0,2019-06-28,13.34,32.95,35.63,-3.12,-3.1
57,097950,CJ제일제당,4471090000000.0,2019-06-28,4.39,-7.76,-10.14,-15.26,-4.71
58,029780,삼성카드,4425810000000.0,2019-06-28,4.09,12.52,10.56,0.79,-5.76
59,008930,한미사이언스,4415460000000.0,2019-06-28,-1.3,-9.67,-13.67,8.18,-31.01
60,161390,한국타이어앤테크놀로지,4348010000000.0,2019-06-28,-3.97,-7.75,-12.58,-17.99,-10.11
61,005830,DB손해보험,4198440000000.0,2019-06-28,-4.82,-15.04,-15.77,0.17,-7.42
62,088980,맥쿼리인프라,4118720000000.0,2019-06-28,-2.88,10.29,27.02,33.03,-0.43
63,005940,NH투자증권,4080430000000.0,2019-06-28,8.61,12.84,11.11,-1.36,-5.17
64,000210,대림산업,4002000000000.0,2019-06-28,11.65,23.52,12.2,51.12,-7.83
65,139480,이마트,3902610000000.0,2019-06-28,-4.44,-17.89,-23.29,-45.31,-9.64
66,036460,한국가스공사,3895610000000.0,2019-06-28,4.98,-6.12,-12.45,-32.7,0.59
67,008770,호텔신라,3807070000000.0,2019-06-28,4.98,3.41,26.8,-18.49,-14.12
68,012750,에스원,3708720000000.0,2019-06-28,1.24,-1.61,-2.89,-0.81,1.43
69,009830,한화케미칼,3665580000000.0,2019-06-28,7.84,8.61,12.38,3.89,-14.98
70,271560,오리온,3657090000000.0,2019-06-28,4.05,-4.05,-22.92,-38.13,-10.7
71,241560,두산밥캣,3649070000000.0,2019-06-28,8.66,17.8,15.56,17.42,-2.06
72,282330,BGF리테일,3646900000000.0,2019-06-28,5.24,-2.99,3.43,7.11,-4.5
73,042660,대우조선해양,3505630000000.0,2019-06-28,12.57,20.44,-4.25,23.4,-11.78
74,047810,한국항공우주,3504230000000.0,2019-06-28,10.45,3.3,12.7,-15.21,-0.14
75,016360,삼성증권,3491630000000.0,2019-06-28,12.68,20.87,24.13,12.2,-2.81
76,030000,제일기획,3382210000000.0,2019-06-28,9.91,21.99,30.67,42.03,-4.59
77,028050,삼성엔지니어링,3361400000000.0,2019-06-28,2.69,7.19,-2.56,9.24,-9.91
78,008560,메리츠종금증권,3280310000000.0,2019-06-28,14.29,12.84,25.23,50.14,-2.99
79,003670,포스코케미칼,3268970000000.0,2019-06-28,1.32,-9.0,-15.86,25.53,-5.97
80,006360,GS건설,3223550000000.0,2019-06-28,-0.12,-1.47,-7.77,-10.83,-17.72
81,003410,쌍용양회,3174320000000.0,2019-06-28,7.51,-1.4,0.16,16.67,-11.59
82,000100,유한양행,3124000000000.0,2019-06-28,-2.01,2.73,19.56,18.29,-8.59
83,000120,CJ대한통운,3068260000000.0,2019-06-28,-11.51,-16.72,-19.46,-17.48,1.12
84,007070,GS리테일,3026100000000.0,2019-06-28,11.33,-0.51,-2.96,-9.97,-2.54
85,011780,금호석유,2967550000000.0,2019-06-28,4.96,5.64,11.57,-16.75,-14.58
86,004170,신세계,2963400000000.0,2019-06-28,3.44,-9.06,17.58,-24.94,-10.3
87,001040,CJ,2946880000000.0,2019-06-28,0.0,-16.87,-16.87,-21.53,-4.75
88,002380,KCC,2908320000000.0,2019-06-28,7.2,-10.41,-10.84,-16.01,-8.71
89,088350,한화생명,2844440000000.0,2019-06-28,0.0,-17.19,-22.39,-38.56,-20.92
90,003490,대한항공,2745750000000.0,2019-06-28,-9.39,-7.95,-12.4,7.03,-7.26
91,079440,오렌지라이프,2595300000000.0,2019-06-28,-3.21,-10.34,13.04,-21.17,-10.43
92,011070,LG이노텍,2579710000000.0,2019-06-28,10.44,-3.11,26.16,-22.42,6.88
93,001450,현대해상,2543430000000.0,2019-06-28,-8.81,-26.77,-30.69,-16.32,-3.87
94,028670,팬오션,2480400000000.0,2019-06-28,7.91,14.43,4.39,-2.93,1.83
95,007310,오뚜기,2469590000000.0,2019-06-28,-2.97,-9.99,-5.39,-17.57,-3.94
96,017800,현대엘리베이,2466980000000.0,2019-06-28,12.95,12.11,-15.23,6.21,-9.92
97,138930,BNK금융지주,2441250000000.0,2019-06-28,6.7,12.8,2.18,-18.23,-2.4
98,000060,메리츠화재,2353180000000.0,2019-06-28,-3.94,-14.46,-5.26,7.25,-3.86
99,047050,포스코인터내셔널,2263930000000.0,2019-06-28,6.69,4.26,0.82,-13.03,2.72
100,010060,OCI,2225150000000.0,2019-06-28,4.95,0.98,-12.8,-13.21,-13.93
101,138040,메리츠금융지주,2054290000000.0,2019-06-28,-2.98,5.02,26.84,10.15,-5.46
102,047040,대우건설,2053180000000.0,2019-06-28,0.41,-1.98,-8.35,-13.64,-16.19
103,000880,한화,2001400000000.0,2019-06-28,3.49,-11.59,-14.83,-15.24,-10.3
104,010620,현대미포조선,1973140000000.0,2019-06-28,1.75,-12.87,-17.67,14.71,-15.99
105,069960,현대백화점,1935380000000.0,2019-06-28,-2.82,-16.3,-8.52,-25.5,-8.34
106,026960,동서,1919230000000.0,2019-06-28,-5.87,-3.51,7.54,-26.67,-5.71
107,294870,HDC현대산업개발,1911310000000.0,2019-06-28,5.33,-12.48,-9.75,-13.17,-15.86
108,012510,더존비즈온,1845640000000.0,2019-06-28,-4.31,36.7,19.85,3.84,5.79
109,000150,두산,1832930000000.0,2019-06-28,5.9,10.08,-9.87,-3.83,2.49
110,039490,키움증권,1803340000000.0,2019-06-28,1.62,1.75,4.35,-21.54,-7.6
111,064350,현대로템,1789250000000.0,2019-06-28,3.69,-3.88,-24.42,-22.89,-17.34
112,180640,한진칼,1775110000000.0,2019-06-28,-30.48,19.05,0.67,78.57,-7.83
113,069620,대웅제약,1737990000000.0,2019-06-28,-3.85,-18.03,-20.42,-23.47,6.67
114,009240,한샘,1725040000000.0,2019-06-28,-19.72,-19.72,8.75,-31.5,-7.5
115,020150,일진머티리얼즈,1722240000000.0,2019-06-28,13.35,1.08,-8.9,-12.53,1.61
116,012450,한화에어로스페이스,1714370000000.0,2019-06-28,7.6,-2.06,2.31,41.79,-1.65
117,111770,영원무역,1652820000000.0,2019-06-28,-6.98,17.11,-2.74,12.35,-7.51
118,000240,한국테크놀로지그룹,1595300000000.0,2019-06-28,1.48,10.65,3.31,-3.65,-7.58
119,004370,농심,1544990000000.0,2019-06-28,2.63,-18.85,-0.2,-23.95,-6.5
120,004800,효성,1529760000000.0,2019-06-28,-7.52,-4.85,45.2,-8.45,9.78
121,006260,LS,1529500000000.0,2019-06-28,0.85,-7.59,-3.26,-36.33,-4.42
122,031430,신세계인터내셔날,1520820000000.0,2019-06-28,-24.06,-29.35,9.51,9.51,-14.79
123,010120,LS산전,1515000000000.0,2019-06-28,5.1,6.43,3.06,-28.47,-9.6
124,181710,NHN,1512380000000.0,2019-06-28,5.89,-9.16,34.9,19.11,-17.72
125,011790,SKC,1486370000000.0,2019-06-28,25.12,10.15,10.61,-9.69,5.18
126,003240,태광산업,1469690000000.0,2019-06-28,-9.71,-17.45,0.0,-5.92,-3.56
127,000080,하이트진로,1427220000000.0,2019-06-28,-0.73,9.41,22.59,-0.25,5.16
128,214320,이노션,1426000000000.0,2019-06-28,-0.42,1.13,12.64,17.66,-5.75
129,006280,녹십자,1419910000000.0,2019-06-28,-2.02,-13.83,-10.66,-42.82,-11.93
130,051600,한전KPS,1406250000000.0,2019-06-28,0.0,-10.33,-5.87,-13.43,-0.16
131,204320,만도,1385240000000.0,2019-06-28,-1.67,2.61,1.9,-21.54,18.47
132,139130,DGB금융지주,1378540000000.0,2019-06-28,0.25,-1.69,-1.93,-18.5,-4.66
133,007700,F&F,1376760000000.0,2019-06-28,8.23,16.86,123.22,7.58,-18.12
134,005300,롯데칠성,1370880000000.0,2019-06-28,-6.54,-4.41,22.22,11.03,-10.79
135,004000,롯데정밀화학,1362240000000.0,2019-06-28,4.14,21.1,28.62,-19.14,-4.17
136,161890,한국콜마,1349740000000.0,2019-06-28,-5.33,-22.06,-14.33,-28.1,-6.79
137,000670,영풍,1326270000000.0,2019-06-28,-0.41,-10.45,-3.35,-10.22,-2.08
138,011210,현대위아,1323040000000.0,2019-06-28,14.47,21.32,34.21,18.66,-1.44
139,009420,한올바이오파마,1300790000000.0,2019-06-28,-12.78,-25.34,-31.22,-5.68,5.42
140,042670,두산인프라코어,1294760000000.0,2019-06-28,-4.31,-10.11,-18.04,-35.14,1.46
141,307950,현대오토에버,1283100000000.0,2019-06-28,0.16,-31.12,,,-11.78
142,005440,현대그린푸드,1279930000000.0,2019-06-28,8.72,-8.07,-8.39,-8.39,-4.2
143,057050,현대홈쇼핑,1272000000000.0,2019-06-28,12.65,-0.93,7.07,-4.5,-10.19
144,114090,GKL,1268040000000.0,2019-06-28,0.74,-7.66,-17.67,-21.0,-10.49
145,001740,SK네트웍스,1255830000000.0,2019-06-28,2.95,-16.09,-2.69,13.58,0.4
146,034020,두산중공업,1253310000000.0,2019-06-28,-0.65,-6.34,-26.17,-53.19,3.22
147,020560,아시아나항공,1214580000000.0,2019-06-28,-7.89,55.96,32.77,35.89,12.21
148,010780,아이에스동서,1194000000000.0,2019-06-28,15.03,27.77,26.1,42.88,-10.22
149,175330,JB금융지주,1164170000000.0,2019-06-28,11.3,6.49,3.68,7.07,-5.08
150,011200,현대상선,1162650000000.0,2019-06-28,9.94,4.66,0.27,-23.29,-7.15
151,120110,코오롱인더,1152000000000.0,2019-06-28,2.4,-14.94,-25.48,-35.89,-3.98
152,005850,에스엘,1142420000000.0,2019-06-28,-2.87,7.73,18.8,31.3,-2.74
153,073240,금호타이어,1140420000000.0,2019-06-28,-2.1,-9.88,-25.24,-38.26,13.6
154,009410,태영건설,1138360000000.0,2019-06-28,2.76,22.13,31.28,10.79,-10.4
155,284740,쿠쿠홈시스,1137570000000.0,2019-06-28,-4.16,31.35,42.82,13.68,-13.41
156,192080,더블유게임즈,1130330000000.0,2019-06-28,-8.84,2.15,3.51,14.0,-6.62
157,003000,부광약품,1111800000000.0,2019-06-28,3.86,-12.06,-29.44,-5.3,-6.29
158,280360,롯데제과,1106880000000.0,2019-06-28,5.5,-9.45,14.24,-3.9,-10.14
159,014820,동원시스템즈,1102880000000.0,2019-06-28,13.59,22.82,57.4,28.7,-10.34
160,192820,코스맥스,1095400000000.0,2019-06-28,-3.96,-26.6,-16.15,-32.92,-5.51
161,049770,동원F&B,1084410000000.0,2019-06-28,8.28,13.31,-2.26,-6.18,-0.18
