기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSPI,JB금융지주,175330,31050,23.5,28.8,32.1,80.1,50.5
2026-03-27,KOSPI,이수페타시스,007660,108200,-7.9,-24.9,62.5,187.4,50.4
2026-03-27,KOSDAQ,리가켐바이오,141080,215500,6.2,11.5,46.2,95.9,50.2
2026-03-27,KOSPI,CJ,001040,205000,-5.7,16.4,28.2,99.2,48.2
2026-03-27,KOSPI,포스코DX,022100,30950,-19.9,21.9,37.9,34.0,47.2
2026-03-27,KOSDAQ,코스메카코리아,241710,81700,-15.2,8.2,31.1,103.7,45.9
2026-03-27,KOSPI,삼성E&A,028050,32350,5.0,26.6,11.2,97.5,45.4
2026-03-27,KOSPI,iM금융지주,139130,17340,11.9,21.3,26.5,87.3,45.3
2026-03-27,KOSPI,산일전기,062040,147200,-0.2,2.6,31.7,127.5,43.5
2026-03-27,KOSDAQ,유일로보틱스,388720,90900,-34.3,11.1,31.2,60.3,43.4
2026-03-27,KOSDAQ,테크윙,089030,51400,2.8,9.1,57.2,36.0,42.5
2026-03-27,KOSPI,이마트,139480,97600,7.3,24.8,36.5,28.3,42.3
2026-03-27,KOSPI,하나금융지주,086790,107500,7.4,15.2,30.8,80.7,42.2
2026-03-27,KOSPI,BNK금융지주,138930,18350,10.5,21.9,27.4,64.4,42.0
2026-03-27,KOSDAQ,씨엠티엑스,388210,138300,3.8,51.6,0.0,0.0,40.6
2026-03-27,KOSDAQ,펩트론,087010,305000,-0.2,-10.3,-1.5,247.0,40.5
2026-03-27,KOSDAQ,솔브레인홀딩스,036830,48800,-17.1,18.7,24.0,49.2,40.3
2026-03-27,KOSDAQ,에스에프에이,056190,27200,-19.5,23.6,18.3,38.1,39.6
2026-03-27,KOSPI,에코프로머티,450080,73500,8.9,26.7,45.5,-15.3,39.3
2026-03-27,KOSDAQ,피엔티,137400,50600,-4.3,23.1,31.6,13.5,37.9
2026-03-27,KOSDAQ,코나아이,052400,55300,-10.1,13.0,9.1,104.1,37.7
2026-03-27,KOSPI,포스코퓨처엠,003670,209500,-6.3,1.5,48.3,53.0,37.1
2026-03-27,KOSPI,오리온,271560,133300,13.4,26.4,23.7,30.8,36.4
