기준일(월말),시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%)
2026-03-27,NASDAQ,T-Mobile US Inc,TMUS,211.59,-0.73,5.27,-10.9,-19.4,-4.97,
2026-03-27,NASDAQ,Keurig Dr Pepper Inc,KDP,26.27,-13.39,-6.51,3.02,-22.87,-5.6,
2026-03-27,NYSE,AbbVie Inc,ABBV,211.12,-6.04,-8.2,-4.3,4.88,-6.53,
2026-03-27,NASDAQ,O'Reilly Automotive Inc,ORLY,92.27,1.03,0.02,-13.03,0.22,-6.66,
2026-03-27,NASDAQ,Fortinet Inc,FTNT,81.03,2.31,-0.65,-3.9,-19.78,-6.89,
2026-03-27,NYSE,Berkshire Hathaway Inc Class A,BRK.A,712500.0,-5.41,-4.62,-4.96,-10.82,-7.26,
2026-03-27,NYSE,Berkshire Hathaway Inc Class B,BRK.B,475.27,-5.45,-4.62,-4.95,-10.87,-7.26,
2026-03-27,NASDAQ,Expedia Group Inc,EXPE,232.84,6.84,-19.03,4.47,34.26,-7.5,
2026-03-27,NASDAQ,IDEXX Laboratories Inc,IDXX,573.29,-13.23,-16.73,-9.32,37.25,-7.95,
2026-03-27,NYSE,JPMorgan Chase & Co,JPM,291.66,-4.73,-11.05,-7.72,16.19,-8.52,
2026-03-27,NYSE,CVS Health Corp,CVS,71.18,-8.76,-10.59,-6.06,5.92,-8.56,
2026-03-27,NYSE,Intercontinental Exchange Inc,ICE,155.96,-4.25,-4.62,-7.02,-11.27,-8.61,
2026-03-27,NASDAQ,CoreWeave Inc,CRWV,80.45,-17.6,5.27,-33.15,0.0,-8.84,
2026-03-27,NYSE,Stryker Corp,SYK,332.68,-13.83,-6.08,-9.85,-9.54,-8.93,
2026-03-27,NYSE,Medtronic PLC,MDT,87.67,-9.65,-9.17,-6.95,-0.63,-9.01,
2026-03-27,NYSE,Boeing Co,BA,194.36,-15.28,-10.2,-12.16,8.85,-9.41,
2026-03-27,NASDAQ,United Airlines Holdings Inc,UAL,92.69,-20.39,-18.72,-5.33,19.03,-9.76,
2026-03-27,NYSE,Thermo Fisher Scientific Inc,TMO,488.85,-6.01,-15.82,5.3,-4.83,-9.77,
2026-03-27,NASDAQ,argenx SE ADR,ARGX,692.83,-10.2,-18.0,-2.64,18.7,-9.94,
2026-03-27,NYSE,3M Co,MMM,143.99,-13.35,-11.16,-5.77,-5.69,-10.28,
2026-03-27,NASDAQ,Amazon.com Inc,AMZN,207.54,-0.18,-10.74,-5.57,3.19,-10.71,
2026-03-27,NYSE,Unilever PLC ADR,UL,59.81,-18.38,-9.63,-10.41,-8.73,-10.97,
2026-03-27,NASDAQ,Constellation Energy Corp,CEG,295.19,-8.77,-18.11,-10.89,36.05,-10.97,
2026-03-27,NYSE,Bank of America Corp,BAC,48.24,-7.76,-14.12,-7.6,12.66,-11.01,
2026-03-27,NASDAQ,GE Healthcare Technologies Inc,GEHC,71.54,-14.75,-14.44,-1.27,-11.68,-11.57,
2026-03-27,NASDAQ,Zoom Communications Inc,ZM,79.32,5.0,-9.9,-6.14,1.98,-11.6,
2026-03-27,NASDAQ,BeOne Medicines AG ADR,ONC,276.95,-14.09,-11.34,-15.06,10.37,-11.71,
2026-03-27,NASDAQ,Datadog Inc,DDOG,124.3,6.73,-10.13,-10.62,15.12,-11.74,
2026-03-27,NASDAQ,Nasdaq Inc,NDAQ,83.78,-5.43,-15.67,-4.26,8.06,-11.97,
2026-03-27,NYSE,American Tower Corp,AMT,168.92,-8.7,-4.25,-13.05,-19.57,-12.1,
2026-03-27,NASDAQ,Intuitive Surgical Inc,ISRG,468.55,-7.56,-18.91,6.22,-7.95,-12.1,
2026-03-27,NASDAQ,Baidu Inc ADR,BIDU,109.91,-12.18,-11.93,-16.32,12.73,-12.72,
2026-03-27,NASDAQ,Charter Communications Inc,CHTR,218.51,-4.32,5.48,-20.08,-43.21,-13.43,
2026-03-27,NASDAQ,Huntington Bancshares Inc,HBAN,15.43,-12.03,-13.02,-11.42,1.11,-13.5,
2026-03-27,NASDAQ,NXP Semiconductors NV,NXPI,196.92,-15.2,-11.64,-12.88,-4.29,-13.57,
2026-03-27,NYSE,Danaher Corp,DHR,188.05,-10.18,-18.35,1.74,-10.63,-13.9,
2026-03-27,NYSE,Wells Fargo & Co,WFC,79.02,-8.44,-17.05,-7.05,7.55,-13.96,
2026-03-27,NYSE,Brookfield Corp,BN,39.66,-12.74,-15.15,-13.05,9.58,-14.18,
2026-03-27,NYSE,Home Depot Inc,HD,328.43,-12.44,-6.1,-19.91,-9.31,-14.21,
2026-03-27,NYSE,BlackRock Inc,BLK,968.46,-11.17,-11.0,-16.26,0.02,-14.69,
2026-03-27,NASDAQ,Kimberly-Clark Corp,KMB,98.85,-10.45,-2.13,-19.13,-29.2,-15.02,
2026-03-27,NASDAQ,Netflix Inc,NFLX,93.32,10.32,-1.22,-22.91,-3.86,-15.27,
2026-03-27,NASDAQ,Palantir Technologies Inc,PLTR,147.56,8.55,-21.81,-16.9,59.9,-15.62,
2026-03-27,NASDAQ,JD.com Inc ADR,JD,29.18,8.15,-0.75,-15.42,-30.16,-15.97,
2026-03-27,NASDAQ,Tesla Inc,TSLA,372.11,-8.93,-21.69,-15.51,36.77,-15.97,
2026-03-27,NYSE,Marsh & McLennan Companies Inc,MRSH,174.14,-6.02,-6.88,-12.74,-27.08,-16.08,
2026-03-27,NYSE,UBS Group AG,UBS,37.26,-11.07,-21.18,-8.61,12.2,-16.59,
2026-03-27,NASDAQ,Cadence Design Systems Inc,CDNS,280.62,-5.71,-12.0,-19.85,6.53,-17.08,
2026-03-27,NYSE,Visa Inc,V,305.53,-3.53,-13.94,-9.44,-11.23,-17.41,
2026-03-27,NYSE,Mastercard Inc,MA,500.75,-2.72,-13.6,-11.39,-8.8,-17.79,
2026-03-27,NYSE,Moody's Corp,MCO,432.28,-9.84,-16.88,-9.33,-8.05,-17.8,
2026-03-27,NASDAQ,Cintas Corp,CTAS,168.85,-14.84,-11.66,-17.33,-17.52,-18.53,
2026-03-27,NASDAQ,Tractor Supply Co,TSCO,45.89,-10.34,-10.7,-18.81,-14.81,-18.86,
2026-03-27,NYSE,ICICI Bank Ltd ADR,IBN,25.93,-15.67,-13.71,-15.32,-17.42,-18.98,
2026-03-27,NYSE,American Express Co,AXP,299.39,-10.72,-21.43,-12.38,8.47,-19.49,
2026-03-27,NASDAQ,Kraft Heinz Co,KHC,21.56,-12.25,-10.65,-17.24,-27.38,-20.17,
2026-03-27,NYSE,Walt Disney Co,DIS,94.75,-10.23,-16.56,-16.5,-5.98,-20.65,
2026-03-27,NYSE,Progressive Corp,PGR,202.9,-4.17,-10.67,-16.67,-25.55,-21.14,
2026-03-27,NASDAQ,Willis Towers Watson PLC,WTW,286.8,-6.97,-14.29,-16.11,-15.3,-21.15,
2026-03-27,NASDAQ,LPL Financial Holdings Inc,LPLA,303.72,-4.95,-18.39,-10.81,-10.45,-21.21,
2026-03-27,NASDAQ,Synopsys Inc,SNPS,401.95,-5.65,-15.76,-17.59,-10.66,-22.41,
2026-03-27,NASDAQ,Alnylam Pharmaceuticals Inc,ALNY,328.16,-0.93,-18.08,-26.49,21.9,-23.14,
