시장,종목명,종목코드,기준일(월말),기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
KOSDAQ,레이크머티리얼즈,281740,2026-02-28,23650,-11.59,77.15,96.43,26.13,117.48
KOSPI,한솔케미칼,014680,2026-02-28,338000,19.65,42.02,90.64,207.83,116.57
KOSPI,현대차2우B,005387,2026-02-28,323500,19.37,66.15,90.29,108.71,115.94
KOSPI,한화비전,489790,2026-02-28,85400,38.19,97.0,60.23,78.1,115.7
KOSPI,영원무역홀딩스,009970,2026-02-28,249500,20.53,50.39,89.02,174.48,115.61
KOSPI,LG전자,066570,2026-02-28,145700,47.02,70.21,97.16,84.66,112.28
KOSDAQ,큐렉소,060280,2026-02-28,16990,-14.32,42.29,106.44,101.54,110.23
KOSPI,현대글로비스,086280,2026-02-28,289500,19.63,76.09,57.0,122.52,109.95
KOSDAQ,토모큐브,475960,2026-02-28,65600,43.54,37.38,55.08,291.64,107.07
KOSPI,미래에셋생명,085620,2026-02-28,13320,41.4,43.07,87.87,182.2,106.55
KOSDAQ,한양이엔지,045100,2026-02-28,33400,6.37,62.93,74.69,100.48,106.51
KOSDAQ,고영,098460,2026-02-28,31850,-5.35,34.39,118.15,92.8,106.22
KOSDAQ,동진쎄미켐,005290,2026-02-28,54900,-1.96,51.87,83.31,109.54,105.45
KOSDAQ,다우데이타,032190,2026-02-28,26500,-5.36,55.88,61.68,143.12,105.24
KOSDAQ,서부T&D,006730,2026-02-28,15650,-11.03,41.76,66.67,179.96,104.94
KOSPI,현대모비스,012330,2026-02-28,517000,15.14,67.04,62.32,110.59,103.89
KOSDAQ,유일로보틱스,388720,2026-02-28,122400,-11.5,49.63,76.62,115.87,103.49
KOSPI,LS,006260,2026-02-28,284500,24.24,59.03,60.19,153.79,103.23
KOSPI,신영증권,001720,2026-02-28,225500,27.69,61.19,51.34,161.6,101.4
KOSPI,KCC,002380,2026-02-28,651000,33.13,56.12,63.57,150.87,100.22
KOSDAQ,메디포스트,078160,2026-02-28,21950,-8.54,17.07,107.47,152.3,99.55
KOSPI,삼성생명,032830,2026-02-28,230000,22.15,50.43,60.73,164.98,99.27
KOSPI,한미약품,128940,2026-02-28,593000,22.52,29.9,95.71,147.08,96.69
KOSDAQ,하이젠알앤엠,160190,2026-02-28,69000,-18.05,21.91,100.29,119.4,95.16
KOSPI,포스코DX,022100,2026-02-28,39300,1.68,54.72,75.06,70.13,95.0
KOSDAQ,성일하이텍,365340,2026-02-28,63000,-11.02,50.9,74.52,73.08,94.79
KOSDAQ,코오롱생명과학,102940,2026-02-28,63800,-1.54,4.25,123.08,144.44,94.13
